"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Agregados monetarios y depósitos",,,,,,
"Base monetaria",,,,,,
"Unidad de medida: Millones de moneda nacional.",,,,,,
Fechas,Guatemala,,,,,
,"Base monetaria amplia","Base monetaria restringida","Pasivos por encaje legal en ME","Otros depósitos a corto plazo","Otros valores a corto plazo","Depósitos y valores de otros sectores"
2010-Enero,42990.00,30836.00,2822.00,168.00,9051.00,0
2010-Febrero,41592.00,30690.00,2842.00,168.00,7775.00,0
2010-Marzo,42653.00,31764.00,2879.00,168.00,7724.00,0
2010-Abril,42374.00,30885.00,2885.00,168.00,8314.00,0
2010-Mayo,42835.00,29627.00,3626.00,168.00,9293.00,0
2010-Junio,41209.00,30733.00,3831.00,168.00,6354.00,0
2010-Julio,41129.00,30957.00,3620.00,198.00,6228.00,0
2010-Agosto,40523.00,30580.00,3391.00,198.00,6228.00,0
2010-Setiembre,41164.00,31108.00,3504.00,198.00,6228.00,0
2010-Octubre,41108.00,31887.00,3282.00,198.00,5617.00,0
2010-Noviembre,41300.00,31317.00,2957.00,198.00,6703.00,0
2010-Diciembre,44922.00,34115.00,3630.00,198.00,6847.00,0
2011-Enero,45331.00,34939.00,2861.00,198.00,7202.00,0
2011-Febrero,44741.00,33551.00,2952.00,198.00,7904.00,0
2011-Marzo,47249.00,34093.00,3483.00,208.00,9327.00,0
2011-Abril,47221.00,34006.00,3210.00,211.00,9657.00,0
2011-Mayo,45321.00,33572.00,3028.00,216.00,8367.00,0
2011-Junio,45578.00,34540.00,3015.00,226.00,7661.00,0
2011-Julio,45796.00,35463.00,2758.00,226.00,7213.00,0
2011-Agosto,45663.00,34373.00,3513.00,226.00,7416.00,0
2011-Setiembre,45512.00,34004.00,3269.00,226.00,7875.00,0
2011-Octubre,44966.00,33137.00,3109.00,226.00,8363.00,0
2011-Noviembre,44444.00,33381.00,3097.00,226.00,7598.00,0
2011-Diciembre,48996.00,37416.00,3008.00,226.00,8210.00,0
2012-Enero,48229.00,35195.00,3209.00,226.00,9462.00,0
2012-Febrero,46800.00,35269.00,3066.00,226.00,8100.00,0
2012-Marzo,47378.00,36062.00,3228.00,246.00,7704.00,0
2012-Abril,45536.00,34566.00,3153.00,256.00,7424.00,0
2012-Mayo,44646.00,34626.00,3045.00,256.00,6583.00,0
2012-Junio,45818.00,36091.00,2940.00,256.00,6400.00,0
2012-Julio,46623.00,35990.00,3106.00,256.00,7138.00,0
2012-Agosto,48168.00,36122.00,3261.00,247.00,8400.00,0
2012-Setiembre,48637.00,35911.00,3127.00,237.00,9223.00,0
2012-Octubre,49349.00,37260.00,3084.00,227.00,8637.00,0
2012-Noviembre,50098.00,38136.00,3041.00,227.00,8552.00,0
2012-Diciembre,52025.00,41155.00,3490.00,217.00,7015.00,0
2013-Enero,50494.00,38376.00,3326.00,217.00,8429.00,0
2013-Febrero,48882.00,37731.00,3303.00,217.00,7483.00,0
2013-Marzo,50257.00,41343.00,3469.00,217.00,5080.00,0
2013-Abril,49692.00,39967.00,3118.00,217.00,6235.00,0
2013-Mayo,51005.00,38711.00,4231.00,217.00,7683.00,0
2013-Junio,51034.00,39537.00,3291.00,217.00,7826.00,0
2013-Julio,52339.00,39251.00,3173.00,217.00,9539.00,0
2013-Agosto,52672.00,39034.00,3790.00,207.00,9473.00,0
2013-Setiembre,51469.00,39361.00,2699.00,197.00,9052.00,0
2013-Octubre,51177.00,40468.00,3428.00,177.00,6941.00,0
2013-Noviembre,50921.00,39737.00,4725.00,167.00,6128.00,0
2013-Diciembre,57302.00,43069.00,5865.00,127.00,8075.00,0
2014-Enero,56185.00,40923.00,4893.00,127.00,10073.00,0
2014-Febrero,54684.00,40293.00,5097.00,127.00,8997.00,0
2014-Marzo,54618.00,40800.00,5136.00,117.00,8387.00,0
2014-Abril,53817.00,41308.00,4712.00,107.00,7514.00,0
2014-Mayo,52268.00,41220.00,4606.00,107.00,6158.00,0
2014-Junio,54317.00,42356.00,4120.00,97.00,7566.00,0
2014-Julio,56296.00,41520.00,4742.00,77.00,9778.00,0
2014-Agosto,57390.00,42465.00,5773.00,57.00,8912.00,0
2014-Setiembre,56908.00,41332.00,5109.00,20.00,10265.00,0
2014-Octubre,56716.00,42587.00,4857.00,10.00,9071.00,0
2014-Noviembre,56610.00,42706.00,4539.00,10.00,9169.00,0
2014-Diciembre,59833.00,46811.00,5080.00,10.00,7743.00,0
2015-Enero,57965.00,44561.00,4430.00,10.00,8776.00,0
2015-Febrero,59661.00,45127.00,4366.00,10.00,9971.00,0
2015-Marzo,59919.00,45996.00,5344.00,10.00,8374.00,0
2015-Abril,58465.00,46211.00,4791.00,10.00,7252.00,0
2015-Mayo,59858.00,46694.00,4197.00,10.00,8750.00,0
2015-Junio,60072.00,46825.00,4963.00,10.00,8069.00,0
2015-Julio,60881.00,47924.00,4454.00,10.00,8297.00,0
2015-Agosto,59617.00,45927.00,4817.00,20.00,8652.00,0
2015-Setiembre,59116.00,44548.00,4500.00,20.00,9847.00,0
2015-Octubre,59282.00,46909.00,4723.00,20.00,7431.00,0
2015-Noviembre,57899.00,46809.00,3989.00,20.00,6883.00,0
2015-Diciembre,62499.00,51700.00,4933.00,20.00,5643.00,0
2016-Enero,60603.00,49818.00,4186.00,20.00,6381.00,0
2016-Febrero,60832.00,49419.00,4378.00,20.00,6813.00,0
2016-Marzo,60867.00,49070.00,4105.00,20.00,7463.00,0
2016-Abril,61081.00,51341.00,4796.00,20.00,4716.00,0
2016-Mayo,61924.00,49072.00,4991.00,20.00,7632.00,0
2016-Junio,62192.00,51777.00,4723.00,20.00,5466.00,0
2016-Julio,64313.00,52664.00,5094.00,20.00,6333.00,0
2016-Agosto,63501.00,51318.00,4995.00,20.00,6965.00,0
2016-Setiembre,64823.00,52902.00,5221.00,20.00,6478.00,0
2016-Octubre,66608.00,52019.00,5565.00,20.00,8800.00,0
2016-Noviembre,63825.00,51720.00,4382.00,20.00,7493.00,0
2016-Diciembre,68741.00,59063.00,5579.00,40.00,3849.00,0
2017-Enero,67623.00,54169.00,4699.00,40.00,8509.00,0
2017-Febrero,66579.00,54634.00,5704.00,40.00,5994.00,0
2017-Marzo,67310.00,55393.00,5317.00,40.00,6350.00,0
2017-Abril,69387.00,57942.00,5560.00,40.00,5632.00,0
2017-Mayo,67888.00,55303.00,4953.00,40.00,7377.00,0
2017-Junio,70529.00,57865.00,5512.00,40.00,6892.00,0
2017-Julio,72242.00,56448.00,4889.00,40.00,10648.00,0
2017-Agosto,72875.00,56770.00,5105.00,40.00,10739.00,0
2017-Setiembre,74398.00,58518.00,4993.00,45.00,10622.00,0
2017-Octubre,76337.00,58993.00,5053.00,45.00,12030.00,0
2017-Noviembre,75417.00,57641.00,4709.00,45.00,12806.00,0
2017-Diciembre,81609.00,66347.00,6389.00,61.00,8596.00,0
2018-Enero,79084.00,60421.00,4164.00,61.00,14217.00,0
2018-Febrero,79183.00,60335.00,4597.00,61.00,13968.00,0
2018-Marzo,80393.00,62313.00,5169.00,71.00,12615.00,0
2018-Abril,80826.00,60383.00,4805.00,71.00,15341.00,0
2018-Mayo,79470.00,60519.00,5336.00,71.00,13304.00,0
2018-Junio,80734.00,61354.00,5838.00,71.00,13230.00,0
2018-Julio,81955.00,61721.00,5200.00,71.00,14728.00,0
2018-Agosto,82847.00,61774.00,6036.00,71.00,14728.00,0
2018-Setiembre,79673.00,62791.00,5732.00,71.00,10827.00,0
2018-Octubre,79117.00,63701.00,5519.00,86.00,9559.00,0
2018-Noviembre,79223.00,64030.00,5713.00,86.00,9145.00,0
2018-Diciembre,86906.00,71166.00,7467.00,86.00,7938.00,0
2019-Enero,83136.00,64544.00,5195.00,86.00,13056.00,0
2019-Febrero,83341.00,66174.00,5626.00,86.00,11199.00,0
2019-Marzo,85968.00,67545.00,5803.00,61.00,12301.00,0
2019-Abril,86020.00,66425.00,5757.00,61.00,13518.00,0
2019-Mayo,85126.00,67492.00,5755.00,63.00,11555.00,0
2019-Junio,87961.00,69737.00,5683.00,63.00,12220.00,0
2019-Julio,88628.00,69055.00,5079.00,53.00,14190.00,0
2019-Agosto,89884.00,69070.00,6451.00,54.00,14052.00,0
2019-Setiembre,89652.00,68986.00,5910.00,54.00,14438.00,0
2019-Octubre,90479.00,72015.00,5587.00,54.00,12558.00,0
2019-Noviembre,91210.00,71631.00,5495.00,54.00,13770.00,0
2019-Diciembre,98100.00,79231.00,6641.00,49.00,11922.00,0
2020-Enero,96864.00,75671.00,5620.00,49.00,15264.00,0
2020-Febrero,96582.00,76017.00,5946.00,39.00,14316.00,0
2020-Marzo,96459.00,76647.00,6918.00,39.00,12584.00,0
2020-Abril,99258.00,80779.00,8039.00,39.00,10099.00,0
2020-Mayo,102555.00,80723.00,6726.00,39.00,14759.00,0
2020-Junio,103844.00,82292.00,6464.00,39.00,14741.00,0
2020-Julio,105190.00,84929.00,6709.00,39.00,13203.00,0
2020-Agosto,110981.00,82820.00,7016.00,24.00,20808.00,0
2020-Setiembre,115809.00,84658.00,6737.00,24.00,24079.00,0
2020-Octubre,115049.00,88344.00,7348.00,24.00,19016.00,0
2020-Noviembre,114700.00,87673.00,6696.00,24.00,19984.00,0
2020-Diciembre,125561.00,103294.00,8383.00,24.00,13541.00,0
2021-Enero,122668.01,93238.24,6818.87,24.20,22265.00,0
2021-Febrero,122612.44,91909.63,7471.28,24.20,22879.90,0
2021-Marzo,117781.24,94754.07,7875.22,24.20,14784.50,0
2021-Abril,117286.21,95051.66,8293.09,24.20,13565.00,0
2021-Mayo,117255.77,90532.04,7694.47,6.20,18665.00,0
2021-Junio,114214.85,94858.83,6977.08,9.20,12011.49,0
2021-Julio,117925.76,96065.17,8496.92,12.20,12991.00,0
2021-Agosto,116583.25,96066.22,7168.44,12.20,12971.00,0
2021-Setiembre,118161.14,97104.27,8261.12,14.20,12416.50,0
2021-Octubre,116864.85,100186.40,7759.13,15.20,8539.00,0
2021-Noviembre,112595.95,99619.13,7925.81,16.20,4669.00,0
2021-Diciembre,125867.98,115504.97,9218.76,16.20,760.00,0
