"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
Crédito,,,,,,
"Crédito total por moneda",,,,,,
"Unidad de medida: Millones de US dólares.  Millones de moneda nacional",,,,,,
Fechas,Guatemala,,
,"Crédito total","Crédito en MN","Crédito en ME"
2010-Enero,142362.00,94635.00,47727.00
2010-Febrero,140800.00,94543.00,46257.00
2010-Marzo,141090.00,95432.00,45658.00
2010-Abril,140257.00,95744.00,44513.00
2010-Mayo,141945.00,97741.00,44204.00
2010-Junio,141521.00,97412.00,44109.00
2010-Julio,142034.00,98253.00,43781.00
2010-Agosto,144179.00,99784.00,44395.00
2010-Setiembre,144870.00,99855.00,45015.00
2010-Octubre,145854.00,99788.00,46066.00
2010-Noviembre,148460.00,102118.00,46342.00
2010-Diciembre,151447.00,102703.00,48744.00
2011-Enero,151903.00,103065.00,48838.00
2011-Febrero,153881.00,103996.00,49886.00
2011-Marzo,155390.00,106051.00,49339.00
2011-Abril,156108.00,106697.00,49411.00
2011-Mayo,158242.00,106166.00,52076.00
2011-Junio,160691.00,107404.00,53287.00
2011-Julio,161677.00,107600.00,54076.00
2011-Agosto,163178.00,108700.00,54478.00
2011-Setiembre,166338.00,109729.00,56609.00
2011-Octubre,168926.00,111570.00,57356.00
2011-Noviembre,168331.00,112266.00,56065.00
2011-Diciembre,169530.00,112628.00,56902.00
2012-Enero,170948.00,114839.00,56109.00
2012-Febrero,171370.00,115028.00,56342.00
2012-Marzo,171830.00,115958.00,55873.00
2012-Abril,174535.00,116928.00,57607.00
2012-Mayo,175798.00,117421.00,58377.00
2012-Junio,176724.00,117387.00,59337.00
2012-Julio,179002.00,118877.00,60125.00
2012-Agosto,182025.00,120531.00,61494.00
2012-Setiembre,184110.00,121541.00,62569.00
2012-Octubre,185247.00,122049.00,63198.00
2012-Noviembre,188257.00,123799.00,64457.00
2012-Diciembre,191745.00,124997.00,66748.00
2013-Enero,194533.00,127798.00,66735.00
2013-Febrero,195956.00,129105.00,66851.00
2013-Marzo,194304.00,127523.00,66781.00
2013-Abril,197387.00,129973.00,67414.00
2013-Mayo,199812.00,131831.00,67981.00
2013-Junio,201412.00,132053.00,69359.00
2013-Julio,206273.00,133656.00,72617.00
2013-Agosto,207514.00,134887.00,72627.00
2013-Setiembre,209913.00,136472.00,73441.00
2013-Octubre,210441.00,136103.00,74337.00
2013-Noviembre,212788.00,137498.00,75290.00
2013-Diciembre,213220.00,138353.00,74867.00
2014-Enero,215414.00,140495.00,74919.00
2014-Febrero,216615.00,141845.00,74771.00
2014-Marzo,218569.00,143230.00,75339.00
2014-Abril,221053.00,144055.00,76998.00
2014-Mayo,221716.00,143679.00,78037.00
2014-Junio,224240.00,145557.00,78683.00
2014-Julio,227878.00,147453.00,80425.00
2014-Agosto,226157.00,146518.00,79639.00
2014-Setiembre,227873.00,148720.00,79153.00
2014-Octubre,227782.00,148303.00,79479.00
2014-Noviembre,229938.00,149083.00,80855.00
2014-Diciembre,233087.00,150568.00,82518.00
2015-Enero,237887.00,154186.00,83701.00
2015-Febrero,240716.00,156135.00,84582.00
2015-Marzo,242995.00,157317.00,85678.00
2015-Abril,245133.00,157677.00,87456.00
2015-Mayo,247412.00,159407.00,88006.00
2015-Junio,248446.00,160549.00,87898.00
2015-Julio,251221.00,162722.00,88499.00
2015-Agosto,253467.00,163350.00,90117.00
2015-Setiembre,256521.00,165704.00,90817.00
2015-Octubre,256627.00,165030.00,91597.00
2015-Noviembre,258236.00,166013.00,92223.00
2015-Diciembre,259520.00,166626.00,92894.00
2016-Enero,262624.00,169407.00,93217.00
2016-Febrero,264627.00,171734.00,92892.00
2016-Marzo,266382.00,173926.00,92456.00
2016-Abril,263732.00,171398.00,92334.00
2016-Mayo,266352.00,174468.00,91884.00
2016-Junio,266699.00,174709.00,91990.00
2016-Julio,267411.00,176318.00,91094.00
2016-Agosto,269258.00,178354.00,90904.00
2016-Setiembre,268702.00,178432.00,90270.00
2016-Octubre,271802.00,181270.00,90532.00
2016-Noviembre,274573.00,182627.00,91946.00
2016-Diciembre,274601.00,179370.00,95231.00
2017-Enero,279745.00,185773.00,93972.00
2017-Febrero,279250.00,185840.00,93410.00
2017-Marzo,281058.00,188359.00,92699.00
2017-Abril,281526.00,188480.00,93046.00
2017-Mayo,283635.00,191056.00,92579.00
2017-Junio,284012.00,190837.00,93175.00
2017-Julio,287501.00,194559.00,92943.00
2017-Agosto,287742.00,194666.00,93076.00
2017-Setiembre,289230.00,195205.00,94026.00
2017-Octubre,292208.00,197796.00,94412.00
2017-Noviembre,294820.00,199722.00,95098.00
2017-Diciembre,292223.00,196380.00,95843.00
2018-Enero,297733.00,202025.00,95708.00
2018-Febrero,297605.00,202540.00,95065.00
2018-Marzo,298930.00,202678.00,96253.00
2018-Abril,303238.00,206030.00,97207.00
