"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Agregados monetarios y depósitos",,,,,,
Cuasidinero,,,,,,
"Unidad de medida: Millones de moneda nacional.",,,,,,
Fechas,Guatemala,,
,"Depósitos totales","Depósitos en MN","Depósitos en ME"
2010-Enero,120434.00,81502.00,38931.00
2010-Febrero,120034.00,80592.00,39442.00
2010-Marzo,120093.00,81201.00,38892.00
2010-Abril,119787.00,81251.00,38536.00
2010-Mayo,120609.00,82457.00,38152.00
2010-Junio,121847.00,82971.00,38876.00
2010-Julio,123147.00,84073.00,39074.00
2010-Agosto,124172.00,85186.00,38986.00
2010-Setiembre,124472.00,85403.00,39069.00
2010-Octubre,125711.00,85500.00,40211.00
2010-Noviembre,126561.00,87042.00,39520.00
2010-Diciembre,130472.00,90116.00,40355.00
2011-Enero,130694.00,90137.00,40557.00
2011-Febrero,131119.00,90024.00,41094.00
2011-Marzo,132647.00,91220.00,41428.00
2011-Abril,133056.00,92151.00,40905.00
2011-Mayo,133563.00,92259.00,41304.00
2011-Junio,135295.00,94005.00,41290.00
2011-Julio,135288.00,94340.00,40948.00
2011-Agosto,136668.00,95149.00,41519.00
2011-Setiembre,135668.00,94837.00,40830.00
2011-Octubre,136510.00,95461.00,41049.00
2011-Noviembre,138667.00,97005.00,41662.00
2011-Diciembre,140681.00,99574.00,41107.00
2012-Enero,140977.00,99711.00,41266.00
2012-Febrero,142399.00,101172.00,41226.00
2012-Marzo,142573.00,101360.00,41213.00
2012-Abril,142374.00,101369.00,41005.00
2012-Mayo,143059.00,101296.00,41763.00
2012-Junio,144316.00,103021.00,41294.00
2012-Julio,146451.00,103477.00,42974.00
2012-Agosto,147785.00,105010.00,42775.00
2012-Setiembre,148757.00,105274.00,43483.00
2012-Octubre,149155.00,105681.00,43474.00
2012-Noviembre,151625.00,107993.00,43632.00
2012-Diciembre,154832.00,111080.00,43752.00
2013-Enero,154546.00,110325.00,44221.00
2013-Febrero,155964.00,111354.00,44609.00
