"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Agregados monetarios y depósitos",,,,,,
"Agregados monetarios",,,,,,
"Unidad de medida: Millones de moneda nacional.",,,,,,
Fechas,Guatemala,,
,"Agregado monetario M1","Billetes y monedas en poder del público","Depósitos transferibles en MN"
2010-Enero,50068.00,17497.00,32570.83
2010-Febrero,48774.00,17398.00,31375.06
2010-Marzo,49667.00,18044.00,31622.77
2010-Abril,48370.00,17303.00,31067.48
2010-Mayo,48626.00,17123.00,31503.19
2010-Junio,48480.00,17127.00,31352.99
2010-Julio,48977.00,17447.00,31529.64
2010-Agosto,48840.00,17064.00,31776.38
2010-Setiembre,48820.00,17025.00,31794.91
2010-Octubre,49538.00,17852.00,31686.93
2010-Noviembre,50941.00,17951.00,32990.15
2010-Diciembre,54557.00,19736.00,34820.75
2011-Enero,53539.00,19147.00,34392.35
2011-Febrero,53267.00,19183.00,34083.31
2011-Marzo,53649.00,19291.00,34358.27
2011-Abril,54277.00,19497.00,34780.06
2011-Mayo,53121.00,18671.00,34450.02
2011-Junio,54043.00,18789.00,35254.45
2011-Julio,54185.00,19041.00,35144.39
2011-Agosto,53536.00,18435.00,35101.24
2011-Setiembre,52949.00,18488.00,34461.55
2011-Octubre,53649.00,18720.00,31686.93
2011-Noviembre,54818.00,18715.00,36103.83
2011-Diciembre,58610.00,20526.00,38083.05
2012-Enero,57519.00,19560.00,37959.35
2012-Febrero,57656.00,19595.00,38061.37
2012-Marzo,57539.00,20099.00,37440.14
2012-Abril,56646.00,19591.00,37055.30
2012-Mayo,55452.00,19012.00,36440.14
2012-Junio,56229.00,19043.00,37186.08
2012-Julio,55858.00,19160.00,36697.24
2012-Agosto,56271.00,18977.00,37294.15
2012-Setiembre,56036.00,19133.00,36902.91
2012-Octubre,56433.00,19384.00,37049.86
2012-Noviembre,58488.00,19464.00,39023.36
2012-Diciembre,62962.00,21227.00,41735.07
2013-Enero,60519.00,20209.00,40310.34
2013-Febrero,60765.00,20212.00,40552.37
2013-Marzo,62296.00,21153.00,41142.33
2013-Abril,60793.00,20381.00,40412.34
2013-Mayo,60675.00,20122.00,40552.90
2013-Junio,60781.00,20100.00,40680.39
2013-Julio,60590.00,20194.00,40395.97
2013-Agosto,61221.00,20185.00,41035.66
2013-Setiembre,60557.00,19727.00,40829.90
2013-Octubre,60333.00,20295.00,40037.77
2013-Noviembre,61051.00,20472.00,40579.22
2013-Diciembre,65258.00,21965.00,43293.09
2014-Enero,63240.00,20893.00,42347.19
2014-Febrero,62948.00,20930.00,42017.89
2014-Marzo,63268.00,21177.00,42090.47
2014-Abril,63909.00,21259.00,42649.97
2014-Mayo,63795.00,21311.00,42484.24
2014-Junio,64062.00,21078.00,42984.53
2014-Julio,64423.00,21654.00,42768.98
2014-Agosto,64361.00,21677.00,42684.20
2014-Setiembre,63880.00,21585.00,42294.87
2014-Octubre,63876.00,22098.00,41778.86
2014-Noviembre,65388.00,22247.00,43141.16
2014-Diciembre,69801.00,24062.00,45739.03
2015-Enero,69385.00,23419.00,45966.77
2015-Febrero,69938.00,23485.00,46453.28
2015-Marzo,71208.00,24234.00,46973.45
2015-Abril,71408.00,23774.00,47634.37
2015-Mayo,73155.00,25249.00,47905.73
2015-Junio,72543.00,24517.00,48025.61
2015-Julio,73011.00,25060.00,47950.65
2015-Agosto,72016.00,25009.00,47006.97
2015-Setiembre,71185.00,24703.00,46481.65
2015-Octubre,71580.00,25072.00,46508.14
2015-Noviembre,72818.00,25265.00,47552.97
2015-Diciembre,76929.00,27063.00,49865.94
2016-Enero,75264.00,26054.00,49209.96
2016-Febrero,75933.00,26119.00,49813.95
2016-Marzo,76055.00,26277.00,49777.60
2016-Abril,76501.00,26339.00,50161.46
2016-Mayo,75614.00,26019.00,49595.91
2016-Junio,76033.00,26069.00,49963.91
2016-Julio,76235.00,26848.00,49387.49
2016-Agosto,75239.00,26403.00,48836.48
2016-Setiembre,75434.00,26419.00,49014.55
2016-Octubre,76042.00,26996.00,49045.65
2016-Noviembre,77747.00,27164.00,50582.68
2016-Diciembre,81587.00,29642.00,51945.12
2017-Enero,80079.00,28871.00,51208.19
2017-Febrero,79999.00,29629.00,50370.09
2017-Marzo,80133.00,30114.00,50018.74
2017-Abril,82009.00,30575.00,51433.47
2017-Mayo,81224.00,30258.00,50966.62
2017-Junio,82079.00,30309.00,51769.95
2017-Julio,82111.00,31175.00,50935.97
2017-Agosto,81717.00,30524.00,51192.90
2017-Setiembre,82404.00,30739.00,51664.79
2017-Octubre,82692.00,31319.00,51372.07
2017-Noviembre,84146.00,31170.00,52976.35
2017-Diciembre,89788.00,33792.00,55996.22
2018-Enero,87039.00,32450.00,54589.67
2018-Febrero,87207.00,32419.00,54788.03
2018-Marzo,88997.00,33666.00,55330.94
2018-Abril,88222.00,33141.00,55080.97
2018-Mayo,87443.00,32643.00,54800.01
2018-Junio,87647.00,32842.00,54804.30
2018-Julio,88004.00,33642.00,54361.52
2018-Agosto,88533.00,33406.00,55126.42
2018-Setiembre,88358.00,33854.00,54503.92
2018-Octubre,88993.00,34719.00,54274.70
2018-Noviembre,90913.00,34778.00,56134.28
2018-Diciembre,97450.00,37517.00,59933.44
2019-Enero,94825.00,36507.00,58318.54
2019-Febrero,95007.00,36571.00,58435.82
2019-Marzo,96639.00,37268.00,59371.29
