"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Agregados monetarios y depósitos",,,,,,
"Agregados monetarios",,,,,,
"Unidad de medida: Millones de moneda nacional.",,,,,,
Fechas,Guatemala,,
,"Agregado monetario M3","Agregado monetario M2","Cuasidinero en ME"
2010-Enero,143200.00,103143.00,40057.00
2010-Febrero,142732.00,102173.00,40559.00
2010-Marzo,143490.00,103472.00,40019.00
2010-Abril,142392.00,102719.00,39672.00
2010-Mayo,142759.00,103466.00,39294.00
2010-Junio,144039.00,104006.00,40033.00
2010-Julio,145382.00,105155.00,40227.00
2010-Agosto,146061.00,105910.00,40151.00
2010-Setiembre,146372.00,106129.00,40243.00
2010-Octubre,148461.00,107077.00,41384.00
2010-Noviembre,149427.00,108737.00,40690.00
2010-Diciembre,155044.00,113524.00,41521.00
2011-Enero,154699.00,112962.00,41738.00
2011-Febrero,155132.00,112915.00,42217.00
2011-Marzo,156848.00,114315.00,42534.00
2011-Abril,157384.00,115350.00,42034.00
2011-Mayo,157143.00,114697.00,42446.00
2011-Junio,159056.00,116611.00,42445.00
2011-Julio,159316.00,117224.00,42092.00
2011-Agosto,160151.00,117468.00,42683.00
2011-Setiembre,159191.00,117189.00,42003.00
2011-Octubre,160277.00,118062.00,42215.00
2011-Noviembre,162428.00,119644.00,42784.00
2011-Diciembre,166343.00,124062.00,42281.00
2012-Enero,165911.00,123391.00,42520.00
2012-Febrero,167405.00,124937.00,42468.00
2012-Marzo,168034.00,125544.00,42490.00
2012-Abril,167431.00,125082.00,42349.00
2012-Mayo,167495.00,124439.00,43057.00
2012-Junio,168796.00,126196.00,42600.00
2012-Julio,171108.00,126804.00,44304.00
2012-Agosto,172380.00,128238.00,44142.00
2012-Setiembre,173555.00,128683.00,44872.00
2012-Octubre,174200.00,129347.00,44854.00
2012-Noviembre,176793.00,131779.00,45014.00
2012-Diciembre,181825.00,136673.00,45152.00
2013-Enero,180524.00,134928.00,45596.00
2013-Febrero,181971.00,135983.00,45988.00
2013-Marzo,183909.00,138154.00,45755.00
2013-Abril,184951.00,137459.00,47492.00
2013-Mayo,187595.00,138313.00,49282.00
2013-Junio,187636.00,139108.00,48528.00
2013-Julio,189480.00,140057.00,49423.00
2013-Agosto,191409.00,141179.00,50230.00
2013-Setiembre,190950.00,141949.00,49001.00
2013-Octubre,192376.00,142069.00,50308.00
2013-Noviembre,192988.00,142985.00,50003.00
2013-Diciembre,199183.00,148078.00,51105.00
2014-Enero,197347.00,146351.00,50997.00
2014-Febrero,198869.00,146437.00,52432.00
2014-Marzo,199907.00,147417.00,52490.00
2014-Abril,201113.00,148845.00,52268.00
2014-Mayo,202214.00,149288.00,52926.00
2014-Junio,202733.00,150383.00,52350.00
2014-Julio,205418.00,151949.00,53469.00
2014-Agosto,207295.00,153036.00,54259.00
2014-Setiembre,207550.00,153439.00,54112.00
2014-Octubre,207285.00,153414.00,53871.00
2014-Noviembre,209301.00,155101.00,54201.00
2014-Diciembre,214868.00,160799.00,54069.00
2015-Enero,215301.00,161468.00,53833.00
2015-Febrero,217252.00,162619.00,54634.00
2015-Marzo,221249.00,165467.00,55781.00
2015-Abril,223431.00,166373.00,57058.00
2015-Mayo,225661.00,168026.00,57635.00
2015-Junio,225459.00,168585.00,56874.00
2015-Julio,226817.00,170350.00,56467.00
2015-Agosto,227665.00,170195.00,57470.00
2015-Setiembre,227350.00,170351.00,56999.00
2015-Octubre,227653.00,171554.00,56099.00
2015-Noviembre,228781.00,172695.00,56086.00
2015-Diciembre,234399.00,177961.00,56438.00
2016-Enero,233929.00,176701.00,57228.00
2016-Febrero,237089.00,178053.00,59036.00
2016-Marzo,238704.00,179087.00,59617.00
2016-Abril,239813.00,180308.00,59505.00
2016-Mayo,240265.00,179921.00,60344.00
2016-Junio,239876.00,181663.00,58212.00
2016-Julio,241279.00,182663.00,58616.00
2016-Agosto,240985.00,182624.00,58361.00
2016-Setiembre,241021.00,183293.00,57728.00
2016-Octubre,243349.00,184297.00,59052.00
2016-Noviembre,244481.00,186205.00,58276.00
2016-Diciembre,249283.00,191351.00,57932.00
2017-Enero,247566.00,190101.00,57465.00
2017-Febrero,249373.00,190885.00,58489.00
2017-Marzo,249828.00,192324.00,57504.00
2017-Abril,251199.00,194592.00,56607.00
2017-Mayo,252819.00,194157.00,58663.00
2017-Junio,254349.00,196578.00,57771.00
2017-Julio,255218.00,198092.00,57125.00
2017-Agosto,256382.00,198655.00,57727.00
2017-Setiembre,257540.00,200075.00,57465.00
2017-Octubre,258193.00,201047.00,57146.00
2017-Noviembre,259776.00,202938.00,56838.00
2017-Diciembre,267489.00,209575.00,57914.00
2018-Enero,265852.00,207523.00,58329.00
2018-Febrero,266608.00,208263.00,58345.00
2018-Marzo,270499.00,211333.00,59165.00
2018-Abril,272237.00,211688.00,60549.00
2018-Mayo,273676.00,211522.00,62154.00
2018-Junio,273713.00,213004.00,60709.00
2018-Julio,275035.00,214518.00,60518.00
2018-Agosto,278182.00,216009.00,62173.00
2018-Setiembre,281047.00,216909.00,64139.00
2018-Octubre,281374.00,218186.00,63189.00
2018-Noviembre,283482.00,220363.00,63119.00
2018-Diciembre,293303.00,228158.00,65145.00
2019-Enero,291181.00,225973.00,65208.00
2019-Febrero,292629.00,227045.00,65584.00
2019-Marzo,294654.00,230097.00,64557.00
2019-Abril,297140.00,232682.00,64458.00
2019-Mayo,297281.00,233117.00,64164.00
2019-Junio,298712.00,235516.00,63197.00
2019-Julio,301208.00,237588.00,63619.00
2019-Agosto,303752.00,239558.00,64194.00
2019-Setiembre,306858.00,241739.00,65119.00
2019-Octubre,307871.00,243413.00,64459.00
2019-Noviembre,312079.00,246645.00,65434.00
2019-Diciembre,318967.00,254612.00,64355.00
2020-Enero,318666.00,252971.00,65694.00
2020-Febrero,320163.00,254422.00,65741.00
2020-Marzo,328400.00,257883.00,70517.00
2020-Abril,330805.00,258420.00,72384.00
2020-Mayo,337151.00,263491.00,73660.00
2020-Junio,342706.00,269571.00,73135.00
2020-Julio,348247.00,274433.00,73815.00
2020-Agosto,354785.00,280331.00,74455.00
2020-Setiembre,359131.00,285483.00,73648.00
2020-Octubre,364398.00,288474.00,75924.00
2020-Noviembre,369194.00,292335.00,76858.00
2020-Diciembre,376591.00,301591.00,75000.00
2021-Enero,376800.00,299988.00,76811.97
2021-Febrero,378211.00,300720.00,77491.20
2021-Marzo,382055.00,303565.00,78489.93
2021-Abril,383693.00,304403.00,79289.60
2021-Mayo,387090.00,306602.00,80488.17
2021-Junio,388885.00,308846.00,80038.82
2021-Julio,392717.00,311169.00,81547.47
2021-Agosto,393327.00,312934.00,80393.13
2021-Setiembre,393753.00,314519.00,79234.09
2021-Octubre,393255.00,316130.00,77124.96
