"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Agregados monetarios y depósitos",,,,,,
Cuasidinero,,,,,,
"Unidad de medida: Millones de moneda nacional.",,,,,,
Fechas,Guatemala,,
,"Titulos Emitidos por el Banco Central Total","Titulos Emitidos por el Banco Central en MN","Titulos Emitidos por el Banco Central en ME"
2010-Enero,17747.42,17597.00,151.00
2010-Febrero,17555.77,17403.00,153.00
2010-Marzo,18455.12,18300.00,155.00
2010-Abril,19004.99,18847.00,158.00
2010-Mayo,20753.90,20596.00,157.00
2010-Junio,17311.76,17149.00,163.00
2010-Julio,17716.87,17551.00,165.00
2010-Agosto,18117.74,17949.00,168.00
2010-Setiembre,17356.03,17186.00,170.00
2010-Octubre,16667.67,16500.00,167.00
2010-Noviembre,18066.24,17896.00,170.00
2010-Diciembre,17731.86,17567.00,165.00
2011-Enero,18241.50,18075.00,166.00
2011-Febrero,18826.09,18689.00,137.00
2011-Marzo,19684.33,19546.00,138.00
2011-Abril,20810.81,20030.00,781.00
2011-Mayo,21148.99,18957.00,2192.00
2011-Junio,20506.33,18320.00,2186.00
2011-Julio,19918.06,17725.00,2193.00
2011-Agosto,20090.10,17885.00,2205.00
2011-Setiembre,20363.27,18140.00,2223.00
2011-Octubre,20310.87,18771.00,1540.00
2011-Noviembre,17915.34,17772.00,143.00
2011-Diciembre,18892.87,18756.00,137.00
2012-Enero,21407.63,21271.00,137.00
2012-Febrero,20272.15,20133.00,139.00
2012-Marzo,19868.93,19731.00,138.00
2012-Abril,19849.54,19712.00,137.00
2012-Mayo,19069.01,18934.00,136.00
2012-Junio,18803.95,18672.00,132.00
2012-Julio,19435.03,19302.00,133.00
2012-Agosto,20810.91,20673.00,138.00
2012-Setiembre,21960.36,21821.00,139.00
2012-Octubre,21442.87,21284.00,159.00
2012-Noviembre,22062.28,21898.00,164.00
2012-Diciembre,21143.42,20968.00,176.00
2013-Enero,23061.27,22915.00,147.00
2013-Febrero,22051.01,21867.00,184.00
2013-Marzo,19726.23,19540.00,186.00
2013-Abril,20926.73,20772.00,155.00
2013-Mayo,22915.85,22643.00,273.00
2013-Junio,23104.45,22826.00,278.00
2013-Julio,24412.62,24134.00,278.00
2013-Agosto,24773.69,24480.00,293.00
2013-Setiembre,24068.18,23779.00,289.00
2013-Octubre,22926.08,22631.00,295.00
2013-Noviembre,23464.41,23165.00,299.00
2013-Diciembre,25093.93,24790.00,304.00
2014-Enero,28067.70,27756.00,312.00
2014-Febrero,27076.96,26759.00,318.00
2014-Marzo,25678.59,25349.00,330.00
2014-Abril,24477.31,24286.00,191.00
2014-Mayo,23114.22,22931.00,183.00
2014-Junio,24268.57,24080.00,188.00
2014-Julio,26941.54,26745.00,196.00
2014-Agosto,26233.43,26028.00,205.00
2014-Setiembre,27844.24,27631.00,213.00
2014-Octubre,26969.97,26743.00,227.00
2014-Noviembre,26953.46,26725.00,228.00
2014-Diciembre,24587.05,24350.00,237.00
2015-Enero,26127.94,25886.00,242.00
2015-Febrero,27439.03,27192.00,247.00
2015-Marzo,25174.43,24910.00,264.00
2015-Abril,24545.90,24269.00,277.00
2015-Mayo,25827.55,25538.00,289.00
2015-Junio,25104.66,24813.00,291.00
2015-Julio,25898.43,25608.00,291.00
2015-Agosto,26979.38,26677.00,303.00
2015-Setiembre,29069.40,28757.00,313.00
2015-Octubre,27377.85,27062.00,316.00
2015-Noviembre,26950.27,26630.00,320.00
2015-Diciembre,24741.04,24409.00,332.00
2016-Enero,26087.79,25752.00,336.00
