"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Comercio exterior",,,,,,
"Exportación de café, banano y azúcar",,,,,,
"Unidad de medida: Valor en millones de US dólares. Volumen en miles de: café en quintales (QQ), banano en toneladas métricas (T) y azúcar en kilogramos (KG). Precio promedio en US$/QQ, US$/T y US$/KG",,,,,,
Fechas,Guatemala,,,,,,,,
,"Café valor exportado","Café volumen exportado","Café precio promedio de exportación","Banano valor exportado","Banano volumen exportado","Banano precio promedio de exportación","Azúcar valor exportado","Azúcar volumen exportado","Azúcar precio promedio de exportación"
2010-Enero,57.16,447.46,127.74,31.93,124.33,256.82,71.88,187806.18,0.38
2010-Febrero,73.36,574.90,127.60,25.34,100.85,251.26,46.15,98677.48,0.47
2010-Marzo,92.13,692.50,133.05,32.82,139.73,234.88,146.56,357643.46,0.41
2010-Abril,83.55,610.47,136.86,35.70,131.47,271.54,79.73,208540.34,0.38
2010-Mayo,86.37,625.35,138.11,27.63,105.23,262.57,87.92,220101.39,0.40
2010-Junio,75.13,533.39,140.85,21.98,81.11,270.99,66.82,161350.40,0.41
2010-Julio,64.02,449.49,142.44,28.70,103.83,276.41,31.13,74553.10,0.42
2010-Agosto,48.70,336.60,144.68,28.95,98.10,295.11,42.54,89669.04,0.47
2010-Setiembre,40.49,309.37,130.87,35.71,127.91,279.18,8.98,18802.10,0.48
2010-Octubre,16.37,111.25,147.14,30.76,104.20,295.20,20.22,43037.96,0.47
2010-Noviembre,20.55,140.20,146.60,26.20,88.91,294.72,8.77,17046.61,0.51
2010-Diciembre,47.74,278.11,171.66,23.89,79.53,300.39,114.35,264628.09,0.43
2011-Enero,74.90,410.90,182.28,26.21,84.05,311.85,61.65,128104.15,0.48
2011-Febrero,110.75,613.97,180.38,31.88,100.34,317.72,138.34,237948.08,0.58
2011-Marzo,147.23,765.00,192.46,42.16,127.94,329.53,87.05,203854.32,0.43
2011-Abril,145.43,787.33,184.71,40.97,125.01,327.74,72.08,175268.55,0.41
2011-Mayo,158.85,812.91,195.41,42.93,128.50,334.05,32.93,58905.29,0.56
2011-Junio,139.59,803.96,173.62,42.57,130.38,326.49,18.05,31220.12,0.58
2011-Julio,95.70,538.57,177.70,34.84,107.06,325.40,23.13,36723.30,0.63
2011-Agosto,81.30,459.11,177.08,45.28,142.87,316.96,13.03,22939.00,0.57
2011-Setiembre,89.88,486.69,184.67,52.46,165.20,317.58,10.42,18454.26,0.56
2011-Octubre,38.04,197.06,193.05,40.25,129.72,310.32,7.33,13202.71,0.55
2011-Noviembre,27.74,148.77,186.49,37.61,123.24,305.15,26.91,50957.87,0.53
2011-Diciembre,54.98,310.17,177.26,35.54,122.90,289.17,157.82,312322.12,0.51
2012-Enero,69.66,312.83,222.67,31.93,105.50,302.66,96.90,163930.89,0.59
2012-Febrero,112.46,520.86,215.91,32.10,106.41,301.66,81.88,153841.31,0.53
2012-Marzo,126.66,613.55,206.45,47.94,149.51,320.66,125.37,275129.61,0.46
2012-Abril,97.87,498.90,196.18,38.76,123.90,312.82,126.97,230432.97,0.55
2012-Mayo,104.68,527.92,198.28,43.65,141.06,309.45,57.97,111826.31,0.52
2012-Junio,100.60,533.97,188.39,41.83,131.18,318.88,51.85,96034.56,0.54
2012-Julio,98.68,550.60,179.22,40.79,127.25,320.56,16.88,28341.02,0.60
2012-Agosto,82.61,455.60,181.31,48.66,151.26,321.69,38.42,84746.13,0.45
2012-Setiembre,67.84,387.84,174.92,48.67,148.80,327.08,49.88,91927.70,0.54
2012-Octubre,35.58,207.06,171.83,47.09,144.74,325.34,32.36,51676.73,0.63
2012-Noviembre,26.14,155.80,167.79,40.61,125.53,323.50,44.30,88512.18,0.50
2012-Diciembre,32.70,216.09,151.35,36.69,113.61,322.93,80.23,154348.90,0.52
2013-Enero,47.55,330.60,143.84,44.30,135.00,328.15,85.72,174973.50,0.49
2013-Febrero,67.11,476.00,141.00,45.70,137.70,331.88,93.06,182002.80,0.51
2013-Marzo,75.76,515.50,146.97,53.40,162.10,329.43,176.59,366814.90,0.48
2013-Abril,94.34,614.70,153.47,50.40,154.10,327.06,136.41,277132.80,0.49
2013-Mayo,95.08,605.60,156.99,51.60,159.60,323.31,135.85,279754.40,0.49
2013-Junio,90.93,591.20,153.80,37.50,115.00,326.09,72.30,146331.40,0.49
