"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Comercio exterior",,,,,,
"Exportaciones FOB",,,,,,
"Unidad de medida: Millones de US dólares",,,,,,
Fechas,Guatemala,,
,"Exportaciones totales","Exportaciones de bienes para la elaboración","Exportaciones de mercancías generales"
2010-Enero,671.20,220.00,451.20
2010-Febrero,622.20,214.80,407.40
2010-Marzo,862.50,273.10,589.40
2010-Abril,706.30,221.80,484.50
2010-Mayo,747.90,240.50,507.40
2010-Junio,748.20,259.80,488.40
2010-Julio,685.50,239.70,445.80
2010-Agosto,625.90,241.10,384.80
2010-Setiembre,607.90,240.80,367.10
2010-Octubre,652.00,261.40,390.60
2010-Noviembre,642.70,264.80,377.90
2010-Diciembre,893.30,310.90,582.40
2011-Enero,765.20,249.20,516.00
2011-Febrero,901.10,276.20,624.90
2011-Marzo,1051.80,347.90,703.90
2011-Abril,936.10,322.10,614.00
2011-Mayo,889.90,290.80,599.10
2011-Junio,875.40,300.60,574.80
2011-Julio,823.90,310.00,513.90
2011-Agosto,851.70,344.50,507.20
2011-Setiembre,818.50,333.90,484.60
2011-Octubre,732.40,329.30,403.10
2011-Noviembre,790.00,350.50,439.50
2011-Diciembre,965.10,321.50,643.60
2012-Enero,744.20,223.90,520.30
2012-Febrero,859.90,251.40,608.50
2012-Marzo,1033.50,274.50,759.00
2012-Abril,875.20,226.50,648.70
2012-Mayo,871.40,271.60,599.80
2012-Junio,831.40,229.60,601.80
2012-Julio,783.50,255.70,527.80
2012-Agosto,829.90,271.60,558.30
2012-Setiembre,785.20,247.50,537.70
2012-Octubre,732.50,269.00,463.50
2012-Noviembre,808.30,254.90,553.40
2012-Diciembre,823.70,263.80,559.90
2013-Enero,828.20,246.40,581.80
2013-Febrero,796.00,226.80,569.20
2013-Marzo,982.10,271.60,710.50
2013-Abril,888.80,263.60,625.20
2013-Mayo,965.30,246.10,719.20
2013-Junio,808.00,253.80,554.20
2013-Julio,827.80,254.60,573.20
2013-Agosto,804.40,259.00,545.40
2013-Setiembre,731.80,253.40,478.40
2013-Octubre,767.10,256.70,510.40
2013-Noviembre,803.00,256.70,546.30
2013-Diciembre,825.70,280.40,545.30
2014-Enero,835.40,256.90,578.50
2014-Febrero,805.70,262.70,543.00
2014-Marzo,1036.30,319.90,716.40
2014-Abril,939.60,288.00,651.60
2014-Mayo,946.50,280.20,666.30
2014-Junio,891.30,271.30,620.00
2014-Julio,948.60,308.20,640.40
2014-Agosto,874.00,299.20,574.80
2014-Setiembre,883.50,290.80,592.70
2014-Octubre,883.30,297.30,586.00
2014-Noviembre,839.20,280.40,558.80
2014-Diciembre,920.10,326.10,594.00
2015-Enero,879.20,295.30,583.90
2015-Febrero,885.10,286.60,598.50
2015-Marzo,1005.00,343.50,661.50
2015-Abril,914.60,287.50,627.10
2015-Mayo,997.80,280.30,717.50
2015-Junio,910.40,283.60,626.80
2015-Julio,965.20,316.70,648.50
2015-Agosto,878.30,310.90,567.40
2015-Setiembre,814.60,280.40,534.20
2015-Octubre,825.00,300.00,525.00
2015-Noviembre,786.40,286.20,500.20
2015-Diciembre,813.20,282.40,530.80
2016-Enero,833.70,268.80,564.90
2016-Febrero,842.30,278.10,564.20
2016-Marzo,938.70,304.60,634.10
2016-Abril,914.20,288.50,625.70
2016-Mayo,916.80,264.40,652.40
2016-Junio,897.60,275.70,621.90
2016-Julio,844.60,266.30,578.30
2016-Agosto,888.50,282.60,605.90
2016-Setiembre,835.60,266.20,569.40
2016-Octubre,709.00,226.00,483.00
2016-Noviembre,853.80,295.60,558.20
2016-Diciembre,974.50,312.20,662.30
2017-Enero,879.00,275.10,603.90
2017-Febrero,942.00,284.50,657.50
2017-Marzo,1086.90,335.80,751.10
2017-Abril,947.10,279.70,667.40
2017-Mayo,978.00,296.40,681.60
2017-Junio,901.10,245.70,655.40
2017-Julio,906.20,243.70,662.50
2017-Agosto,890.40,246.60,643.80
2017-Setiembre,837.10,249.30,587.80
2017-Octubre,851.70,242.70,609.00
2017-Noviembre,875.40,243.60,631.80
2017-Diciembre,887.30,266.90,620.40
2018-Enero,879.40,245.00,634.40
