"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Comercio exterior",,,,,,
"Importación de hidrocarburos",,,,,,
"Unidad de medida: Valor en millones de US dólares, volumen en miles de barriles y precio promedio en US$/barril",,,,,,
Fechas,Guatemala,,
,"Hidrocarburos valor importado","Hidrocarburos volumen importado","Hidrocarburos precio promedio de importación"
2010-Enero,118.47,1270.79,93.23
2010-Febrero,133.29,1618.62,82.35
2010-Marzo,122.21,1282.84,95.26
2010-Abril,190.34,1989.27,95.69
2010-Mayo,153.20,1733.22,88.39
2010-Junio,118.57,1356.73,87.39
2010-Julio,137.87,1558.72,88.45
2010-Agosto,150.84,1659.43,90.90
2010-Setiembre,101.97,1127.41,90.45
2010-Octubre,145.62,1471.74,98.94
2010-Noviembre,135.13,1346.00,100.39
2010-Diciembre,226.42,2135.28,106.04
2011-Enero,171.91,1587.22,108.31
2011-Febrero,155.64,1351.85,115.13
2011-Marzo,220.99,1698.59,130.10
2011-Abril,188.58,1338.24,140.91
2011-Mayo,255.44,1859.05,137.40
2011-Junio,157.13,1206.24,130.26
2011-Julio,176.29,1321.87,133.37
2011-Agosto,222.71,1751.41,127.16
2011-Setiembre,165.21,1285.11,128.56
2011-Octubre,163.65,1310.85,124.84
2011-Noviembre,156.18,1240.11,125.94
2011-Diciembre,203.93,1679.09,121.46
2012-Enero,208.03,1629.23,127.69
2012-Febrero,181.00,1341.08,134.97
2012-Marzo,232.33,1633.84,142.20
2012-Abril,182.36,1307.57,139.47
2012-Mayo,238.07,1852.77,128.50
2012-Junio,176.07,1461.01,120.51
2012-Julio,177.20,1433.62,123.60
2012-Agosto,203.59,1532.81,132.82
2012-Setiembre,173.55,1278.57,135.74
2012-Octubre,185.95,1417.50,131.18
2012-Noviembre,140.25,1167.66,120.11
2012-Diciembre,252.86,1965.42,128.65
2013-Enero,224.95,1760.89,127.75
2013-Febrero,218.25,1565.08,139.45
2013-Marzo,219.63,1660.49,132.27
2013-Abril,183.03,1508.21,121.35
2013-Mayo,255.28,2141.54,119.21
2013-Junio,171.87,1440.66,119.30
2013-Julio,214.27,1693.43,126.53
2013-Agosto,122.84,980.31,125.31
2013-Setiembre,240.21,1939.29,123.86
2013-Octubre,196.64,1628.71,120.74
2013-Noviembre,178.96,1529.33,117.02
2013-Diciembre,195.26,1616.16,120.82
2014-Enero,317.60,2619.22,121.26
2014-Febrero,205.87,1718.15,119.82
2014-Marzo,266.62,2173.63,122.66
2014-Abril,176.64,1438.75,122.77
2014-Mayo,230.50,1869.38,123.30
2014-Junio,204.65,1658.65,123.38
2014-Julio,207.14,1686.83,122.80
2014-Agosto,203.48,1717.92,118.45
2014-Setiembre,171.58,1503.15,114.15
2014-Octubre,194.07,1828.36,106.14
2014-Noviembre,173.68,1865.88,93.08
2014-Diciembre,197.10,2670.95,73.79
2015-Enero,132.58,2129.53,62.26
2015-Febrero,143.47,2115.22,67.83
2015-Marzo,179.07,2547.31,70.30
2015-Abril,140.36,1967.21,71.35
2015-Mayo,186.92,2297.09,81.37
2015-Junio,135.12,1764.82,76.56
2015-Julio,187.43,2474.13,75.75
2015-Agosto,112.94,1779.67,63.46
2015-Setiembre,135.55,2167.81,62.53
2015-Octubre,134.28,2190.27,61.31
2015-Noviembre,137.82,2345.99,58.75
2015-Diciembre,106.71,2031.85,52.52
2016-Enero,101.60,2272.51,44.71
2016-Febrero,98.20,2225.33,44.13
2016-Marzo,153.09,2976.27,51.44
2016-Abril,138.03,2490.57,55.42
2016-Mayo,130.96,2175.86,60.19
2016-Junio,156.44,2401.28,65.15
2016-Julio,80.87,1339.32,60.38
2016-Agosto,135.56,2262.59,59.91
2016-Setiembre,165.04,2612.56,63.17
2016-Octubre,138.16,2029.39,68.08
2016-Noviembre,139.90,2282.77,61.29
2016-Diciembre,170.61,2443.05,69.84
2017-Enero,167.01,2348.20,71.12
2017-Febrero,129.39,1838.10,70.39
2017-Marzo,201.36,2959.62,68.04
2017-Abril,186.18,2611.58,71.29
2017-Mayo,120.36,1843.58,65.29
