"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Comercio exterior",,,,,,
"Importaciones CIF",,,,,,
"Unidad de medida: Millones de US dólares",,,,,,
Fechas,Guatemala,,
,"Importaciones totales","Importaciones de bienes para la elaboración","Importaciones de mercancías generales"
2010-Enero,924.30,180.50,743.80
2010-Febrero,989.90,197.70,792.20
2010-Marzo,1142.80,229.70,913.10
2010-Abril,1168.10,188.60,979.50
2010-Mayo,1130.90,230.00,900.90
2010-Junio,1170.70,230.60,940.10
2010-Julio,1240.40,254.70,985.70
2010-Agosto,1189.70,230.90,958.80
2010-Setiembre,1132.20,228.20,904.00
2010-Octubre,1199.00,215.10,983.90
2010-Noviembre,1270.30,251.20,1019.10
2010-Diciembre,1278.00,226.70,1051.30
2011-Enero,1191.90,254.00,937.90
2011-Febrero,1181.40,228.60,952.80
2011-Marzo,1481.40,278.50,1202.90
2011-Abril,1397.00,274.50,1122.50
2011-Mayo,1536.30,317.80,1218.50
2011-Junio,1460.90,280.90,1180.00
2011-Julio,1328.40,236.10,1092.30
2011-Agosto,1503.40,283.40,1220.00
2011-Setiembre,1418.50,268.70,1149.80
2011-Octubre,1400.70,251.90,1148.80
2011-Noviembre,1412.20,244.10,1168.10
2011-Diciembre,1300.60,233.50,1067.10
2012-Enero,1340.60,170.90,1169.70
2012-Febrero,1311.50,157.00,1154.50
2012-Marzo,1475.40,155.10,1320.30
2012-Abril,1323.20,163.10,1160.10
2012-Mayo,1574.20,184.20,1390.00
2012-Junio,1450.00,177.20,1272.80
2012-Julio,1425.80,201.10,1224.70
2012-Agosto,1439.70,182.30,1257.40
2012-Setiembre,1281.30,151.30,1130.00
2012-Octubre,1531.70,213.60,1318.10
2012-Noviembre,1431.10,196.20,1234.90
2012-Diciembre,1409.50,162.20,1247.30
2013-Enero,1465.60,205.10,1260.50
2013-Febrero,1337.50,193.70,1143.80
2013-Marzo,1346.00,182.60,1163.40
2013-Abril,1610.10,223.00,1387.10
2013-Mayo,1596.20,261.70,1334.50
2013-Junio,1382.50,180.70,1201.80
2013-Julio,1532.30,241.90,1290.40
