"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Reservas internacionales netas",,,,,,
"RIN del banco central",,,,,,
"Unidad de medida: Millones de US dólares.",,,,,,
Fechas,Guatemala
,"RIN del Banco Central"
2010-Enero,5526.17
2010-Febrero,5565.46
2010-Marzo,5547.33
2010-Abril,5601.60
2010-Mayo,5675.55
2010-Junio,5847.64
2010-Julio,5732.03
2010-Agosto,5681.88
2010-Setiembre,5659.22
2010-Octubre,5650.53
2010-Noviembre,5594.93
2010-Diciembre,5953.83
2011-Enero,5910.07
2011-Febrero,6042.47
2011-Marzo,6191.01
2011-Abril,6393.12
2011-Mayo,6421.08
2011-Junio,6382.54
2011-Julio,6333.81
2011-Agosto,6398.56
2011-Setiembre,6303.00
2011-Octubre,6574.00
2011-Noviembre,6037.62
2011-Diciembre,6187.94
2012-Enero,6185.70
2012-Febrero,6126.90
2012-Marzo,6140.80
2012-Abril,6183.30
2012-Mayo,6112.70
2012-Junio,6811.60
2012-Julio,6778.10
2012-Agosto,6765.70
2012-Setiembre,6753.70
2012-Octubre,6804.20
2012-Noviembre,6711.20
2012-Diciembre,6693.80
2013-Enero,6649.70
2013-Febrero,7276.70
2013-Marzo,7279.80
2013-Abril,7220.80
2013-Mayo,7252.90
2013-Junio,7070.90
2013-Julio,6727.10
2013-Agosto,6745.80
2013-Setiembre,6583.60
2013-Octubre,6657.80
2013-Noviembre,6957.60
2013-Diciembre,7272.60
2014-Enero,7164.60
2014-Febrero,7163.90
2014-Marzo,7110.70
2014-Abril,7214.90
2014-Mayo,7174.40
2014-Junio,7096.40
2014-Julio,7132.70
2014-Agosto,7248.10
2014-Setiembre,7149.20
2014-Octubre,7097.50
2014-Noviembre,7053.50
2014-Diciembre,7333.40
2015-Enero,7656.00
2015-Febrero,7625.40
2015-Marzo,7770.30
2015-Abril,7721.30
2015-Mayo,7649.80
2015-Junio,7717.70
2015-Julio,7584.50
2015-Agosto,7572.60
2015-Setiembre,7536.10
2015-Octubre,7564.40
2015-Noviembre,7421.70
2015-Diciembre,7751.20
2016-Enero,7680.40
2016-Febrero,7636.00
2016-Marzo,7586.10
2016-Abril,7675.30
2016-Mayo,8549.20
2016-Junio,8696.40
2016-Julio,8861.00
2016-Agosto,8919.30
2016-Setiembre,9014.80
2016-Octubre,9063.20
2016-Noviembre,9003.60
2016-Diciembre,9160.40
2017-Enero,9065.20
2017-Febrero,9267.50
2017-Marzo,9424.50
2017-Abril,9792.70
2017-Mayo,9916.00
2017-Junio,10793.90
2017-Julio,11024.90
2017-Agosto,11277.90
2017-Setiembre,11268.40
2017-Octubre,11494.40
2017-Noviembre,11572.60
2017-Diciembre,11769.50
2018-Enero,11345.90
2018-Febrero,11475.20
2018-Marzo,11740.80
2018-Abril,11845.90
2018-Mayo,11849.50
2018-Junio,11979.20
2018-Julio,12127.10
2018-Agosto,12535.80
2018-Setiembre,12309.20
2018-Octubre,12357.40
2018-Noviembre,12472.40
2018-Diciembre,12755.60
2019-Enero,12452.40
2019-Febrero,12557.20
2019-Marzo,12759.20
2019-Abril,12845.90
2019-Mayo,14070.10
2019-Junio,14279.80
2019-Julio,14386.40
2019-Agosto,14700.10
2019-Setiembre,14516.00
2019-Octubre,14631.00
2019-Noviembre,14604.10
2019-Diciembre,14789.00
2020-Enero,14895.40
2020-Febrero,15203.20
2020-Marzo,15337.70
2020-Abril,16549.40
2020-Mayo,16708.10
2020-Junio,16991.80
2020-Julio,17398.10
2020-Agosto,17623.00
2020-Setiembre,17611.20
2020-Octubre,18314.80
2020-Noviembre,18249.40
2020-Diciembre,18468.20
2021-Enero,18253.30
2021-Febrero,18374.40
2021-Marzo,18699.80
2021-Abril,18812.20
2021-Mayo,18929.70
2021-Junio,18748.80
2021-Julio,19167.10
2021-Agosto,19810.40
2021-Setiembre,19827.20
2021-Octubre,20663.20
2021-Noviembre,20701.80
2021-Diciembre,20939.60
