"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Remesas familiares",,,,,,
"Remesas familiares: ingresos, egresos y neto",,,,,,
"Unidad de medida: Millones de US dólares.",,,,,,
Fechas,Guatemala,,,,,
,"Remesas, ingreso","Remesas, egreso","Remesas neto","Remesas, ingreso acumulado","Remesas, egreso acumulado","Remesas neto acumulado"
2010-Enero,246.13,1.12,245.01,246.13,1.12,245.01
2010-Febrero,274.51,1.09,273.42,520.64,2.21,518.43
2010-Marzo,369.95,1.38,368.57,890.60,3.59,887.01
2010-Abril,344.41,1.49,342.92,1235.00,5.08,1229.92
2010-Mayo,357.02,1.73,355.29,1592.02,6.81,1585.21
2010-Junio,394.29,1.25,393.04,1986.31,8.06,1978.25
2010-Julio,384.61,1.52,383.09,2370.92,9.58,2361.34
2010-Agosto,377.36,0.95,376.41,2748.28,10.53,2737.75
2010-Setiembre,359.31,1.32,357.99,3107.59,11.85,3095.74
2010-Octubre,339.37,1.35,338.03,3446.97,13.20,3433.77
2010-Noviembre,331.38,1.17,330.21,3778.35,14.37,3763.98
2010-Diciembre,348.43,1.09,347.34,4126.78,15.46,4111.33
2011-Enero,283.35,1.24,282.11,283.35,1.24,282.11
2011-Febrero,304.62,1.12,303.51,587.97,2.35,585.62
2011-Marzo,384.12,1.57,382.55,972.09,3.93,968.16
2011-Abril,371.29,1.45,369.83,1343.38,5.38,1338.00
2011-Mayo,415.32,1.63,413.70,1758.70,7.01,1751.69
2011-Junio,416.39,1.64,414.75,2175.09,8.65,2166.44
2011-Julio,349.83,1.72,348.11,2524.92,10.37,2514.55
2011-Agosto,409.56,0.90,408.66,2934.48,11.27,2923.21
2011-Setiembre,364.78,1.30,363.49,3299.26,12.56,3286.70
2011-Octubre,356.80,1.26,355.55,3656.06,13.82,3642.25
2011-Noviembre,343.50,1.39,342.11,3999.56,15.21,3984.35
2011-Diciembre,378.47,1.09,377.37,4378.03,16.30,4361.73
2012-Enero,305.09,1.35,303.74,305.09,1.35,303.74
2012-Febrero,350.39,1.30,349.09,655.48,2.65,652.83
2012-Marzo,402.13,1.96,400.17,1057.61,4.61,1053.00
2012-Abril,418.97,1.58,417.39,1476.58,6.19,1470.39
2012-Mayo,451.56,1.79,449.77,1928.14,7.98,1920.16
2012-Junio,432.67,1.32,431.35,2360.81,9.30,2351.51
2012-Julio,422.09,1.60,420.49,2782.90,10.90,2772.00
2012-Agosto,441.40,1.12,440.28,3224.30,12.02,3212.28
2012-Setiembre,365.80,1.30,364.50,3590.10,13.32,3576.78
2012-Octubre,415.40,1.30,414.10,4005.50,14.62,3990.88
2012-Noviembre,367.96,1.61,366.35,4373.46,16.23,4357.23
2012-Diciembre,409.23,1.47,407.76,4782.69,17.70,4764.99
2013-Enero,357.87,1.53,356.34,357.87,1.53,356.34
2013-Febrero,351.17,1.29,349.88,709.04,2.82,706.22
2013-Marzo,424.05,1.68,422.37,1133.09,4.50,1128.59
2013-Abril,451.24,1.98,449.26,1584.33,6.48,1577.85
2013-Mayo,476.99,2.03,474.96,2061.32,8.51,2052.81
2013-Junio,417.20,1.24,415.96,2478.52,9.75,2468.77
2013-Julio,445.76,1.80,443.96,2924.28,11.55,2912.73
2013-Agosto,456.34,1.10,455.24,3380.62,12.65,3367.97
2013-Setiembre,420.70,1.60,419.10,3801.32,14.25,3787.07
2013-Octubre,480.04,1.30,478.74,4281.36,15.55,4265.81
2013-Noviembre,376.59,1.70,374.89,4657.95,17.25,4640.70
2013-Diciembre,447.25,1.30,445.95,5105.21,18.55,5086.66
2014-Enero,394.19,1.60,392.59,394.19,1.60,392.59
2014-Febrero,383.94,1.40,382.54,778.13,3.00,775.13
2014-Marzo,459.23,1.80,457.43,1237.36,4.80,1232.56
2014-Abril,490.68,1.90,488.78,1728.05,6.70,1721.35
2014-Mayo,494.06,2.00,492.06,2222.10,8.70,2213.40
2014-Junio,481.86,1.10,480.76,2703.96,9.80,2694.16
2014-Julio,509.73,1.80,507.93,3213.69,11.60,3202.09
2014-Agosto,476.79,0.90,475.89,3690.48,12.50,3677.98
2014-Setiembre,458.78,1.80,456.98,4149.26,14.30,4134.96
2014-Octubre,500.53,1.50,499.03,4649.79,15.80,4633.99
2014-Noviembre,398.28,1.50,396.78,5048.08,17.30,5030.78
2014-Diciembre,496.02,1.50,494.52,5544.10,18.80,5525.30
2015-Enero,407.43,1.50,405.93,407.43,1.50,405.93
2015-Febrero,431.98,0.60,431.38,839.41,2.10,837.31
2015-Marzo,556.48,1.50,554.98,1395.89,3.60,1392.29
2015-Abril,503.85,1.50,502.35,1899.74,5.10,1894.64
2015-Mayo,518.95,1.50,517.45,2418.69,6.60,2412.09
2015-Junio,536.30,1.10,535.20,2954.99,7.70,2947.29
2015-Julio,573.71,1.50,572.21,3528.71,9.20,3519.51
2015-Agosto,527.34,0.90,526.44,4056.05,10.10,4045.95
2015-Setiembre,538.35,1.40,536.95,4594.40,11.50,4582.90
2015-Octubre,583.76,1.60,582.16,5178.17,13.10,5165.07
2015-Noviembre,508.66,1.80,506.86,5686.83,14.90,5671.93
2015-Diciembre,598.15,1.30,596.85,6284.98,16.20,6268.78
2016-Enero,481.96,1.30,480.66,481.96,1.30,480.66
2016-Febrero,558.04,1.50,556.54,1040.00,2.80,1037.20
2016-Marzo,622.99,1.40,621.59,1662.98,4.20,1658.78
2016-Abril,609.31,1.20,608.11,2272.30,5.40,2266.90
2016-Mayo,625.30,1.30,624.00,2897.60,6.70,2890.90
2016-Junio,614.66,1.40,613.26,3512.26,8.10,3504.16
2016-Julio,536.12,1.10,535.02,4048.38,9.20,4039.18
2016-Agosto,619.23,1.20,618.03,4667.61,10.40,4657.21
2016-Setiembre,607.67,1.20,606.47,5275.27,11.60,5263.67
2016-Octubre,605.94,1.60,604.34,5881.21,13.20,5868.01
2016-Noviembre,600.34,1.50,598.84,6481.56,14.70,6466.86
2016-Diciembre,678.41,1.10,677.31,7159.97,15.80,7144.17
2017-Enero,587.63,1.40,586.23,587.63,1.40,586.23
2017-Febrero,613.90,1.00,612.90,1201.53,2.40,1199.13
2017-Marzo,739.82,1.30,738.52,1941.35,3.70,1937.65
2017-Abril,639.88,1.10,638.78,2581.23,4.80,2576.43
2017-Mayo,747.43,1.80,745.63,3328.66,6.60,3322.06
2017-Junio,723.71,1.00,722.71,4052.37,7.60,4044.77
2017-Julio,664.19,1.30,662.89,4716.56,8.90,4707.66
2017-Agosto,707.84,1.20,706.64,5424.40,10.10,5414.30
