"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Balanza de pagos",,,,,,
"Cuenta corriente",,,,,,
"Unidad de medida: Millones de US dólares.",,,,,,
Fechas,Guatemala,,,,,,,,,
,"Cuenta Corriente","Balance de bienes","Balance de servicios","Balance ingreso primario","Balance ingreso secundario","Cuenta corriente, acumulada","Balance bienes, acumulado","Balance servicios, acumulado","Balance ingreso primario, acumulado","Balance ingreso secundario, acumulado"
2010-I,18.73,-785.15,1.54,-268.95,1071.29,18.73,-785.15,1.54,-268.95,1071.29
2010-II,49.45,-1048.09,-24.13,-235.58,1357.24,68.18,-1833.23,-22.59,-504.53,2428.53
2010-III,-358.39,-1443.34,-17.54,-246.27,1348.77,-290.21,-3276.57,-40.13,-750.80,3777.30
2010-IV,-476.74,-1406.00,-23.92,-282.89,1236.06,-766.95,-4682.57,-64.05,-1033.69,5013.36
2011-I,-143.54,-924.92,14.32,-373.50,1140.48,-143.54,-924.92,14.32,-373.50,1140.48
2011-II,-431.56,-1401.54,-95.09,-295.51,1360.58,-575.10,-2326.45,-80.77,-669.01,2501.05
2011-III,-419.67,-1525.55,25.37,-256.99,1337.54,-994.77,-3852.00,-55.40,-926.00,3838.60
2011-IV,-585.06,-1487.95,-37.44,-377.30,1317.64,-1579.83,-5339.95,-92.85,-1303.30,5156.24
2012-I,-308.85,-1307.16,31.63,-288.94,1255.53,-308.85,-1307.16,31.63,-288.94,1255.53
2012-II,-364.26,-1599.34,-67.69,-230.75,1533.52,-673.11,-2906.50,-36.06,-519.70,2789.05
2012-III,-292.99,-1622.65,52.05,-186.81,1464.41,-966.10,-4529.14,15.99,-706.51,4253.46
2012-IV,-880.98,-1899.06,-92.77,-318.48,1429.23,-1847.08,-6428.20,-76.78,-1024.98,5682.68
2013-I,-337.16,-1398.61,68.38,-353.72,1346.79,-337.16,-1398.61,68.38,-353.72,1346.79
2013-II,-590.14,-1635.57,-44.62,-391.46,1481.52,-927.30,-3034.18,23.76,-745.18,2828.31
2013-III,-803.32,-1914.87,38.78,-364.15,1436.92,-1730.62,-4949.06,62.54,-1109.33,4265.24
2013-IV,-508.17,-1799.97,-28.36,-126.67,1446.84,-2238.78,-6749.03,34.17,-1236.00,5712.07
2014-I,-438.52,-1535.65,83.90,-379.68,1392.91,-438.52,-1535.65,83.90,-379.68,1392.91
