"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Inversión extranjera directa",,,,,,
"IED trimestral en el país, en el exterior y neto",,,,,,
"Unidad de medida: Millones de US dólares.",,,,,,
Fechas,Guatemala,,
,"Inversión directa en el país","Inversión directa en el exterior","Inversión directa neta"
2010-I,162.73,4.27,-154.93
2010-II,141.21,3.98,-139.07
2010-III,166.92,4.26,-170.42
2010-IV,154.85,4.20,-143.55
2011-I,204.92,4.70,-326.59
2011-II,152.54,4.74,-318.70
2011-III,132.78,5.13,-228.03
2011-IV,175.51,4.62,-266.25
2012-I,155.33,5.40,-392.43
2012-II,115.63,5.24,-332.87
2012-III,100.65,7.33,-213.94
2012-IV,133.04,6.64,-287.00
2013-I,216.52,5.84,-402.58
2013-II,215.75,6.43,-385.78
2013-III,202.76,6.96,-352.72
2013-IV,174.40,7.67,-307.78
2014-I,201.42,5.90,-379.28
2014-II,190.38,11.81,-342.28
2014-III,186.62,5.18,-347.54
2014-IV,155.44,4.42,-318.64
2015-I,170.82,19.23,-266.27
2015-II,165.96,37.56,-124.47
2015-III,217.75,18.91,-236.41
2015-IV,159.59,16.32,-420.94
2016-I,146.96,38.67,-221.94
2016-II,147.91,35.32,-294.25
2016-III,175.90,49.77,-237.13
2016-IV,154.57,40.05,-211.71
2017-I,203.00,29.50,-255.70
2017-II,151.00,47.40,-162.50
2017-III,179.30,36.20,-232.20
2017-IV,234.40,37.70,-283.60
2018-I,242.10,39.00,-205.90
2018-II,186.10,37.40,-135.40
2018-III,179.00,31.30,-121.30
2018-IV,218.00,39.50,-315.20
2019-I,230.60,27.90,-253.50
2019-II,217.80,28.20,-127.90
2019-III,203.70,36.90,-196.80
2019-IV,245.60,35.70,-221.20
2020-I,236.20,37.77,-189.50
2020-II,179.70,40.44,-199.03
2020-III,216.46,43.71,-160.91
2020-IV,199.47,24.91,-177.22
2021-I,254.54,42.81,-248.26
2021-II,220.76,25.12,-249.14
2021-III,301.25,19.96,-191.89
