"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Mercado de valores",,,,,,
"Volumen transado por mercado",,,,,,
"Unidad de medida: Millones de US dólares.  Millones de moneda nacional",,,,,,
Fechas,Guatemala,,
,"Mercado primario","Mercado secundario total","Mercado de reportos"
2010-Enero,14109.41,7846.22,3590.87
2010-Febrero,9438.37,10226.27,10174.69
2010-Marzo,10082.91,15535.76,15421.81
2010-Abril,8336.52,12065.87,12048.00
2010-Mayo,8696.70,10050.70,10050.70
2010-Junio,10267.26,13011.74,12955.69
2010-Julio,8517.86,14723.96,14690.39
2010-Agosto,8612.89,13251.25,13209.80
2010-Setiembre,7775.19,16705.42,16569.76
2010-Octubre,5687.90,11893.31,11881.08
2010-Noviembre,6810.36,17811.24,17662.65
2010-Diciembre,6928.78,14614.50,14561.45
2011-Enero,8831.18,12682.59,12682.56
2011-Febrero,7621.20,10784.28,10676.72
2011-Marzo,13003.76,8592.46,8515.50
2011-Abril,10968.65,10574.88,10563.30
2011-Mayo,12145.22,13529.35,13078.33
2011-Junio,35917.33,12998.62,12498.80
2011-Julio,30570.28,11585.55,11555.73
2011-Agosto,24134.50,15133.41,14737.86
2011-Setiembre,34874.67,19194.11,19058.91
2011-Octubre,23072.76,23721.09,23706.60
2011-Noviembre,7066.97,33062.55,32988.76
2011-Diciembre,21523.90,24405.56,24326.77
2012-Enero,26466.50,20020.11,19533.21
2012-Febrero,7240.51,18926.21,18915.05
2012-Marzo,25246.77,17169.10,17110.33
2012-Abril,16374.17,20834.59,20601.26
2012-Mayo,5871.56,38979.07,38961.78
2012-Junio,25261.84,23085.77,22912.43
2012-Julio,31159.43,21047.54,20990.58
2012-Agosto,24416.58,18111.05,17946.82
2012-Setiembre,34052.10,13065.01,13018.89
2012-Octubre,37770.92,12115.20,11970.29
2012-Noviembre,44939.51,12759.13,12685.18
2012-Diciembre,49785.10,22191.79,21651.10
2013-Enero,36136.39,13254.06,12964.25
2013-Febrero,19100.58,19820.61,19807.94
2013-Marzo,26508.91,21129.78,20973.79
2013-Abril,35675.09,28044.17,27956.09
2013-Mayo,34899.04,17564.13,17499.46
2013-Junio,52611.59,17169.86,17152.69
2013-Julio,78860.45,18302.23,18209.94
2013-Agosto,67309.45,14924.33,14868.91
2013-Setiembre,56373.06,14596.50,14314.98
2013-Octubre,56305.39,13775.98,13682.70
2013-Noviembre,27442.00,13386.03,12861.34
2013-Diciembre,40167.83,12978.02,12965.99
2014-Enero,48981.25,11091.49,10366.40
2014-Febrero,31347.24,15329.97,15273.97
2014-Marzo,31569.69,21019.07,20914.39
2014-Abril,15732.20,30282.47,30176.06
2014-Mayo,4624.62,46779.30,46097.98
2014-Junio,29810.45,21723.37,21316.76
2014-Julio,61297.80,19479.80,18929.87
2014-Agosto,39487.14,13650.90,13390.72
2014-Setiembre,47076.75,10729.02,10614.93
2014-Octubre,35033.28,16709.24,15803.17
2014-Noviembre,21299.89,19039.83,18164.19
2014-Diciembre,42736.13,15320.68,15127.80
2015-Enero,41099.47,14336.77,14054.66
2015-Febrero,26211.49,21526.09,21506.87
2015-Marzo,50541.80,18285.88,18224.93
2015-Abril,26338.63,23910.26,23903.89
2015-Mayo,17564.74,75528.98,41797.95
2015-Junio,32139.35,55740.17,36710.05
2015-Julio,36637.52,34959.28,34627.28
2015-Agosto,17605.37,26945.24,26627.93
2015-Setiembre,36812.17,28990.59,28823.11
2015-Octubre,27250.65,31050.84,31050.84
2015-Noviembre,16844.00,42457.06,42261.37
2015-Diciembre,27626.26,35753.11,35645.29
2016-Enero,33712.75,22754.38,22075.46
