"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
Precios,,,,,,
"Expectativas de inflación",,,,,,
"Unidad de medida:   Porcentajes",,,,,,
Fechas,Guatemala
,"Expectativas de inflación"
2010-Enero,3.34
2010-Febrero,3.97
2010-Marzo,5.39
2010-Abril,5.04
2010-Mayo,5.36
2010-Junio,4.81
2010-Julio,4.89
2010-Agosto,5.35
2010-Setiembre,5.89
2010-Octubre,5.96
2010-Noviembre,5.95
2010-Diciembre,5.71
2011-Enero,5.99
2011-Febrero,5.50
2011-Marzo,6.24
2011-Abril,6.07
2011-Mayo,5.96
2011-Junio,6.38
2011-Julio,5.96
2011-Agosto,6.33
2011-Setiembre,6.69
2011-Octubre,6.69
2011-Noviembre,6.85
2011-Diciembre,5.94
2012-Enero,6.21
2012-Febrero,6.00
2012-Marzo,5.59
2012-Abril,5.84
2012-Mayo,5.26
2012-Junio,4.89
2012-Julio,4.71
2012-Agosto,4.44
2012-Setiembre,4.91
2012-Octubre,4.70
2012-Noviembre,4.48
2012-Diciembre,4.65
2013-Enero,4.53
2013-Febrero,4.41
2013-Marzo,4.59
2013-Abril,4.85
2013-Mayo,4.71
2013-Junio,4.87
2013-Julio,4.88
2013-Agosto,4.85
2013-Setiembre,4.87
2013-Octubre,4.72
2013-Noviembre,4.69
2013-Diciembre,4.77
2014-Enero,4.73
2014-Febrero,4.56
2014-Marzo,4.46
2014-Abril,4.51
2014-Mayo,4.19
2014-Junio,4.24
2014-Julio,4.24
2014-Agosto,4.09
2014-Setiembre,4.24
2014-Octubre,4.08
2014-Noviembre,4.16
2014-Diciembre,4.21
2015-Enero,3.75
2015-Febrero,3.79
2015-Marzo,3.82
2015-Abril,3.62
2015-Mayo,3.46
2015-Junio,3.25
2015-Julio,3.16
2015-Agosto,3.04
2015-Setiembre,3.06
2015-Octubre,2.94
2015-Noviembre,3.02
2015-Diciembre,3.17
2016-Enero,3.62
2016-Febrero,3.94
2016-Marzo,3.94
2016-Abril,4.18
2016-Mayo,4.15
2016-Junio,4.33
2016-Julio,4.28
2016-Agosto,4.40
2016-Setiembre,4.43
2016-Octubre,4.42
2016-Noviembre,4.67
2016-Diciembre,4.68
2017-Enero,4.42
2017-Febrero,4.40
2017-Marzo,4.22
2017-Abril,4.38
2017-Mayo,4.20
2017-Junio,4.17
2017-Julio,4.47
2017-Agosto,4.48
2017-Setiembre,4.60
2017-Octubre,4.50
2017-Noviembre,4.49
2017-Diciembre,4.53
2018-Enero,4.88
2018-Febrero,4.67
2018-Marzo,4.55
2018-Abril,4.42
2018-Mayo,4.31
2018-Junio,4.35
2018-Julio,4.26
2018-Agosto,4.07
2018-Setiembre,4.12
2018-Octubre,4.30
2018-Noviembre,4.44
2018-Diciembre,4.24
2019-Enero,4.03
2019-Febrero,4.23
2019-Marzo,4.34
2019-Abril,4.32
2019-Mayo,4.42
2019-Junio,4.40
2019-Julio,4.57
2019-Agosto,4.60
2019-Setiembre,4.33
2019-Octubre,4.18
2019-Noviembre,4.05
2019-Diciembre,3.89
2020-Enero,4.07
2020-Febrero,3.92
2020-Marzo,3.86
2020-Abril,3.55
2020-Mayo,3.78
2020-Junio,3.50
2020-Julio,3.49
2020-Agosto,3.61
2020-Setiembre,3.81
2020-Octubre,4.19
2020-Noviembre,4.49
2020-Diciembre,4.49
2021-Enero,4.33
2021-Febrero,4.56
2021-Marzo,4.60
2021-Abril,4.54
2021-Mayo,4.54
2021-Junio,4.28
2021-Julio,4.30
2021-Agosto,4.22
2021-Setiembre,4.21
2021-Octubre,4.22
2021-Noviembre,4.17
2021-Diciembre,4.22
2022-Enero,4.20
