"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
Precios,,,,,,
"Índice de precios al consumidor",,,,,,
"Unidad de medida: Niveles del índice y variaciones en porcentajes",,,,,,
Fechas,Guatemala,,,
,"IPC general","IPC variación mensual","IPC variación interanual","IPC variación acumulada con diciembre anterior"
2010-Enero,96.11,1.29,1.43,1.29
2010-Febrero,96.53,0.44,2.48,1.73
2010-Marzo,97.64,1.15,3.93,2.90
2010-Abril,97.55,-0.09,3.75,2.81
2010-Mayo,97.45,-0.10,3.51,2.70
2010-Junio,97.94,0.50,4.07,3.22
2010-Julio,98.30,0.37,4.12,3.60
2010-Agosto,98.35,0.05,4.10,3.65
2010-Setiembre,98.63,0.28,3.76,3.95
2010-Octubre,99.15,0.53,4.51,4.49
2010-Noviembre,99.92,0.78,5.26,5.31
2010-Diciembre,100.00,0.08,5.39,5.39
2011-Enero,100.82,0.82,4.90,0.82
2011-Febrero,101.58,0.75,5.23,1.58
2011-Marzo,102.52,0.93,5.00,2.52
2011-Abril,103.17,0.63,5.76,3.17
2011-Mayo,103.68,0.49,6.39,3.68
2011-Junio,104.23,0.53,6.42,4.23
2011-Julio,105.22,0.95,7.04,5.22
2011-Agosto,105.85,0.60,7.63,5.85
2011-Setiembre,105.78,-0.07,7.25,5.78
2011-Octubre,105.74,-0.04,6.65,5.74
2011-Noviembre,105.97,0.22,6.05,5.97
2011-Diciembre,106.20,0.22,6.20,6.20
2012-Enero,106.30,0.09,5.44,0.09
2012-Febrero,106.83,0.50,5.17,0.59
2012-Marzo,107.18,0.33,4.55,0.92
2012-Abril,107.58,0.37,4.27,1.30
2012-Mayo,107.72,0.13,3.90,1.43
2012-Junio,107.85,0.12,3.47,1.55
2012-Julio,108.23,0.35,2.86,1.91
2012-Agosto,108.72,0.45,2.71,2.37
2012-Setiembre,109.25,0.49,3.28,2.87
2012-Octubre,109.28,0.03,3.35,2.90
2012-Noviembre,109.27,-0.01,3.11,2.89
2012-Diciembre,109.86,0.54,3.45,3.45
2013-Enero,110.40,0.49,3.86,0.49
2013-Febrero,111.30,0.82,4.18,1.31
2013-Marzo,111.83,0.48,4.34,1.79
2013-Abril,112.02,0.17,4.13,1.97
2013-Mayo,112.32,0.27,4.27,2.24
2013-Junio,113.02,0.62,4.79,2.88
2013-Julio,113.36,0.30,4.74,3.19
2013-Agosto,113.52,0.14,4.42,3.33
2013-Setiembre,113.85,0.29,4.21,3.63
2013-Octubre,113.82,-0.03,4.15,3.60
2013-Noviembre,114.33,0.45,4.63,4.07
2013-Diciembre,114.68,0.31,4.39,4.39
2014-Enero,114.97,0.25,4.14,0.25
