"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
Precios,,,,,,
"Índice subyacente de inflación",,,,,,
"Unidad de medida:   Niveles del índice y variaciones en porcentajes",,,,,,
Fechas,Guatemala,,
,ISI,"ISI variación interanual","ISI variación acumulada"
2010-Enero,97.34,1.58,0.32
2010-Febrero,97.55,1.97,0.53
2010-Marzo,98.12,2.39,1.12
2010-Abril,98.22,2.66,1.23
2010-Mayo,98.14,2.57,1.14
2010-Junio,98.50,2.42,1.52
2010-Julio,98.68,2.42,1.70
2010-Agosto,98.80,2.60,1.82
2010-Setiembre,99.00,2.54,2.03
2010-Octubre,99.36,2.81,2.40
2010-Noviembre,99.51,2.76,2.56
2010-Diciembre,100.00,3.06,3.06
2011-Enero,100.69,3.44,0.69
2011-Febrero,101.23,3.78,1.23
2011-Marzo,101.88,3.84,1.88
2011-Abril,102.30,4.15,2.30
2011-Mayo,102.61,4.56,2.61
2011-Junio,103.13,4.70,3.13
2011-Julio,103.79,5.18,3.79
2011-Agosto,104.13,5.40,4.13
2011-Setiembre,104.33,5.38,4.33
2011-Octubre,104.60,5.27,4.60
2011-Noviembre,104.95,5.46,4.95
2011-Diciembre,105.27,5.27,5.27
2012-Enero,105.36,4.64,0.09
2012-Febrero,105.69,4.40,0.40
2012-Marzo,106.21,4.25,0.90
2012-Abril,106.50,4.11,1.17
2012-Mayo,106.70,3.98,1.36
2012-Junio,107.10,3.85,1.74
2012-Julio,107.49,3.56,2.10
2012-Agosto,107.81,3.53,2.41
2012-Setiembre,108.15,3.66,2.73
2012-Octubre,108.51,3.74,3.08
2012-Noviembre,108.86,3.73,3.41
2012-Diciembre,109.20,3.73,3.73
2013-Enero,109.32,3.76,0.12
2013-Febrero,109.80,3.89,0.55
2013-Marzo,110.36,3.90,1.06
2013-Abril,110.55,3.80,1.24
2013-Mayo,110.79,3.83,1.46
2013-Junio,111.31,3.92,1.93
2013-Julio,111.63,3.85,2.22
2013-Agosto,111.74,3.65,2.33
2013-Setiembre,111.95,3.52,2.52
2013-Octubre,112.29,3.48,2.83
2013-Noviembre,112.76,3.58,3.27
2013-Diciembre,113.08,3.56,3.56
2014-Enero,113.09,3.44,0.01
2014-Febrero,113.35,3.23,0.23
2014-Marzo,113.85,3.17,0.68
2014-Abril,114.03,3.14,0.84
2014-Mayo,114.16,3.04,0.95
2014-Junio,114.57,2.93,1.32
2014-Julio,114.96,2.99,1.66
2014-Agosto,115.25,3.14,1.92
2014-Setiembre,115.54,3.20,2.17
2014-Octubre,115.93,3.24,2.51
