"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
Producción,,,,,,
"Índice Mensual de la Actividad Económica",,,,,,
"Unidad de medida: Niveles del índice y variaciones en porcentajes",,,,,,
Fechas,Guatemala,,,,,
,"Serie original",,,Tendencia-ciclo,,
,IMAE,"IMAE, variación interanual","IMAE, variación acumulada",IMAE,"IMAE, variación interanual","IMAE, variación acumulada"
2010-Enero,88.41,2.06,2.06,88.48,3.06,3.06
2010-Febrero,87.08,2.53,2.29,88.74,3.33,3.19
2010-Marzo,94.13,4.40,3.02,89.02,3.38,3.25
2010-Abril,89.66,2.15,2.80,89.22,3.23,3.25
2010-Mayo,88.28,3.02,2.84,89.28,2.90,3.18
2010-Junio,87.48,4.26,3.07,89.25,2.50,3.06
2010-Julio,87.98,1.07,2.79,89.34,2.21,2.94
2010-Agosto,87.31,1.68,2.65,89.63,2.12,2.84
2010-Setiembre,86.92,2.68,2.65,90.10,2.29,2.78
2010-Octubre,88.77,1.88,2.57,90.63,2.66,2.76
2010-Noviembre,91.54,3.88,2.70,91.12,3.13,2.80
2010-Diciembre,98.78,3.91,2.81,91.56,3.57,2.86
2011-Enero,92.14,4.21,4.21,91.88,3.84,3.84
2011-Febrero,91.27,4.81,4.51,92.22,3.92,3.88
2011-Marzo,96.96,3.00,3.98,92.56,3.97,3.91
2011-Abril,93.59,4.38,4.08,92.92,4.14,3.97
2011-Mayo,92.20,4.44,4.15,93.24,4.44,4.06
2011-Junio,91.59,4.70,4.24,93.57,4.84,4.19
2011-Julio,92.60,5.25,4.38,93.96,5.17,4.33
2011-Agosto,92.57,6.02,4.59,94.33,5.25,4.45
2011-Setiembre,92.08,5.93,4.73,94.59,4.98,4.51
2011-Octubre,91.86,3.47,4.61,94.70,4.49,4.51
2011-Noviembre,96.06,4.93,4.64,94.71,3.94,4.45
2011-Diciembre,101.29,2.54,4.45,94.76,3.49,4.37
2012-Enero,95.03,3.14,3.14,94.87,3.26,3.26
2012-Febrero,94.94,4.02,3.58,95.18,3.21,3.24
2012-Marzo,101.09,4.27,3.82,95.54,3.22,3.23
2012-Abril,95.11,1.63,3.27,95.84,3.15,3.21
2012-Mayo,95.57,3.66,3.35,96.04,3.00,3.17
2012-Junio,94.12,2.77,3.25,96.21,2.82,3.11
2012-Julio,94.92,2.50,3.14,96.49,2.69,3.05
2012-Agosto,95.27,2.92,3.12,96.92,2.75,3.01
2012-Setiembre,94.02,2.11,3.00,97.42,2.99,3.01
2012-Octubre,96.41,4.95,3.20,97.83,3.30,3.04
2012-Noviembre,99.13,3.19,3.20,98.13,3.61,3.09
2012-Diciembre,103.96,2.64,3.15,98.40,3.85,3.15
2013-Enero,99.05,4.23,4.23,98.67,4.01,4.01
2013-Febrero,98.80,4.07,4.15,98.99,4.00,4.00
2013-Marzo,101.71,0.61,2.92,99.28,3.91,3.97
2013-Abril,101.18,6.38,3.77,99.49,3.81,3.93
2013-Mayo,99.50,4.11,3.84,99.57,3.68,3.88
2013-Junio,96.71,2.75,3.66,99.62,3.54,3.82
2013-Julio,98.59,3.87,3.69,99.79,3.42,3.77
2013-Agosto,98.63,3.52,3.67,100.10,3.28,3.70
2013-Setiembre,97.72,3.94,3.70,100.45,3.11,3.64
2013-Octubre,99.57,3.28,3.66,100.75,2.99,3.57
2013-Noviembre,102.38,3.28,3.62,101.04,2.97,3.52
2013-Diciembre,106.15,2.10,3.49,101.46,3.11,3.48
2014-Enero,102.80,3.79,3.79,102.05,3.43,3.43
2014-Febrero,102.55,3.80,3.79,102.77,3.81,3.62
2014-Marzo,106.70,4.90,4.17,103.44,4.19,3.81
2014-Abril,104.78,3.55,4.01,104.00,4.53,3.99
2014-Mayo,104.43,4.96,4.20,104.39,4.83,4.16
2014-Junio,101.04,4.48,4.25,104.55,4.95,4.29
2014-Julio,103.76,5.24,4.39,104.52,4.74,4.36
2014-Agosto,102.17,3.58,4.29,104.54,4.43,4.37
2014-Setiembre,101.76,4.13,4.27,104.78,4.31,4.36
2014-Octubre,103.88,4.33,4.28,105.28,4.49,4.37
2014-Noviembre,107.12,4.63,4.31,105.89,4.80,4.41
2014-Diciembre,112.35,5.84,4.44,106.48,4.95,4.46
2015-Enero,107.77,4.83,4.83,106.93,4.78,4.78
2015-Febrero,107.15,4.49,4.66,107.25,4.37,4.57
2015-Marzo,111.76,4.74,4.69,107.51,3.93,4.36
2015-Abril,107.64,2.73,4.19,107.78,3.64,4.18
2015-Mayo,106.68,2.16,3.79,108.13,3.59,4.06
2015-Junio,105.59,4.51,3.90,108.62,3.90,4.03
2015-Julio,108.69,4.76,4.03,109.18,4.46,4.09
2015-Agosto,107.51,5.23,4.17,109.69,4.93,4.20
2015-Setiembre,106.65,4.80,4.24,109.98,4.96,4.28
2015-Octubre,108.43,4.39,4.26,110.01,4.50,4.31
2015-Noviembre,111.46,4.05,4.24,109.82,3.71,4.25
2015-Diciembre,115.28,2.61,4.09,109.55,2.88,4.13
2016-Enero,109.73,1.83,1.83,109.42,2.32,2.32
2016-Febrero,109.46,2.15,1.99,109.54,2.13,2.23
2016-Marzo,112.96,1.08,1.68,109.94,2.26,2.24
2016-Abril,112.25,4.29,2.32,110.49,2.51,2.31
2016-Mayo,111.13,4.17,2.69,111.01,2.66,2.38
2016-Junio,108.49,2.74,2.70,111.44,2.60,2.42
2016-Julio,109.35,0.60,2.40,111.81,2.41,2.41
2016-Agosto,110.37,2.66,2.43,112.17,2.26,2.40
2016-Setiembre,109.79,2.94,2.49,112.57,2.35,2.39
2016-Octubre,110.34,1.75,2.41,113.03,2.75,2.43
