"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
Producción,,,,,,
"Producto Interno Bruto   trimestral",,,,,,
"Unidad de medida: Millones de moneda nacional (o índice) encadenados y variaciones en porcentajes",,,,,,
Fechas,Guatemala,
,"PIB trimestral en constantes","PIB trimestral en constantes-variación interanual"
2010-I,93548.25,3.02
2010-II,92070.79,3.13
2010-III,91001.06,1.80
2010-IV,96860.62,3.25
2011-I,97275.49,3.98
2011-II,96217.01,4.50
2011-III,96220.30,5.74
2011-IV,100369.52,3.62
2012-I,100987.58,3.82
2012-II,98796.04,2.68
2012-III,98634.03,2.51
2012-IV,103941.56,3.56
2013-I,103944.16,2.93
2013-II,103189.87,4.45
2013-III,102342.83,3.76
2013-IV,106906.36,2.85
2014-I,108277.25,4.17
2014-II,107651.39,4.32
2014-III,106762.92,4.32
2014-IV,112195.64,4.95
2015-I,113352.23,4.69
2015-II,111006.00,3.12
2015-III,112024.53,4.93
2015-IV,116300.77,3.66
2016-I,115253.40,1.68
2016-II,115154.10,3.74
2016-III,114334.39,2.06
2016-IV,120063.61,3.24
2017-I,120651.25,4.68
2017-II,117956.51,2.43
2017-III,117866.94,3.09
2017-IV,122646.11,2.15
2018-I,123738.66,2.56
2018-II,123040.57,4.31
2018-III,121759.39,3.30
2018-IV,126499.06,3.14
2019-I,128401.89,3.77
2019-II,127615.60,3.72
2019-III,126439.05,3.84
2019-IV,131723.53,4.13
2020-I,129878.59,1.15
2020-II,116269.50,-8.89
2020-III,124609.27,-1.45
2020-IV,135610.63,2.95
2021-I,135950.51,4.68
2021-II,133928.81,15.19
2021-III,135317.86,8.59
