"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Deuda pública",,,,,,
"Deuda pública externa por deudor",,,,,,
"Unidad de medida: Millones de US dólares.",,,,,,
Fechas,Guatemala,
,"Deuda externa","Deuda externa GC"
2010-Enero,5257.87,5120.49
2010-Febrero,5240.21,5103.38
2010-Marzo,5228.29,5093.14
2010-Abril,5287.92,5153.50
2010-Mayo,5275.03,5141.36
2010-Junio,5419.78,5286.36
2010-Julio,5423.60,5289.40
2010-Agosto,5405.83,5271.69
2010-Setiembre,5412.36,5277.32
2010-Octubre,5438.06,5301.91
2010-Noviembre,5445.40,5311.82
2010-Diciembre,5562.00,5426.95
2011-Enero,5548.76,5413.68
2011-Febrero,5539.68,5405.85
2011-Marzo,5522.45,5389.05
2011-Abril,5518.80,5384.30
2011-Mayo,5537.60,5404.10
2011-Junio,5530.85,5399.52
2011-Julio,5522.80,5390.90
2011-Agosto,5498.40,5366.50
2011-Setiembre,5475.10,5345.60
2011-Octubre,5736.94,5607.60
2011-Noviembre,5402.60,5274.24
2011-Diciembre,5604.92,5479.69
2012-Enero,5587.88,5462.55
2012-Febrero,5551.62,5427.78
2012-Marzo,5527.99,5406.13
2012-Abril,5516.21,5393.90
2012-Mayo,5516.42,5395.03
2012-Junio,6238.35,6119.75
2012-Julio,6213.24,6095.11
2012-Agosto,6252.05,6133.90
2012-Setiembre,6247.12,6129.77
2012-Octubre,6297.68,6181.19
2012-Noviembre,6281.10,6166.10
2012-Diciembre,6304.90,6193.30
2013-Enero,6264.98,6155.08
2013-Febrero,6934.40,6825.30
2013-Marzo,6908.30,6800.36
2013-Abril,6953.50,6846.12
2013-Mayo,6937.80,6832.00
2013-Junio,6973.68,6870.67
2013-Julio,6650.90,6548.50
2013-Agosto,6639.77,6537.36
2013-Setiembre,6620.50,6518.10
2013-Octubre,6623.40,6521.19
2013-Noviembre,6807.41,6706.59
2013-Diciembre,7070.23,6973.07
2014-Enero,7045.47,6948.87
2014-Febrero,7023.70,6926.80
2014-Marzo,7028.10,6931.70
2014-Abril,7026.55,6930.07
2014-Mayo,7016.30,6920.50
2014-Junio,7029.08,6936.54
2014-Julio,7001.63,6910.32
2014-Agosto,7011.66,6920.70
2014-Setiembre,6985.08,6895.93
2014-Octubre,6996.50,6908.10
2014-Noviembre,7017.90,6930.60
2014-Diciembre,7039.30,6955.60
2015-Enero,7356.32,7273.72
2015-Febrero,7404.40,7322.14
2015-Marzo,7382.33,7300.93
2015-Abril,7496.05,7414.25
2015-Mayo,7484.72,7404.12
2015-Junio,7485.79,7408.19
2015-Julio,7451.64,7374.84
2015-Agosto,7429.95,7352.75
2015-Setiembre,7403.55,7326.55
2015-Octubre,7400.30,7323.48
2015-Noviembre,7377.10,7301.00
2015-Diciembre,7489.90,7417.10
2016-Enero,7447.45,7375.40
2016-Febrero,7430.37,7357.46
2016-Marzo,7410.78,7337.78
2016-Abril,7401.01,7327.41
2016-Mayo,8069.07,7996.17
2016-Junio,8064.97,7994.87
2016-Julio,8022.70,7952.60
2016-Agosto,8005.81,7935.81
2016-Setiembre,7996.81,7926.83
2016-Octubre,7962.48,7893.13
2016-Noviembre,8014.39,7946.74
2016-Diciembre,8015.50,7951.40
2017-Enero,7983.97,7919.27
2017-Febrero,7944.78,7880.20
2017-Marzo,7906.40,7842.10
2017-Abril,7870.29,7805.75
2017-Mayo,7859.40,7794.59
2017-Junio,8344.87,8282.91
2017-Julio,8309.74,8248.35
2017-Agosto,8286.06,8224.53
2017-Setiembre,8243.00,8182.06
2017-Octubre,8245.09,8184.33
2017-Noviembre,8233.88,8173.42
2017-Diciembre,8181.47,8123.21
2018-Enero,8164.54,8106.66
2018-Febrero,8158.21,8100.34
2018-Marzo,8139.69,8081.67
2018-Abril,8118.40,8061.12
2018-Mayo,8102.32,8045.74
2018-Junio,8088.04,8032.62
2018-Julio,8065.43,8012.34
2018-Agosto,8305.12,8252.00
2018-Setiembre,8272.86,8220.28
2018-Octubre,8246.54,8194.10
2018-Noviembre,8228.60,8176.14
2018-Diciembre,8224.65,8175.14
2019-Enero,8214.38,8164.76
2019-Febrero,8166.29,8116.89
2019-Marzo,8129.39,8080.06
2019-Abril,8078.57,8029.60
2019-Mayo,9263.17,9214.06
2019-Junio,9251.46,9204.51
2019-Julio,9215.04,9168.26
2019-Agosto,9177.00,9131.10
2019-Setiembre,9139.31,9093.88
2019-Octubre,9125.33,9079.79
2019-Noviembre,9113.67,9068.29
2019-Diciembre,9105.81,9063.37
2020-Enero,9105.51,9062.31
2020-Febrero,9040.42,8998.25
2020-Marzo,9003.72,8961.58
2020-Abril,10477.72,10435.81
2020-Mayo,10462.27,10420.29
2020-Junio,10448.61,10409.90
2020-Julio,10423.20,10384.10
2020-Agosto,10389.40,10350.20
2020-Setiembre,10346.33,10307.56
2020-Octubre,10416.26,10377.46
2020-Noviembre,10410.41,10371.44
2020-Diciembre,10449.77,10413.94
2021-Enero,10411.52,10375.81
2021-Febrero,10365.87,10330.22
2021-Marzo,10327.19,10292.18
2021-Abril,10308.75,10273.51
2021-Mayo,10287.19,10251.91
2021-Junio,10274.33,10242.49
2021-Julio,10249.66,10217.81
2021-Agosto,10205.96,10174.13
2021-Setiembre,10176.16,10144.80
2021-Octubre,11118.69,11087.36
2021-Noviembre,11135.26,11104.03
2021-Diciembre,11097.15,11069.19
