"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Deuda pública",,,,,,
"Deuda pública interna por deudor",,,,,,
"Unidad de medida: Millones de US dólares.  Millones de moneda nacional",,,,,,
Fechas,Guatemala,,
,"Deuda interna bruta","Deuda interna GC","Deuda interna BC"
2010-Enero,47560.13,30437.83,17122.30
2010-Febrero,47853.80,30401.80,17452.00
2010-Marzo,48032.00,30370.80,17661.20
2010-Abril,48455.10,29880.30,18574.80
2010-Mayo,48878.30,29695.10,19183.20
2010-Junio,48833.50,32410.00,16423.50
2010-Julio,50460.60,33832.00,16628.60
2010-Agosto,50599.40,34298.20,16301.20
2010-Setiembre,51646.70,35098.20,16548.50
2010-Octubre,51094.60,35098.20,15996.40
2010-Noviembre,51975.60,35098.20,16877.40
2010-Diciembre,53637.65,36769.15,16868.50
2011-Enero,53937.30,36949.80,16987.50
2011-Febrero,56680.80,38896.00,17784.80
2011-Marzo,58653.80,39749.90,18903.90
2011-Abril,57925.60,40139.50,17786.10
2011-Mayo,61005.10,40307.20,20697.90
2011-Junio,61364.00,41692.10,19671.90
2011-Julio,63005.50,42169.30,20836.20
2011-Agosto,62593.10,43102.40,19490.70
2011-Setiembre,64640.40,44194.10,20446.30
2011-Octubre,65288.30,45584.90,19703.40
2011-Noviembre,61913.80,46302.30,15611.50
2011-Diciembre,63128.20,45074.60,18053.60
2012-Enero,65128.62,44936.42,20192.20
2012-Febrero,64438.88,45814.78,18624.10
2012-Marzo,64504.56,46128.76,18375.80
2012-Abril,64798.30,47461.20,17337.10
2012-Mayo,65582.90,47489.90,18093.00
2012-Junio,65028.52,47160.42,17868.10
2012-Julio,65507.41,47445.81,18061.60
2012-Agosto,68541.66,47588.46,20953.20
2012-Setiembre,68920.30,47214.50,21705.80
2012-Octubre,67664.40,47214.20,20450.20
2012-Noviembre,68471.60,47183.90,21287.70
2012-Diciembre,67211.00,47094.00,20117.00
2013-Enero,70142.22,47992.82,22149.40
2013-Febrero,70734.21,49634.31,21099.90
2013-Marzo,68374.25,49623.95,18750.30
2013-Abril,70515.02,49619.22,20895.80
2013-Mayo,70664.19,49481.19,21183.00
2013-Junio,71470.63,49458.53,22012.10
2013-Julio,71977.68,49429.28,22548.40
