"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Tasas de interés y encaje",,,,,,
"Encaje efectivo",,,,,,
"Unidad de medida: Porcentajes",,,,,,
Fechas,Guatemala
,"Encaje efectivo en MN"
2010-Enero,14.78
2010-Febrero,14.77
2010-Marzo,14.78
2010-Abril,14.84
2010-Mayo,14.74
2010-Junio,14.81
2010-Julio,14.82
2010-Agosto,14.81
2010-Setiembre,14.75
2010-Octubre,14.77
2010-Noviembre,14.79
2010-Diciembre,14.91
2011-Enero,14.80
2011-Febrero,14.83
2011-Marzo,14.78
2011-Abril,14.81
2011-Mayo,14.79
2011-Junio,14.70
2011-Julio,14.71
2011-Agosto,14.69
2011-Setiembre,14.70
2011-Octubre,14.70
2011-Noviembre,14.69
2011-Diciembre,14.89
2012-Enero,14.67
2012-Febrero,14.69
2012-Marzo,14.71
2012-Abril,14.72
2012-Mayo,14.66
2012-Junio,14.68
2012-Julio,14.69
2012-Agosto,14.68
2012-Setiembre,14.69
2012-Octubre,14.66
2012-Noviembre,14.67
2012-Diciembre,14.76
2013-Enero,14.67
2013-Febrero,14.68
2013-Marzo,14.79
2013-Abril,14.68
2013-Mayo,14.67
2013-Junio,14.74
2013-Julio,14.66
2013-Agosto,14.69
2013-Setiembre,14.68
2013-Octubre,14.66
2013-Noviembre,14.70
2013-Diciembre,14.81
2014-Enero,14.68
2014-Febrero,14.69
2014-Marzo,14.80
2014-Abril,14.72
2014-Mayo,14.71
2014-Junio,14.78
2014-Julio,14.68
2014-Agosto,14.73
2014-Setiembre,14.68
2014-Octubre,14.67
2014-Noviembre,14.60
2014-Diciembre,14.76
2015-Enero,14.69
2015-Febrero,14.68
2015-Marzo,14.66
2015-Abril,14.66
2015-Mayo,14.82
2015-Junio,14.73
2015-Julio,14.68
2015-Agosto,14.69
2015-Setiembre,14.70
2015-Octubre,14.69
2015-Noviembre,14.67
2015-Diciembre,14.85
2016-Enero,14.70
2016-Febrero,14.68
2016-Marzo,14.68
2016-Abril,14.78
2016-Mayo,14.73
2016-Junio,14.71
2016-Julio,14.72
2016-Agosto,14.68
2016-Setiembre,14.69
2016-Octubre,14.68
2016-Noviembre,14.70
2016-Diciembre,14.82
2017-Enero,14.69
2017-Febrero,14.68
2017-Marzo,14.67
2017-Abril,14.70
2017-Mayo,14.66
2017-Junio,14.70
2017-Julio,14.68
2017-Agosto,14.65
2017-Setiembre,14.69
2017-Octubre,14.65
2017-Noviembre,14.67
2017-Diciembre,15.00
2018-Enero,14.67
2018-Febrero,14.65
2018-Marzo,14.74
2018-Abril,14.67
2018-Mayo,14.66
2018-Junio,14.60
2018-Julio,14.65
2018-Agosto,14.68
2018-Setiembre,14.69
2018-Octubre,14.69
2018-Noviembre,14.69
2018-Diciembre,14.91
2019-Enero,14.68
2019-Febrero,14.68
2019-Marzo,14.68
2019-Abril,14.65
2019-Mayo,14.64
2019-Junio,14.68
2019-Julio,14.66
2019-Agosto,14.67
2019-Setiembre,14.65
2019-Octubre,14.67
2019-Noviembre,14.69
2019-Diciembre,14.87
2020-Enero,14.66
2020-Febrero,14.68
2020-Marzo,14.74
2020-Abril,14.82
2020-Mayo,14.82
2020-Junio,14.92
2020-Julio,14.70
2020-Agosto,14.70
2020-Setiembre,14.68
2020-Octubre,14.70
2020-Noviembre,14.67
2020-Diciembre,14.88
2021-Enero,14.76
2021-Febrero,14.71
2021-Marzo,14.72
2021-Abril,14.72
2021-Mayo,14.70
2021-Junio,14.72
2021-Julio,14.70
2021-Agosto,14.70
2021-Setiembre,14.68
2021-Octubre,14.73
2021-Noviembre,14.69
2021-Diciembre,14.89
