"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Tasas de interés y encaje",,,,,,
"Tasas de interés en moneda nacional",,,,,,
"Unidad de medida: Porcentajes",,,,,,
Fechas,Guatemala,,,
,"Tasa de interés activa nominal en MN","Tasa de interés pasiva nominal en MN","Tasa de interés activa real en MN","Tasa de interés pasiva real en MN"
2010-Enero,13.52,5.62,11.92,4.13
2010-Febrero,13.50,5.62,10.75,3.06
2010-Marzo,13.48,5.62,9.19,1.63
2010-Abril,13.42,5.58,9.32,1.76
2010-Mayo,13.36,5.53,9.52,1.95
2010-Junio,13.36,5.50,8.93,1.38
2010-Julio,13.29,5.44,8.81,1.27
2010-Agosto,13.27,5.42,8.81,1.27
2010-Setiembre,13.27,5.42,9.17,1.60
2010-Octubre,13.21,5.41,8.33,0.87
2010-Noviembre,13.21,5.40,7.55,0.13
2010-Diciembre,13.25,5.34,7.46,-0.05
2011-Enero,13.28,5.35,7.99,0.43
2011-Febrero,13.37,5.33,7.73,0.09
2011-Marzo,13.37,5.30,7.97,0.29
2011-Abril,13.44,5.27,7.26,-0.46
2011-Mayo,13.37,5.28,6.56,-1.05
2011-Junio,13.39,5.26,6.55,-1.09
2011-Julio,13.37,5.24,5.91,-1.68
2011-Agosto,13.45,5.25,5.41,-2.21
2011-Setiembre,13.51,5.24,5.84,-1.87
2011-Octubre,13.53,5.24,6.45,-1.32
2011-Noviembre,13.55,5.25,7.07,-0.76
2011-Diciembre,13.57,5.18,6.94,-0.96
2012-Enero,13.56,5.20,7.71,-0.22
2012-Febrero,13.49,5.20,7.91,0.03
2012-Marzo,13.39,5.21,8.46,0.64
2012-Abril,13.41,5.23,8.76,0.92
2012-Mayo,13.43,5.25,9.18,1.30
2012-Junio,13.46,5.20,9.65,1.67
2012-Julio,13.51,5.34,10.35,2.41
2012-Agosto,13.49,5.34,10.49,2.56
2012-Setiembre,13.52,5.38,9.91,2.03
2012-Octubre,13.59,5.40,9.91,1.99
2012-Noviembre,13.55,5.41,10.12,2.23
2012-Diciembre,13.47,5.38,9.69,1.87
2013-Enero,13.52,5.42,9.30,1.50
2013-Febrero,13.50,5.45,8.94,1.21
2013-Marzo,13.50,5.46,8.78,1.07
2013-Abril,13.53,5.45,9.03,1.27
2013-Mayo,13.59,5.44,8.94,1.12
2013-Junio,13.62,5.46,8.42,0.64
2013-Julio,13.62,5.45,8.48,0.68
2013-Agosto,13.62,5.47,8.82,1.01
2013-Setiembre,13.63,5.50,9.04,1.24
2013-Octubre,13.66,5.47,9.13,1.26
2013-Noviembre,13.68,5.50,8.65,0.83
2013-Diciembre,13.70,5.46,8.92,1.03
2014-Enero,13.78,6.06,9.26,1.84
2014-Febrero,13.81,6.07,9.96,2.48
2014-Marzo,13.80,5.50,10.22,2.18
2014-Abril,13.81,5.50,10.21,2.16
2014-Mayo,13.83,5.51,10.28,2.22
2014-Junio,13.84,5.50,10.38,2.30
2014-Julio,13.87,5.46,10.11,1.98
2014-Agosto,13.74,5.46,9.68,1.70
2014-Setiembre,13.73,5.48,9.94,1.96
2014-Octubre,13.73,5.49,9.74,1.79
2014-Noviembre,13.70,5.49,9.99,2.04
2014-Diciembre,13.64,5.46,10.39,2.44
2015-Enero,13.60,5.45,11.02,3.06
2015-Febrero,13.48,5.45,10.78,2.94
2015-Marzo,13.37,5.45,10.69,2.95
2015-Abril,13.29,5.43,10.44,2.78
2015-Mayo,13.21,5.49,10.39,2.86
2015-Junio,13.15,5.49,10.51,3.03
2015-Julio,13.12,5.48,10.55,3.09
2015-Agosto,13.09,5.48,10.91,3.45
2015-Setiembre,13.13,5.49,11.05,3.55
2015-Octubre,13.12,5.49,10.65,3.19
2015-Noviembre,13.12,5.50,10.35,2.91
2015-Diciembre,13.06,5.43,9.70,2.29
2016-Enero,13.08,5.50,8.34,1.08
2016-Febrero,13.07,5.50,8.44,1.18
2016-Marzo,13.11,5.49,8.49,1.18
2016-Abril,13.13,5.48,8.69,1.34
2016-Mayo,13.15,5.48,8.43,1.08
2016-Junio,13.14,5.46,8.34,0.98
2016-Julio,13.11,5.46,8.12,0.80
2016-Agosto,13.10,5.47,7.98,0.70
2016-Setiembre,13.12,5.48,8.19,0.88
2016-Octubre,13.10,5.49,7.96,0.70
2016-Noviembre,13.08,5.49,8.03,0.78
2016-Diciembre,13.03,5.44,8.44,1.16
2017-Enero,13.05,5.45,8.88,1.56
2017-Febrero,13.05,5.45,8.75,1.44
2017-Marzo,13.08,5.44,8.73,1.39
2017-Abril,13.08,5.42,8.64,1.28
2017-Mayo,13.04,5.41,8.76,1.42
2017-Junio,13.05,5.40,8.32,0.99
2017-Julio,13.06,5.37,7.45,0.14
2017-Agosto,13.06,5.35,7.97,0.60
2017-Setiembre,13.05,5.35,8.33,0.95
2017-Octubre,13.08,5.33,8.52,1.08
2017-Noviembre,13.05,5.32,7.98,0.60
2017-Diciembre,13.00,5.28,6.93,-0.38
2018-Enero,13.07,5.27,7.98,0.53
2018-Febrero,13.05,5.27,8.54,1.07
2018-Marzo,13.01,5.25,8.52,1.06
2018-Abril,13.02,5.25,8.76,1.28
2018-Mayo,12.98,5.22,8.54,1.09
2018-Junio,12.94,5.21,8.82,1.37
2018-Julio,12.96,5.17,10.09,2.50
2018-Agosto,12.92,5.15,9.24,1.73
2018-Setiembre,12.87,5.13,7.96,0.55
2018-Octubre,12.85,5.11,8.16,0.74
2018-Noviembre,12.81,5.09,9.37,1.88
2018-Diciembre,12.72,5.05,10.17,2.68
2019-Enero,12.74,5.05,8.29,0.91
2019-Febrero,12.77,5.03,7.96,0.55
2019-Marzo,12.79,5.02,8.27,0.81
2019-Abril,12.75,5.01,7.63,0.25
2019-Mayo,12.74,5.10,7.85,0.54
2019-Junio,12.75,5.08,7.59,0.27
2019-Julio,12.77,5.03,8.05,0.63
2019-Agosto,12.79,5.00,9.49,1.93
2019-Setiembre,12.78,4.99,10.78,3.13
2019-Octubre,12.70,4.96,10.31,2.73
2019-Noviembre,12.67,4.95,9.47,1.97
2019-Diciembre,12.64,4.91,8.93,1.45
2020-Enero,12.65,4.87,10.68,3.03
2020-Febrero,12.68,4.84,11.30,3.56
2020-Marzo,12.64,4.82,10.68,3.00
2020-Abril,12.62,4.74,10.54,2.81
2020-Mayo,12.66,4.73,10.66,2.88
2020-Junio,12.65,4.68,10.02,2.24
2020-Julio,12.46,4.60,9.31,1.67
2020-Agosto,12.48,4.56,7.96,0.36
2020-Setiembre,12.48,4.51,7.16,-0.43
2020-Octubre,12.33,4.46,6.63,-0.84
2020-Noviembre,12.32,4.42,6.50,-0.99
2020-Diciembre,12.33,4.35,7.16,-0.45
2021-Enero,12.34,4.32,6.75,-0.87
2021-Febrero,12.32,4.29,5.96,-1.61
2021-Marzo,12.32,4.25,6.12,-1.50
2021-Abril,12.28,4.22,6.73,-0.94
2021-Mayo,12.25,4.19,6.73,-0.93
2021-Junio,12.24,4.15,8.02,0.23
2021-Julio,12.14,4.09,8.02,0.26
2021-Agosto,12.14,4.07,8.23,0.44
2021-Setiembre,12.16,4.04,8.19,0.36
2021-Octubre,12.13,4.03,8.91,1.04
2021-Noviembre,12.02,4.02,8.88,1.10
2021-Diciembre,11.92,3.99,8.59,0.89
