"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Tipos de cambio",,,,,,
"Tipo de cambio de mercado",,,,,,
"Unidad de medida: Moneda nacional por unidad de US dólar",,,,,,
Fechas,Guatemala,,,
,"Tipo de cambio de compra promedio del mes","Tipo de cambio de venta promedio del mes","Tipo de cambio de compra fin de mes","Tipo de cambio de venta fin de mes"
2010-Enero,8.36,8.38,8.31,8.33
2010-Febrero,8.14,8.16,8.11,8.18
2010-Marzo,8.01,8.04,7.96,8.00
2010-Abril,7.99,8.02,8.00,8.03
2010-Mayo,7.99,8.01,7.99,8.02
2010-Junio,8.00,8.02,8.02,8.05
2010-Julio,7.99,8.02,7.99,8.03
2010-Agosto,8.00,8.03,8.03,8.07
2010-Setiembre,8.07,8.08,8.12,8.09
2010-Octubre,8.04,8.07,8.00,8.04
2010-Noviembre,7.99,8.02,7.96,7.99
2010-Diciembre,7.96,7.99,8.00,8.03
2011-Enero,7.94,7.96,7.84,7.87
2011-Febrero,7.79,7.82,7.75,7.78
2011-Marzo,7.69,7.72,7.64,7.68
2011-Abril,7.60,7.63,7.56,7.59
2011-Mayo,7.65,7.67,7.77,7.79
2011-Junio,7.76,7.80,7.76,7.80
2011-Julio,7.74,7.77,7.76,7.79
2011-Agosto,7.81,7.84,7.83,7.85
2011-Setiembre,7.84,7.86,7.86,7.90
2011-Octubre,7.83,7.86,7.81,7.85
2011-Noviembre,7.80,7.83,7.84,7.87
2011-Diciembre,7.79,7.81,7.79,7.83
2012-Enero,7.80,7.82,7.74,7.77
2012-Febrero,7.77,7.79,7.76,7.78
2012-Marzo,7.71,7.74,7.66,7.70
2012-Abril,7.74,7.76,7.77,7.79
2012-Mayo,7.77,7.79,7.81,7.83
2012-Junio,7.84,7.86,7.82,7.85
2012-Julio,7.81,7.83,7.82,7.85
2012-Agosto,7.87,7.89,7.95,7.97
2012-Setiembre,7.96,7.98,7.94,7.96
2012-Octubre,7.86,7.88,7.81,7.83
2012-Noviembre,7.86,7.88,7.86,7.90
2012-Diciembre,7.88,7.91,7.88,7.91
2013-Enero,7.87,7.89,7.80,7.83
2013-Febrero,7.81,7.84,7.82,7.85
2013-Marzo,7.80,7.82,7.76,7.79
2013-Abril,7.78,7.81,7.77,7.79
2013-Mayo,7.78,7.80,7.78,7.80
2013-Junio,7.81,7.83,7.83,7.84
2013-Julio,7.81,7.83,7.83,7.85
2013-Agosto,7.89,7.91,7.93,7.96
2013-Setiembre,7.93,7.95,7.92,7.96
2013-Octubre,7.95,7.97,7.90,7.93
2013-Noviembre,7.88,7.91,7.88,7.91
2013-Diciembre,7.85,7.87,7.84,7.87
2014-Enero,7.83,7.85,7.79,7.81
2014-Febrero,7.75,7.77,7.72,7.75
2014-Marzo,7.72,7.74,7.71,7.74
2014-Abril,7.74,7.76,7.71,7.73
2014-Mayo,7.72,7.75,7.77,7.80
2014-Junio,7.79,7.82,7.76,7.79
2014-Julio,7.76,7.79,7.79,7.81
2014-Agosto,7.79,7.81,7.74,7.77
2014-Setiembre,7.71,7.73,7.64,7.67
2014-Octubre,7.63,7.65,7.58,7.62
2014-Noviembre,7.60,7.63,7.63,7.66
2014-Diciembre,7.61,7.63,7.58,7.61
2015-Enero,7.63,7.65,7.64,7.67
