fecha,base_monetaria_amplia,base_monetaria_restringida,pasivos_por_encaje_legal_en_me,otros_depositos_a_corto_plazo,otros_valores_a_corto_plazo,credito_total,credito_en_mn,credito_en_me,depositos_totales,depositos_en_mn,depositos_en_me,agregado_monetario_m1,billetes_y_monedas_en_poder_del_publico,depositos_transferibles_en_mn,agregado_monetario_m3,agregado_monetario_m2,cuasidinero_en_me,titulos_emitidos_por_el_banco_central_total,titulos_emitidos_por_el_banco_central_en_mn,titulos_emitidos_por_el_banco_central_en_me
2010-01-01,42990,30836,2822,168,9051,142362,94635,47727,120434,81502,38931,50068,17497,32570.83,143200,103143,40057,17748,17597,151
2010-02-01,41592,30690,2842,168,7775,140800,94543,46257,120034,80592,39442,48774,17398,31375.06,142732,102173,40559,17556,17403,153
2010-03-01,42653,31764,2879,168,7724,141090,95432,45658,120093,81201,38892,49667,18044,31622.77,143490,103472,40019,18455,18300,155
2010-04-01,42374,30885,2885,168,8314,140257,95744,44513,119787,81251,38536,48370,17303,31067.48,142392,102719,39672,19005,18847,158
2010-05-01,42835,29627,3626,168,9293,141945,97741,44204,120609,82457,38152,48626,17123,31503.19,142759,103466,39294,20753,20596,157
2010-06-01,41209,30733,3831,168,6354,141521,97412,44109,121847,82971,38876,48480,17127,31352.99,144039,104006,40033,17312,17149,163
2010-07-01,41129,30957,3620,198,6228,142034,98253,43781,123147,84073,39074,48977,17447,31529.64,145382,105155,40227,17716,17551,165
2010-08-01,40523,30580,3391,198,6228,144179,99784,44395,124172,85186,38986,48840,17064,31776.38,146061,105910,40151,18117,17949,168
2010-09-01,41164,31108,3504,198,6228,144870,99855,45015,124472,85403,39069,48820,17025,31794.91,146372,106129,40243,17356,17186,170
2010-10-01,41108,31887,3282,198,5617,145854,99788,46066,125711,85500,40211,49538,17852,31686.93,148461,107077,41384,16667,16500,167
2010-11-01,41300,31317,2957,198,6703,148460,102118,46342,126561,87042,39520,50941,17951,32990.15,149427,108737,40690,18066,17896,170
2010-12-01,44922,34115,3630,198,6847,151447,102703,48744,130472,90116,40355,54557,19736,34820.75,155044,113524,41521,17732,17567,165
2011-01-01,45331,34939,2861,198,7202,151903,103065,48838,130694,90137,40557,53539,19147,34392.35,154699,112962,41738,18241,18075,166
2011-02-01,44741,33551,2952,198,7904,153881,103996,49886,131119,90024,41094,53267,19183,34083.31,155132,112915,42217,18826,18689,137
2011-03-01,47249,34093,3483,208,9327,155390,106051,49339,132647,91220,41428,53649,19291,34358.27,156848,114315,42534,19684,19546,138
2011-04-01,47221,34006,3210,211,9657,156108,106697,49411,133056,92151,40905,54277,19497,34780.06,157384,115350,42034,20811,20030,781
2011-05-01,45321,33572,3028,216,8367,158242,106166,52076,133563,92259,41304,53121,18671,34450.02,157143,114697,42446,21149,18957,2192
2011-06-01,45578,34540,3015,226,7661,160691,107404,53287,135295,94005,41290,54043,18789,35254.45,159056,116611,42445,20506,18320,2186
2011-07-01,45796,35463,2758,226,7213,161677,107600,54076,135288,94340,40948,54185,19041,35144.39,159316,117224,42092,19918,17725,2193
2011-08-01,45663,34373,3513,226,7416,163178,108700,54478,136668,95149,41519,53536,18435,35101.24,160151,117468,42683,20090,17885,2205
2011-09-01,45512,34004,3269,226,7875,166338,109729,56609,135668,94837,40830,52949,18488,34461.55,159191,117189,42003,20363,18140,2223
2011-10-01,44966,33137,3109,226,8363,168926,111570,57356,136510,95461,41049,53649,18720,31686.93,160277,118062,42215,20311,18771,1540
2011-11-01,44444,33381,3097,226,7598,168331,112266,56065,138667,97005,41662,54818,18715,36103.83,162428,119644,42784,17915,17772,143
2011-12-01,48996,37416,3008,226,8210,169530,112628,56902,140681,99574,41107,58610,20526,38083.05,166343,124062,42281,18893,18756,137
