fecha,cafe_valor_exportado,cafe_volumen_exportado,cafe_precio_promedio_de_exportacion,banano_valor_exportado,banano_volumen_exportado,banano_precio_promedio_de_exportacion,azucar_valor_exportado,azucar_volumen_exportado,azucar_precio_promedio_de_exportacion,exportaciones_totales,exportaciones_de_bienes_para_la_elaboracion,exportaciones_de_mercancias_generales,hidrocarburos_valor_importado,hidrocarburos_volumen_importado,hidrocarburos_precio_promedio_de_importacion,importaciones_totales,importaciones_de_bienes_para_la_elaboracion,importaciones_de_mercancias_generales,remesas_ingreso,remesas_egreso,remesas_neto,remesas_ingreso_acumulado,remesas_egreso_acumulado,remesas_neto_acumulado,rin_del_banco_central
2010-01-01,57.16,447.46,127.74,31.93,124.33,256.82,71.88,187806.18,0.38,671.2,220,451.2,118.47,1270.79,93.23,924.3,180.5,743.8,246.13,1.12,245.01,246.13,1.12,245.01,5526.17
2010-02-01,73.36,574.9,127.6,25.34,100.85,251.26,46.15,98677.48,0.47,622.2,214.8,407.4,133.29,1618.62,82.35,989.9,197.7,792.2,274.51,1.09,273.42,520.64,2.21,518.43,5565.46
2010-03-01,92.13,692.5,133.05,32.82,139.73,234.88,146.56,357643.46,0.41,862.5,273.1,589.4,122.21,1282.84,95.26,1142.8,229.7,913.1,369.95,1.38,368.57,890.6,3.59,887.01,5547.33
2010-04-01,83.55,610.47,136.86,35.7,131.47,271.54,79.73,208540.34,0.38,706.3,221.8,484.5,190.34,1989.27,95.69,1168.1,188.6,979.5,344.41,1.49,342.92,1235,5.08,1229.92,5601.6
2010-05-01,86.37,625.35,138.11,27.63,105.23,262.57,87.92,220101.39,0.4,747.9,240.5,507.4,153.2,1733.22,88.39,1130.9,230,900.9,357.02,1.73,355.29,1592.02,6.81,1585.21,5675.55
2010-06-01,75.13,533.39,140.85,21.98,81.11,270.99,66.82,161350.4,0.41,748.2,259.8,488.4,118.57,1356.73,87.39,1170.7,230.6,940.1,394.29,1.25,393.04,1986.31,8.06,1978.25,5847.64
2010-07-01,64.02,449.49,142.44,28.7,103.83,276.41,31.13,74553.1,0.42,685.5,239.7,445.8,137.87,1558.72,88.45,1240.4,254.7,985.7,384.61,1.52,383.09,2370.92,9.58,2361.34,5732.03
2010-08-01,48.7,336.6,144.68,28.95,98.1,295.11,42.54,89669.04,0.47,625.9,241.1,384.8,150.84,1659.43,90.9,1189.7,230.9,958.8,377.36,0.95,376.41,2748.28,10.53,2737.75,5681.88
2010-09-01,40.49,309.37,130.87,35.71,127.91,279.18,8.98,18802.1,0.48,607.9,240.8,367.1,101.97,1127.41,90.45,1132.2,228.2,904,359.31,1.32,357.99,3107.59,11.85,3095.74,5659.22
2010-10-01,16.37,111.25,147.14,30.76,104.2,295.2,20.22,43037.96,0.47,652,261.4,390.6,145.62,1471.74,98.94,1199,215.1,983.9,339.37,1.35,338.03,3446.97,13.2,3433.77,5650.53
2010-11-01,20.55,140.2,146.6,26.2,88.91,294.72,8.77,17046.61,0.51,642.7,264.8,377.9,135.13,1346,100.39,1270.3,251.2,1019.1,331.38,1.17,330.21,3778.35,14.37,3763.98,5594.93
2010-12-01,47.74,278.11,171.66,23.89,79.53,300.39,114.35,264628.09,0.43,893.3,310.9,582.4,226.42,2135.28,106.04,1278,226.7,1051.3,348.43,1.09,347.34,4126.78,15.46,4111.33,5953.83
2011-01-01,74.9,410.9,182.28,26.21,84.05,311.85,61.65,128104.15,0.48,765.2,249.2,516,171.91,1587.22,108.31,1191.9,254,937.9,283.35,1.24,282.11,283.35,1.24,282.11,5910.07
2011-02-01,110.75,613.97,180.38,31.88,100.34,317.72,138.34,237948.08,0.58,901.1,276.2,624.9,155.64,1351.85,115.13,1181.4,228.6,952.8,304.62,1.12,303.51,587.97,2.35,585.62,6042.47
2011-03-01,147.23,765,192.46,42.16,127.94,329.53,87.05,203854.32,0.43,1051.8,347.9,703.9,220.99,1698.59,130.1,1481.4,278.5,1202.9,384.12,1.57,382.55,972.09,3.93,968.16,6191.01
2011-04-01,145.43,787.33,184.71,40.97,125.01,327.74,72.08,175268.55,0.41,936.1,322.1,614,188.58,1338.24,140.91,1397,274.5,1122.5,371.29,1.45,369.83,1343.38,5.38,1338,6393.12
