fecha,expectativas_de_inflacion,ipc_general,ipc_variacion_mensual,ipc_variacion_interanual,ipc_variacion_acumulada_con_diciembre_anterior,isi,isi_variacion_interanual,isi_variacion_acumulada
2010-01-01,3.34,96.11,1.29,1.43,1.29,97.34,1.58,0.32
2010-02-01,3.97,96.53,0.44,2.48,1.73,97.55,1.97,0.53
2010-03-01,5.39,97.64,1.15,3.93,2.9,98.12,2.39,1.12
2010-04-01,5.04,97.55,-0.09,3.75,2.81,98.22,2.66,1.23
2010-05-01,5.36,97.45,-0.1,3.51,2.7,98.14,2.57,1.14
2010-06-01,4.81,97.94,0.5,4.07,3.22,98.5,2.42,1.52
2010-07-01,4.89,98.3,0.37,4.12,3.6,98.68,2.42,1.7
2010-08-01,5.35,98.35,0.05,4.1,3.65,98.8,2.6,1.82
2010-09-01,5.89,98.63,0.28,3.76,3.95,99,2.54,2.03
2010-10-01,5.96,99.15,0.53,4.51,4.49,99.36,2.81,2.4
2010-11-01,5.95,99.92,0.78,5.26,5.31,99.51,2.76,2.56
2010-12-01,5.71,100,0.08,5.39,5.39,100,3.06,3.06
2011-01-01,5.99,100.82,0.82,4.9,0.82,100.69,3.44,0.69
2011-02-01,5.5,101.58,0.75,5.23,1.58,101.23,3.78,1.23
2011-03-01,6.24,102.52,0.93,5,2.52,101.88,3.84,1.88
2011-04-01,6.07,103.17,0.63,5.76,3.17,102.3,4.15,2.3
2011-05-01,5.96,103.68,0.49,6.39,3.68,102.61,4.56,2.61
2011-06-01,6.38,104.23,0.53,6.42,4.23,103.13,4.7,3.13
2011-07-01,5.96,105.22,0.95,7.04,5.22,103.79,5.18,3.79
2011-08-01,6.33,105.85,0.6,7.63,5.85,104.13,5.4,4.13
2011-09-01,6.69,105.78,-0.07,7.25,5.78,104.33,5.38,4.33
2011-10-01,6.69,105.74,-0.04,6.65,5.74,104.6,5.27,4.6
2011-11-01,6.85,105.97,0.22,6.05,5.97,104.95,5.46,4.95
2011-12-01,5.94,106.2,0.22,6.2,6.2,105.27,5.27,5.27
2012-01-01,6.21,106.3,0.09,5.44,0.09,105.36,4.64,0.09
2012-02-01,6,106.83,0.5,5.17,0.59,105.69,4.4,0.4
2012-03-01,5.59,107.18,0.33,4.55,0.92,106.21,4.25,0.9
2012-04-01,5.84,107.58,0.37,4.27,1.3,106.5,4.11,1.17
2012-05-01,5.26,107.72,0.13,3.9,1.43,106.7,3.98,1.36
2012-06-01,4.89,107.85,0.12,3.47,1.55,107.1,3.85,1.74
2012-07-01,4.71,108.23,0.35,2.86,1.91,107.49,3.56,2.1
2012-08-01,4.44,108.72,0.45,2.71,2.37,107.81,3.53,2.41
2012-09-01,4.91,109.25,0.49,3.28,2.87,108.15,3.66,2.73
2012-10-01,4.7,109.28,0.03,3.35,2.9,108.51,3.74,3.08
2012-11-01,4.48,109.27,-0.01,3.11,2.89,108.86,3.73,3.41
2012-12-01,4.65,109.86,0.54,3.45,3.45,109.2,3.73,3.73
2013-01-01,4.53,110.4,0.49,3.86,0.49,109.32,3.76,0.12
2013-02-01,4.41,111.3,0.82,4.18,1.31,109.8,3.89,0.55
2013-03-01,4.59,111.83,0.48,4.34,1.79,110.36,3.9,1.06
2013-04-01,4.85,112.02,0.17,4.13,1.97,110.55,3.8,1.24
2013-05-01,4.71,112.32,0.27,4.27,2.24,110.79,3.83,1.46
2013-06-01,4.87,113.02,0.62,4.79,2.88,111.31,3.92,1.93
2013-07-01,4.88,113.36,0.3,4.74,3.19,111.63,3.85,2.22
2013-08-01,4.85,113.52,0.14,4.42,3.33,111.74,3.65,2.33
2013-09-01,4.87,113.85,0.29,4.21,3.63,111.95,3.52,2.52
2013-10-01,4.72,113.82,-0.03,4.15,3.6,112.29,3.48,2.83
2013-11-01,4.69,114.33,0.45,4.63,4.07,112.76,3.58,3.27
2013-12-01,4.77,114.68,0.31,4.39,4.39,113.08,3.56,3.56
2014-01-01,4.73,114.97,0.25,4.14,0.25,113.09,3.44,0.01
2014-02-01,4.56,115.2,0.2,3.5,0.45,113.35,3.23,0.23
2014-03-01,4.46,115.46,0.23,3.25,0.68,113.85,3.17,0.68
2014-04-01,4.51,115.68,0.19,3.27,0.87,114.03,3.14,0.84
2014-05-01,4.19,115.94,0.22,3.22,1.1,114.16,3.04,0.95
2014-06-01,4.24,116.56,0.53,3.13,1.64,114.57,2.93,1.32
2014-07-01,4.24,117.23,0.57,3.41,2.22,114.96,2.99,1.66
2014-08-01,4.09,117.72,0.42,3.7,2.65,115.25,3.14,1.92
2014-09-01,4.24,117.78,0.05,3.45,2.7,115.54,3.2,2.17
2014-10-01,4.08,117.96,0.15,3.64,2.86,115.93,3.24,2.51
2014-11-01,4.16,118.19,0.19,3.38,3.06,116.31,3.15,2.86
2014-12-01,4.21,118.06,-0.11,2.95,2.95,116.69,3.19,3.19
2015-01-01,3.75,117.64,-0.36,2.32,-0.36,116.66,3.16,-0.02
2015-02-01,3.79,118.01,0.31,2.44,-0.04,116.98,3.21,0.25
2015-03-01,3.82,118.26,0.21,2.43,0.17,117.4,3.12,0.61
2015-04-01,3.62,118.66,0.34,2.58,0.51,117.62,3.15,0.8
2015-05-01,3.46,118.9,0.2,2.55,0.71,117.81,3.2,0.97
2015-06-01,3.25,119.34,0.37,2.39,1.08,118.29,3.25,1.38
2015-07-01,3.16,119.95,0.51,2.32,1.6,118.75,3.3,1.77
2015-08-01,3.04,120.03,0.07,1.96,1.67,118.98,3.24,1.97
2015-09-01,3.06,119.99,-0.03,1.88,1.63,119.17,3.15,2.13
2015-10-01,2.94,120.59,0.5,2.23,2.14,119.56,3.14,2.47
2015-11-01,3.02,121.16,0.47,2.51,2.63,119.97,3.15,2.82
2015-12-01,3.17,121.68,0.43,3.07,3.07,120.37,3.16,3.16
2016-01-01,3.62,122.79,0.91,4.38,0.91,120.34,3.15,-0.03
2016-02-01,3.94,123.05,0.21,4.27,1.13,120.72,3.2,0.29
2016-03-01,3.94,123.3,0.2,4.26,1.33,121.25,3.28,0.73
2016-04-01,4.18,123.51,0.17,4.09,1.5,121.42,3.23,0.87
2016-05-01,4.15,124.08,0.46,4.36,1.97,121.71,3.31,1.12
2016-06-01,4.33,124.63,0.44,4.43,2.42,122.11,3.23,1.45
2016-07-01,4.28,125.49,0.69,4.62,3.13,122.56,3.21,1.82
2016-08-01,4.4,125.72,0.18,4.74,3.32,122.66,3.09,1.9
2016-09-01,4.43,125.46,-0.21,4.56,3.11,122.75,3,1.97
2016-10-01,4.42,126.33,0.69,4.76,3.82,123.2,3.04,2.35
2016-11-01,4.67,126.82,0.39,4.67,4.22,123.68,3.09,2.75
2016-12-01,4.68,126.83,0.01,4.23,4.23,124.09,3.09,3.09
2017-01-01,4.42,127.49,0.52,3.83,0.52,124.2,3.21,0.09
2017-02-01,4.4,127.92,0.34,3.96,0.86,124.52,3.15,0.35
2017-03-01,4.22,128.23,0.24,4,1.1,125.05,3.13,0.77
2017-04-01,4.38,128.56,0.26,4.09,1.36,125.15,3.07,0.85
2017-05-01,4.2,128.96,0.31,3.93,1.68,125.29,2.94,0.96
2017-06-01,4.17,130.07,0.86,4.36,2.55,125.74,2.97,1.33
2017-07-01,4.47,132.04,1.51,5.22,4.11,126.1,2.89,1.62
2017-08-01,4.48,131.65,-0.3,4.72,3.8,126.05,2.77,1.58
