fecha,deuda_externa,deuda_externa_gc,deuda_interna_bruta,deuda_interna_gc,deuda_interna_bc,ingresos_totales_gc,gastos_totales_gc
2010-01-01,5257.87,5120.49,47560.13,30437.83,17122.3,3316.6,2933.7
2010-02-01,5240.21,5103.38,47853.8,30401.8,17452,2380.8,3124.3
2010-03-01,5228.29,5093.14,48032,30370.8,17661.2,3125.8,4048.7
2010-04-01,5287.92,5153.5,48455.1,29880.3,18574.8,3712.7,3110.3
2010-05-01,5275.03,5141.36,48878.3,29695.1,19183.2,2427.6,4524
2010-06-01,5419.78,5286.36,48833.5,32410,16423.5,2575.8,3126.9
2010-07-01,5423.6,5289.4,50460.6,33832,16628.6,3994.6,4737
2010-08-01,5405.83,5271.69,50599.4,34298.2,16301.2,2806.3,4417.1
2010-09-01,5412.36,5277.32,51646.7,35098.2,16548.5,2631.1,3547.2
2010-10-01,5438.06,5301.91,51094.6,35098.2,15996.4,3824.5,4156.2
2010-11-01,5445.4,5311.82,51975.6,35098.2,16877.4,2823.6,4505.3
2010-12-01,5562,5426.95,53637.65,36769.15,16868.5,3388.2,6154.7
2011-01-01,5548.76,5413.68,53937.3,36949.8,16987.5,3537.69,3032.31
2011-02-01,5539.68,5405.85,56680.8,38896,17784.8,2664.12,3744.13
2011-03-01,5522.45,5389.05,58653.8,39749.9,18903.9,4447.58,4273.25
2011-04-01,5518.8,5384.3,57925.6,40139.5,17786.1,4061.36,4164.11
2011-05-01,5537.6,5404.1,61005.1,40307.2,20697.9,2926.72,4921.46
2011-06-01,5530.85,5399.52,61364,41692.1,19671.9,3266.55,3870.77
2011-07-01,5522.8,5390.9,63005.5,42169.3,20836.2,4345.28,4913.72
2011-08-01,5498.4,5366.5,62593.1,43102.4,19490.7,3094.52,4381.49
2011-09-01,5475.1,5345.6,64640.4,44194.1,20446.3,3157.83,4049.88
2011-10-01,5736.94,5607.6,65288.3,45584.9,19703.4,4379.48,4300.92
2011-11-01,5402.6,5274.24,61913.8,46302.3,15611.5,3208.51,3941.14
2011-12-01,5604.92,5479.69,63128.2,45074.6,18053.6,3493.04,7917.83
2012-01-01,5587.88,5462.55,65128.62,44936.42,20192.2,3955.17,3277.72
2012-02-01,5551.62,5427.78,64438.88,45814.78,18624.1,3158.36,3381.67
2012-03-01,5527.99,5406.13,64504.56,46128.76,18375.8,4284.05,3821.01
2012-04-01,5516.21,5393.9,64798.3,47461.2,17337.1,4088.58,3615.03
2012-05-01,5516.42,5395.03,65582.9,47489.9,18093,3389.1,4033.1
2012-06-01,6238.35,6119.75,65028.52,47160.42,17868.1,3423.11,4026.84
2012-07-01,6213.24,6095.11,65507.41,47445.81,18061.6,4711.38,5522.68
2012-08-01,6252.05,6133.9,68541.66,47588.46,20953.2,3337.63,5284
2012-09-01,6247.12,6129.77,68920.3,47214.5,21705.8,3050.39,4671.2
2012-10-01,6297.68,6181.19,67664.4,47214.2,20450.2,4804.57,4755.27
2012-11-01,6281.1,6166.1,68471.6,47183.9,21287.7,3301.63,6166.87
2012-12-01,6304.9,6193.3,67211,47094,20117,3962.84,6764.19
2013-01-01,6264.98,6155.08,70142.22,47992.82,22149.4,4608.82,3218.86
2013-02-01,6934.4,6825.3,70734.21,49634.31,21099.9,3193.69,4064.27
2013-03-01,6908.3,6800.36,68374.25,49623.95,18750.3,4343.46,4308.3
2013-04-01,6953.5,6846.12,70515.02,49619.22,20895.8,4964.03,5368.38
2013-05-01,6937.8,6832,70664.19,49481.19,21183,3738.28,4643.2
2013-06-01,6973.68,6870.67,71470.63,49458.53,22012.1,3185.75,4706.07
2013-07-01,6650.9,6548.5,71977.68,49429.28,22548.4,5431.09,6093.95
2013-08-01,6639.77,6537.36,72468.54,49414.04,23054.5,3520.07,4321.74
2013-09-01,6620.5,6518.1,72984.9,49408.8,23576.1,3481.95,4307.16
2013-10-01,6623.4,6521.19,71202.6,49408.8,21793.8,5345.72,4388.46
2013-11-01,6807.41,6706.59,71979.8,49406.8,22573,3486.66,5495.16
2013-12-01,7070.23,6973.07,73425.8,49406.8,24019,3574.3,7353.39
2014-01-01,7045.47,6948.87,78578.9,49041.8,29537.1,4935.74,3427.18
2014-02-01,7023.7,6926.8,78361.1,51132.1,27229,3315.39,3706.58
2014-03-01,7028.1,6931.7,78072.32,53103.52,24968.8,4370.11,4762.63
2014-04-01,7026.55,6930.07,79082.08,55790.88,23291.2,5327.78,5569.59
2014-05-01,7016.3,6920.5,78797.76,56741.06,22056.7,3765.51,5256.92
2014-06-01,7029.08,6936.54,81378.28,56624.28,24754,3673.1,5181.66
2014-07-01,7001.63,6910.32,82046.21,56149.61,25896.6,5939.32,6091.69
2014-08-01,7011.66,6920.7,81693.51,55859.61,25833.9,3807.34,5440.76
2014-09-01,6985.08,6895.93,81257.33,55561.23,25696.1,3742.31,4386.3
2014-10-01,6996.5,6908.1,82777.29,54920.99,27856.3,5378.12,3708.89
2014-11-01,7017.9,6930.6,81112.99,54823.29,26289.7,3687.07,5185.94
2014-12-01,7039.3,6955.6,81113.2,57623.3,23489.9,4103.21,8100.55
2015-01-01,7356.32,7273.72,84991.79,59864.09,25127.7,4998.97,3920.05
2015-02-01,7404.4,7322.14,87223.18,59566.58,27656.6,3560.64,4809.77
2015-03-01,7382.33,7300.93,85244.63,62675.13,22569.5,4540.91,5747.26
2015-04-01,7496.05,7414.25,85874.54,62650.44,23224.1,5357.29,5539.61
2015-05-01,7484.72,7404.12,87001.44,62079.74,24921.7,3748.55,5015.02
2015-06-01,7485.79,7408.19,84244.08,61723.48,22520.6,3847.89,4742.94
2015-07-01,7451.64,7374.84,87918.51,61348.31,26570.2,5986.3,5553.78
2015-08-01,7429.95,7352.75,85856.71,61346.11,24510.6,3767.7,5119.68
2015-09-01,7403.55,7326.55,85853.51,61294.91,24558.6,3657.14,4298.58
2015-10-01,7400.3,7323.48,86467.71,61294.91,25172.8,5469.64,4583.29
2015-11-01,7377.1,7301,84191.11,61292.91,22898.2,3762.42,4109.87
2015-12-01,7489.9,7417.1,85178.16,61623.26,23554.9,4081.65,6451.35
2016-01-01,7447.45,7375.4,87247.52,62824.52,24423,5331.92,3934.69
2016-02-01,7430.37,7357.46,88465.08,63361.88,25103.2,3597.34,4421.1
2016-03-01,7410.78,7337.78,90121.21,64492.51,25628.7,4515.13,4829.89
2016-04-01,7401.01,7327.41,87631.22,63932.02,23699.2,5562.53,4457.21
2016-05-01,8069.07,7996.17,86525.82,63416.92,23108.9,4748.28,4671.6
2016-06-01,8064.97,7994.87,88504.87,63603.67,24901.2,4069.69,5024.59
2016-07-01,8022.7,7952.6,91542.87,63695.67,27847.2,6502.51,6202.34
2016-08-01,8005.81,7935.81,89904.06,64022.86,25881.2,4389.72,5235.43
2016-09-01,7996.81,7926.83,92480.28,64449.98,28030.3,3903.53,5061.03
2016-10-01,7962.48,7893.13,93571.68,64308.98,29262.7,5917.67,5461.7
2016-11-01,8014.39,7946.74,92273.44,65641.84,26631.6,4209.96,5779.69
2016-12-01,8015.5,7951.4,89681.44,65641.84,24039.6,4692.41,8001.04
2017-01-01,7983.97,7919.27,93548.44,66112.84,27435.6,5497.9,4252.42
2017-02-01,7944.78,7880.2,92085.99,66892.09,25193.9,3886.45,4451.22
2017-03-01,7906.4,7842.1,96158.99,68276.89,27882.1,5250.89,4831.75
2017-04-01,7870.29,7805.75,96874.67,68185.87,28688.8,5980.8,5430.09
2017-05-01,7859.4,7794.59,96872.93,69530.83,27342.1,4173.75,5402.87
2017-06-01,8344.87,8282.91,99070.92,69793.62,29277.3,4876.81,4852.4
2017-07-01,8309.74,8248.35,102209.92,70183.62,32026.3,6497.24,6236.01
2017-08-01,8286.06,8224.53,104702.85,70142.15,34560.7,4301.64,5355.82
2017-09-01,8243,8182.06,105030.08,70223.08,34807,4039.32,5296.92
2017-10-01,8245.09,8184.33,107024.74,70522.84,36501.9,6300.71,5532.79
2017-11-01,8233.88,8173.42,109594.81,71938.41,37656.4,4443.56,5717.32
2017-12-01,8181.47,8123.21,106055.22,72735.92,33319.3,4595.64,9915.18
2018-01-01,8164.54,8106.66,109247.52,72728.92,36518.6,5982.94,4325.89
2018-02-01,8158.21,8100.34,110389.31,74022.41,36366.9,4064.75,4655.6
2018-03-01,8139.69,8081.67,111245.56,75006.26,36239.3,5140.89,4982.28
2018-04-01,8118.4,8061.12,114403.9,75766.7,38637.2,6306.52,5744.92
2018-05-01,8102.32,8045.74,114374.17,76648.77,37725.4,4554.53,5530.23
