fecha,encaje_efectivo_en_mn,tasa_de_politica_monetaria,tasa_de_interes_activa_nominal_en_mn,tasa_de_interes_pasiva_nominal_en_mn,tasa_de_interes_activa_real_en_mn,tasa_de_interes_pasiva_real_en_mn
2010-01-01,14.78,4.5,13.52,5.62,11.92,4.13
2010-02-01,14.77,4.5,13.5,5.62,10.75,3.06
2010-03-01,14.78,4.5,13.48,5.62,9.19,1.63
2010-04-01,14.84,4.5,13.42,5.58,9.32,1.76
2010-05-01,14.74,4.5,13.36,5.53,9.52,1.95
2010-06-01,14.81,4.5,13.36,5.5,8.93,1.38
2010-07-01,14.82,4.5,13.29,5.44,8.81,1.27
2010-08-01,14.81,4.5,13.27,5.42,8.81,1.27
2010-09-01,14.75,4.5,13.27,5.42,9.17,1.6
2010-10-01,14.77,4.5,13.21,5.41,8.33,0.87
2010-11-01,14.79,4.5,13.21,5.4,7.55,0.13
2010-12-01,14.91,4.5,13.25,5.34,7.46,-0.05
2011-01-01,14.8,4.5,13.28,5.35,7.99,0.43
2011-02-01,14.83,4.5,13.37,5.33,7.73,0.09
2011-03-01,14.78,4.75,13.37,5.3,7.97,0.29
2011-04-01,14.81,4.75,13.44,5.27,7.26,-0.46
2011-05-01,14.79,4.75,13.37,5.28,6.56,-1.05
2011-06-01,14.7,4.75,13.39,5.26,6.55,-1.09
2011-07-01,14.71,5,13.37,5.24,5.91,-1.68
2011-08-01,14.69,5,13.45,5.25,5.41,-2.21
2011-09-01,14.7,5.5,13.51,5.24,5.84,-1.87
2011-10-01,14.7,5.5,13.53,5.24,6.45,-1.32
2011-11-01,14.69,5.5,13.55,5.25,7.07,-0.76
2011-12-01,14.89,5.5,13.57,5.18,6.94,-0.96
2012-01-01,14.67,5.5,13.56,5.2,7.71,-0.22
2012-02-01,14.69,5.5,13.49,5.2,7.91,0.03
2012-03-01,14.71,5.5,13.39,5.21,8.46,0.64
2012-04-01,14.72,5.5,13.41,5.23,8.76,0.92
2012-05-01,14.66,5.5,13.43,5.25,9.18,1.3
2012-06-01,14.68,5,13.46,5.2,9.65,1.67
2012-07-01,14.69,5,13.51,5.34,10.35,2.41
2012-08-01,14.68,5,13.49,5.34,10.49,2.56
2012-09-01,14.69,5,13.52,5.38,9.91,2.03
2012-10-01,14.66,5,13.59,5.4,9.91,1.99
2012-11-01,14.67,5,13.55,5.41,10.12,2.23
2012-12-01,14.76,5,13.47,5.38,9.69,1.87
2013-01-01,14.67,5,13.52,5.42,9.3,1.5
2013-02-01,14.68,5,13.5,5.45,8.94,1.21
2013-03-01,14.79,5,13.5,5.46,8.78,1.07
2013-04-01,14.68,5.25,13.53,5.45,9.03,1.27
2013-05-01,14.67,5.25,13.59,5.44,8.94,1.12
