fecha,itcer_con_usa,itcer_global,itcer_con_la_region_capard,itcer_con_el_resto_del_mundo,itcer_con_usa_variacion_interanual,itcer_global_variacion_interanual,itcer_con_la_region_capard_variacion_interanual,itcer_con_el_resto_del_mundo_variacion_interanual,itcer_con_usa_variacion_con_el_ano_base,itcer_global_variacion_con_el_ano_base,itcer_con_la_region_capard_variacion_con_el_ano_base,itcer_con_el_resto_del_mundo_variacion_con_el_ano_base,tipo_de_cambio_de_compra_promedio_del_mes,tipo_de_cambio_de_venta_promedio_del_mes,tipo_de_cambio_de_compra_fin_de_mes,tipo_de_cambio_de_venta_fin_de_mes
2010-01-01,72.92,77.98,81.52,76.87,7.76,10.12,7.03,11.02,-27.08,-22.02,-18.48,-23.13,8.36,8.38,8.31,8.33
2010-02-01,70.7,75.55,79.61,74.29,2.23,5.77,2.7,6.66,-29.3,-24.45,-20.39,-25.71,8.14,8.16,8.11,8.18
2010-03-01,69.1,74.21,78.17,72.98,-2.21,1.75,-1.15,2.58,-30.9,-25.79,-21.83,-27.02,8.01,8.04,7.96,8
2010-04-01,69.14,74.49,78.68,73.18,-2.52,0.46,-0.7,0.74,-30.86,-25.51,-21.32,-26.82,7.99,8.02,8,8.03
2010-05-01,69.22,73.68,78.46,72.21,-2.66,-1.53,-0.8,-1.85,-30.78,-26.32,-21.54,-27.79,7.99,8.01,7.99,8.02
2010-06-01,68.89,73.24,78.19,71.71,-4.34,-3.22,-1.72,-3.77,-31.11,-26.76,-21.81,-28.29,8,8.02,8.02,8.05
2010-07-01,68.61,73.39,78.44,71.83,-4.82,-3.3,-1.63,-3.9,-31.39,-26.61,-21.56,-28.17,7.99,8.02,7.99,8.03
2010-08-01,68.73,73.79,78.81,72.24,-5.77,-4.37,-2.05,-5.17,-31.27,-26.21,-21.19,-27.76,8,8.03,8.03,8.07
2010-09-01,69.14,74.53,79.48,73,-5.3,-3.61,-1.21,-4.42,-30.86,-25.47,-20.52,-27,8.07,8.08,8.12,8.09
2010-10-01,68.68,74.92,79.4,73.53,-6.57,-4.24,-1.88,-5.03,-31.32,-25.08,-20.6,-26.47,8.04,8.07,8,8.04
2010-11-01,67.73,73.97,78.71,72.51,-7.4,-5.36,-3.14,-6.12,-32.27,-26.03,-21.29,-27.49,7.99,8.02,7.96,7.99
2010-12-01,67.52,73.61,78.67,72.05,-7.8,-6.14,-3.49,-7.03,-32.48,-26.39,-21.33,-27.95,7.96,7.99,8,8.03
2011-01-01,67.13,72.86,78.03,71.27,-7.94,-6.56,-4.28,-7.28,-32.87,-27.14,-21.97,-28.73,7.94,7.96,7.84,7.87
