fecha,mercado_primario,mercado_secundario_total,mercado_de_reportos
2010-01-01,14109.41,7846.22,3590.87
2010-02-01,9438.37,10226.27,10174.69
2010-03-01,10082.91,15535.76,15421.81
2010-04-01,8336.52,12065.87,12048
2010-05-01,8696.7,10050.7,10050.7
2010-06-01,10267.26,13011.74,12955.69
2010-07-01,8517.86,14723.96,14690.39
2010-08-01,8612.89,13251.25,13209.8
2010-09-01,7775.19,16705.42,16569.76
2010-10-01,5687.9,11893.31,11881.08
2010-11-01,6810.36,17811.24,17662.65
2010-12-01,6928.78,14614.5,14561.45
2011-01-01,8831.18,12682.59,12682.56
2011-02-01,7621.2,10784.28,10676.72
2011-03-01,13003.76,8592.46,8515.5
2011-04-01,10968.65,10574.88,10563.3
2011-05-01,12145.22,13529.35,13078.33
2011-06-01,35917.33,12998.62,12498.8
2011-07-01,30570.28,11585.55,11555.73
2011-08-01,24134.5,15133.41,14737.86
2011-09-01,34874.67,19194.11,19058.91
2011-10-01,23072.76,23721.09,23706.6
2011-11-01,7066.97,33062.55,32988.76
2011-12-01,21523.9,24405.56,24326.77
2012-01-01,26466.5,20020.11,19533.21
2012-02-01,7240.51,18926.21,18915.05
2012-03-01,25246.77,17169.1,17110.33
2012-04-01,16374.17,20834.59,20601.26
2012-05-01,5871.56,38979.07,38961.78
2012-06-01,25261.84,23085.77,22912.43
2012-07-01,31159.43,21047.54,20990.58
2012-08-01,24416.58,18111.05,17946.82
2012-09-01,34052.1,13065.01,13018.89
2012-10-01,37770.92,12115.2,11970.29
2012-11-01,44939.51,12759.13,12685.18
2012-12-01,49785.1,22191.79,21651.1
2013-01-01,36136.39,13254.06,12964.25
2013-02-01,19100.58,19820.61,19807.94
2013-03-01,26508.91,21129.78,20973.79
2013-04-01,35675.09,28044.17,27956.09
2013-05-01,34899.04,17564.13,17499.46
2013-06-01,52611.59,17169.86,17152.69
2013-07-01,78860.45,18302.23,18209.94
2013-08-01,67309.45,14924.33,14868.91
2013-09-01,56373.06,14596.5,14314.98
2013-10-01,56305.39,13775.98,13682.7
2013-11-01,27442,13386.03,12861.34
2013-12-01,40167.83,12978.02,12965.99
2014-01-01,48981.25,11091.49,10366.4
2014-02-01,31347.24,15329.97,15273.97
2014-03-01,31569.69,21019.07,20914.39
2014-04-01,15732.2,30282.47,30176.06
2014-05-01,4624.62,46779.3,46097.98
2014-06-01,29810.45,21723.37,21316.76
2014-07-01,61297.8,19479.8,18929.87
2014-08-01,39487.14,13650.9,13390.72
2014-09-01,47076.75,10729.02,10614.93
2014-10-01,35033.28,16709.24,15803.17
2014-11-01,21299.89,19039.83,18164.19
2014-12-01,42736.13,15320.68,15127.8
2015-01-01,41099.47,14336.77,14054.66
2015-02-01,26211.49,21526.09,21506.87
2015-03-01,50541.8,18285.88,18224.93
2015-04-01,26338.63,23910.26,23903.89
2015-05-01,17564.74,75528.98,41797.95
2015-06-01,32139.35,55740.17,36710.05
2015-07-01,36637.52,34959.28,34627.28
2015-08-01,17605.37,26945.24,26627.93
2015-09-01,36812.17,28990.59,28823.11
2015-10-01,27250.65,31050.84,31050.84
2015-11-01,16844,42457.06,42261.37
2015-12-01,27626.26,35753.11,35645.29
2016-01-01,33712.75,22754.38,22075.46
2016-02-01,30606.43,19159.47,19154.4
2016-03-01,39781.31,18220.88,18184.48
2016-04-01,28788.8,17868.03,17750.33
2016-05-01,34526.83,26500.5,26247.77
2016-06-01,52129.23,20882.38,19005.08
2016-07-01,56664.21,13828.08,13349.75
2016-08-01,48687.78,13376.73,13245.16
2016-09-01,59790.29,14220.7,14205.37
2016-10-01,66109.2,13605.94,13591
2016-11-01,39466.84,24822.93,24818.71
2016-12-01,57469.8,25476.08,25129.53
2017-01-01,75202.8,21781.52,21766.66
2017-02-01,46975.65,23651.26,23500.58
2017-03-01,46414.89,35068.02,34782.81
2017-04-01,34133.77,31017.12,30880.35
2017-05-01,40186.81,35354.11,34680.01
2017-06-01,72034.79,20393.32,20279.67
2017-07-01,96025.83,18087.87,17758.16
2017-08-01,67922.39,22912.06,22476.87
2017-09-01,81353.67,17250.13,16991.29
2017-10-01,64701.75,20322.89,20256.88
2017-11-01,41663.09,27715,27636.45
2017-12-01,79884.99,21927.04,21844.22
2018-01-01,76886.79,18164.2,18146.63
2018-02-01,34553.04,14972.42,14696.45
2018-03-01,42057.23,17950.54,17814.02
2018-04-01,42436.58,15020.21,15007.35
2018-05-01,31975.36,20894.49,20754.19
2018-06-01,64075.08,16339.74,15930.96
2018-07-01,61675.02,21438.23,21121.47
2018-08-01,37263.96,27142.95,26799.49
2018-09-01,57974.8,23170.36,22963.71
2018-10-01,43939.39,32834.67,31795.43
2018-11-01,10306.11,45541.69,45532.87
2018-12-01,63529.44,14291.76,13485.67
2019-01-01,73869.88,16015.87,15591.78
2019-02-01,15138.38,24677.76,14186.04
2019-03-01,54199.53,20389.22,19845.52
2019-04-01,53279.95,23809.23,23393.56
2019-05-01,32563.22,30300.67,30042.65
2019-06-01,68894.5,22736.51,22363.86
2019-07-01,59588.56,24277.82,24276.93
2019-08-01,21495.6,32081.93,31589.19
2019-09-01,49886.62,15278.46,15137.76
2019-10-01,36162.4,21123.01,20518.81
2019-11-01,16518.52,35759.82,35604.73
2019-12-01,49325.43,25119.5,24867.68
2020-01-01,45440.53,13308.3,13197.18
2020-02-01,36726.78,18564.15,18548.72
2020-03-01,51156.3,22180.24,21792.32
2020-04-01,16177.49,39619.11,35917.11
2020-05-01,32478.4,18430.26,17982.06
2020-06-01,92888.26,11597.71,11421.05
2020-07-01,102168.9,11069.94,10812.86
2020-08-01,101579.05,10004.47,9559.59
2020-09-01,198433.32,8847.02,8814.88
2020-10-01,122774.56,11216.92,10715.12
2020-11-01,49105.94,10653.7,10512.82
2020-12-01,71872.71,10448.42,10268.96
2021-01-01,67558.51,8883.89,8853.18
