fecha,base_monetaria_amplia,base_monetaria_restringida,pasivos_por_encaje_legal_en_me,otros_depositos_a_corto_plazo,otros_valores_a_corto_plazo,credito_total,credito_en_mn,credito_en_me,depositos_totales,depositos_en_mn,depositos_en_me,agregado_monetario_m1,billetes_y_monedas_en_poder_del_publico,depositos_transferibles_en_mn,agregado_monetario_m3,agregado_monetario_m2,cuasidinero_en_me,titulos_emitidos_por_el_banco_central_total,titulos_emitidos_por_el_banco_central_en_mn,titulos_emitidos_por_el_banco_central_en_me,cafe_valor_exportado,cafe_volumen_exportado,cafe_precio_promedio_de_exportacion,banano_valor_exportado,banano_volumen_exportado,banano_precio_promedio_de_exportacion,azucar_valor_exportado,azucar_volumen_exportado,azucar_precio_promedio_de_exportacion,exportaciones_totales,exportaciones_de_bienes_para_la_elaboracion,exportaciones_de_mercancias_generales,hidrocarburos_valor_importado,hidrocarburos_volumen_importado,hidrocarburos_precio_promedio_de_importacion,importaciones_totales,importaciones_de_bienes_para_la_elaboracion,importaciones_de_mercancias_generales,remesas_ingreso,remesas_egreso,remesas_neto,remesas_ingreso_acumulado,remesas_egreso_acumulado,remesas_neto_acumulado,rin_del_banco_central,mercado_primario,mercado_secundario_total,mercado_de_reportos,expectativas_de_inflacion,ipc_general,ipc_variacion_mensual,ipc_variacion_interanual,ipc_variacion_acumulada_con_diciembre_anterior,isi,isi_variacion_interanual,isi_variacion_acumulada,deuda_externa,deuda_externa_gc,deuda_interna_bruta,deuda_interna_gc,deuda_interna_bc,ingresos_totales_gc,gastos_totales_gc,encaje_efectivo_en_mn,tasa_de_politica_monetaria,tasa_de_interes_activa_nominal_en_mn,tasa_de_interes_pasiva_nominal_en_mn,tasa_de_interes_activa_real_en_mn,tasa_de_interes_pasiva_real_en_mn,itcer_con_usa,itcer_global,itcer_con_la_region_capard,itcer_con_el_resto_del_mundo,itcer_con_usa_variacion_interanual,itcer_global_variacion_interanual,itcer_con_la_region_capard_variacion_interanual,itcer_con_el_resto_del_mundo_variacion_interanual,itcer_con_usa_variacion_con_el_ano_base,itcer_global_variacion_con_el_ano_base,itcer_con_la_region_capard_variacion_con_el_ano_base,itcer_con_el_resto_del_mundo_variacion_con_el_ano_base,tipo_de_cambio_de_compra_promedio_del_mes,tipo_de_cambio_de_venta_promedio_del_mes,tipo_de_cambio_de_compra_fin_de_mes,tipo_de_cambio_de_venta_fin_de_mes,imae,imae_variacion_interanual,imae_variacion_acumulada
2010-01-01,42990,30836,2822,168,9051,142362,94635,47727,120434,81502,38931,50068,17497,32570.83,143200,103143,40057,17748,17597,151,57.16,447.46,127.74,31.93,124.33,256.82,71.88,187806.18,0.38,671.2,220,451.2,118.47,1270.79,93.23,924.3,180.5,743.8,246.13,1.12,245.01,246.13,1.12,245.01,5526.17,14109.41,7846.22,3590.87,3.34,96.11,1.29,1.43,1.29,97.34,1.58,0.32,5257.87,5120.49,47560.13,30437.83,17122.3,3316.6,2933.7,14.78,4.5,13.52,5.62,11.92,4.13,72.92,77.98,81.52,76.87,7.76,10.12,7.03,11.02,-27.08,-22.02,-18.48,-23.13,8.36,8.38,8.31,8.33,88.41,2.06,2.06
2010-02-01,41592,30690,2842,168,7775,140800,94543,46257,120034,80592,39442,48774,17398,31375.06,142732,102173,40559,17556,17403,153,73.36,574.9,127.6,25.34,100.85,251.26,46.15,98677.48,0.47,622.2,214.8,407.4,133.29,1618.62,82.35,989.9,197.7,792.2,274.51,1.09,273.42,520.64,2.21,518.43,5565.46,9438.37,10226.27,10174.69,3.97,96.53,0.44,2.48,1.73,97.55,1.97,0.53,5240.21,5103.38,47853.8,30401.8,17452,2380.8,3124.3,14.77,4.5,13.5,5.62,10.75,3.06,70.7,75.55,79.61,74.29,2.23,5.77,2.7,6.66,-29.3,-24.45,-20.39,-25.71,8.14,8.16,8.11,8.18,87.08,2.53,2.29
2010-03-01,42653,31764,2879,168,7724,141090,95432,45658,120093,81201,38892,49667,18044,31622.77,143490,103472,40019,18455,18300,155,92.13,692.5,133.05,32.82,139.73,234.88,146.56,357643.46,0.41,862.5,273.1,589.4,122.21,1282.84,95.26,1142.8,229.7,913.1,369.95,1.38,368.57,890.6,3.59,887.01,5547.33,10082.91,15535.76,15421.81,5.39,97.64,1.15,3.93,2.9,98.12,2.39,1.12,5228.29,5093.14,48032,30370.8,17661.2,3125.8,4048.7,14.78,4.5,13.48,5.62,9.19,1.63,69.1,74.21,78.17,72.98,-2.21,1.75,-1.15,2.58,-30.9,-25.79,-21.83,-27.02,8.01,8.04,7.96,8,94.13,4.4,3.02
2010-04-01,42374,30885,2885,168,8314,140257,95744,44513,119787,81251,38536,48370,17303,31067.48,142392,102719,39672,19005,18847,158,83.55,610.47,136.86,35.7,131.47,271.54,79.73,208540.34,0.38,706.3,221.8,484.5,190.34,1989.27,95.69,1168.1,188.6,979.5,344.41,1.49,342.92,1235,5.08,1229.92,5601.6,8336.52,12065.87,12048,5.04,97.55,-0.09,3.75,2.81,98.22,2.66,1.23,5287.92,5153.5,48455.1,29880.3,18574.8,3712.7,3110.3,14.84,4.5,13.42,5.58,9.32,1.76,69.14,74.49,78.68,73.18,-2.52,0.46,-0.7,0.74,-30.86,-25.51,-21.32,-26.82,7.99,8.02,8,8.03,89.66,2.15,2.8
2010-05-01,42835,29627,3626,168,9293,141945,97741,44204,120609,82457,38152,48626,17123,31503.19,142759,103466,39294,20753,20596,157,86.37,625.35,138.11,27.63,105.23,262.57,87.92,220101.39,0.4,747.9,240.5,507.4,153.2,1733.22,88.39,1130.9,230,900.9,357.02,1.73,355.29,1592.02,6.81,1585.21,5675.55,8696.7,10050.7,10050.7,5.36,97.45,-0.1,3.51,2.7,98.14,2.57,1.14,5275.03,5141.36,48878.3,29695.1,19183.2,2427.6,4524,14.74,4.5,13.36,5.53,9.52,1.95,69.22,73.68,78.46,72.21,-2.66,-1.53,-0.8,-1.85,-30.78,-26.32,-21.54,-27.79,7.99,8.01,7.99,8.02,88.28,3.02,2.84
2010-06-01,41209,30733,3831,168,6354,141521,97412,44109,121847,82971,38876,48480,17127,31352.99,144039,104006,40033,17312,17149,163,75.13,533.39,140.85,21.98,81.11,270.99,66.82,161350.4,0.41,748.2,259.8,488.4,118.57,1356.73,87.39,1170.7,230.6,940.1,394.29,1.25,393.04,1986.31,8.06,1978.25,5847.64,10267.26,13011.74,12955.69,4.81,97.94,0.5,4.07,3.22,98.5,2.42,1.52,5419.78,5286.36,48833.5,32410,16423.5,2575.8,3126.9,14.81,4.5,13.36,5.5,8.93,1.38,68.89,73.24,78.19,71.71,-4.34,-3.22,-1.72,-3.77,-31.11,-26.76,-21.81,-28.29,8,8.02,8.02,8.05,87.48,4.26,3.07
2010-07-01,41129,30957,3620,198,6228,142034,98253,43781,123147,84073,39074,48977,17447,31529.64,145382,105155,40227,17716,17551,165,64.02,449.49,142.44,28.7,103.83,276.41,31.13,74553.1,0.42,685.5,239.7,445.8,137.87,1558.72,88.45,1240.4,254.7,985.7,384.61,1.52,383.09,2370.92,9.58,2361.34,5732.03,8517.86,14723.96,14690.39,4.89,98.3,0.37,4.12,3.6,98.68,2.42,1.7,5423.6,5289.4,50460.6,33832,16628.6,3994.6,4737,14.82,4.5,13.29,5.44,8.81,1.27,68.61,73.39,78.44,71.83,-4.82,-3.3,-1.63,-3.9,-31.39,-26.61,-21.56,-28.17,7.99,8.02,7.99,8.03,87.98,1.07,2.79
2010-08-01,40523,30580,3391,198,6228,144179,99784,44395,124172,85186,38986,48840,17064,31776.38,146061,105910,40151,18117,17949,168,48.7,336.6,144.68,28.95,98.1,295.11,42.54,89669.04,0.47,625.9,241.1,384.8,150.84,1659.43,90.9,1189.7,230.9,958.8,377.36,0.95,376.41,2748.28,10.53,2737.75,5681.88,8612.89,13251.25,13209.8,5.35,98.35,0.05,4.1,3.65,98.8,2.6,1.82,5405.83,5271.69,50599.4,34298.2,16301.2,2806.3,4417.1,14.81,4.5,13.27,5.42,8.81,1.27,68.73,73.79,78.81,72.24,-5.77,-4.37,-2.05,-5.17,-31.27,-26.21,-21.19,-27.76,8,8.03,8.03,8.07,87.31,1.68,2.65
2010-09-01,41164,31108,3504,198,6228,144870,99855,45015,124472,85403,39069,48820,17025,31794.91,146372,106129,40243,17356,17186,170,40.49,309.37,130.87,35.71,127.91,279.18,8.98,18802.1,0.48,607.9,240.8,367.1,101.97,1127.41,90.45,1132.2,228.2,904,359.31,1.32,357.99,3107.59,11.85,3095.74,5659.22,7775.19,16705.42,16569.76,5.89,98.63,0.28,3.76,3.95,99,2.54,2.03,5412.36,5277.32,51646.7,35098.2,16548.5,2631.1,3547.2,14.75,4.5,13.27,5.42,9.17,1.6,69.14,74.53,79.48,73,-5.3,-3.61,-1.21,-4.42,-30.86,-25.47,-20.52,-27,8.07,8.08,8.12,8.09,86.92,2.68,2.65
2010-10-01,41108,31887,3282,198,5617,145854,99788,46066,125711,85500,40211,49538,17852,31686.93,148461,107077,41384,16667,16500,167,16.37,111.25,147.14,30.76,104.2,295.2,20.22,43037.96,0.47,652,261.4,390.6,145.62,1471.74,98.94,1199,215.1,983.9,339.37,1.35,338.03,3446.97,13.2,3433.77,5650.53,5687.9,11893.31,11881.08,5.96,99.15,0.53,4.51,4.49,99.36,2.81,2.4,5438.06,5301.91,51094.6,35098.2,15996.4,3824.5,4156.2,14.77,4.5,13.21,5.41,8.33,0.87,68.68,74.92,79.4,73.53,-6.57,-4.24,-1.88,-5.03,-31.32,-25.08,-20.6,-26.47,8.04,8.07,8,8.04,88.77,1.88,2.57
