Secretaría Ejecutiva del Consejo Monetario Centroamericano,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precios,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Índice de precios al consumidor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidad de medida: Niveles del índice y variaciones en porcentajes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fechas,Costa Rica,,,,El Salvador,,,,Guatemala,,,,Honduras,,,,Nicaragua,,,,República Dominicana,,,,Panamá,,,
,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior
1990-Enero,5.95,--,--,--,29.94,--,--,--,14.02,--,--,--,17.28,--,--,--,--,--,--,--,6.72,--,--,--,--,--,--,--
1990-Febrero,5.99,0.63,--,--,30.60,2.19,--,--,14.25,1.67,--,--,17.81,3.04,--,--,--,--,--,--,6.76,0.67,--,--,--,--,--,--
1990-Marzo,6.08,1.55,--,--,31.46,2.80,--,--,14.67,2.97,--,--,17.98,1.00,--,--,--,--,--,--,6.87,1.60,--,--,--,--,--,--
1990-Abril,6.20,2.06,--,--,32.16,2.22,--,--,15.24,3.85,--,--,18.71,4.06,--,--,--,--,--,--,7.06,2.71,--,--,--,--,--,--
1990-Mayo,6.28,1.30,--,--,32.40,0.77,--,--,16.16,6.01,--,--,18.95,1.29,--,--,--,--,--,--,7.22,2.26,--,--,--,--,--,--
1990-Junio,6.44,2.47,--,--,33.08,2.10,--,--,16.75,3.65,--,--,19.39,2.32,--,--,--,--,--,--,7.39,2.44,--,--,--,--,--,--
1990-Julio,6.61,2.61,--,--,33.25,0.49,--,--,17.34,3.51,--,--,20.02,3.22,--,--,--,--,--,--,7.76,5.02,--,--,--,--,--,--
1990-Agosto,6.75,2.11,--,--,32.72,-1.58,--,--,17.50,0.93,--,--,20.32,1.52,--,--,--,--,--,--,8.66,11.54,--,--,--,--,--,--
1990-Setiembre,6.80,0.74,--,--,33.02,0.92,--,--,18.57,6.12,--,--,20.61,1.43,--,--,--,--,--,--,9.50,9.71,--,--,--,--,--,--
1990-Octubre,6.95,2.29,--,--,33.56,1.62,--,--,19.32,4.07,--,--,21.72,5.37,--,--,--,--,--,--,10.43,9.83,--,--,--,--,--,--
1990-Noviembre,7.15,2.86,--,--,34.26,2.08,--,--,20.06,3.83,--,--,22.44,3.30,--,--,--,--,--,--,11.21,7.43,--,--,--,--,--,--
1990-Diciembre,7.35,2.73,--,--,34.90,1.88,--,--,21.74,8.34,--,--,23.09,2.91,--,--,--,--,--,--,11.88,6.03,--,--,--,--,--,--
