fecha,cpi,oil,sugar,cred,gov,exchange,ipc,deprate,itcer,imae,m1,m2,tpm
2005-01-01,191.6,44.2843,8.922,40013.6,1933.2,7.75,9.04,-4.11,81.06,4.57,33644,69149,2.55
2005-02-01,192.4,45.557,9.3237,40428.4,1530.4,7.71,9.04,-4.09,80.46,4.72,28519,58356,2.75
2005-03-01,193.1,53.0726,8.895,40746.5,2182.2,7.6,8.77,-3.89,79.64,4.75,28151,58246,2.75
2005-04-01,193.7,51.8571,8.5257,41165.4,2014.9,7.59,8.88,-3.96,79.57,4.61,29267,59801,2.75
2005-05-01,193.6,48.6664,8.5114,41551.9,2284.1,7.58,8.52,-3.62,78.96,4.26,29228,60115,3
2005-06-01,193.7,54.3077,9.0332,42504.8,1848.7,7.6,8.8,-3.84,78.72,3.63,29189,60271,3
2005-07-01,194.9,57.579,9.5975,43243.3,2774.3,7.58,9.3,-4.32,78.1,2.89,29367,60511,3.25
2005-08-01,196.1,64.1248,9.8752,43671,2401.9,7.58,9.37,-4.38,78.2,2.26,30358,62139,3.5
2005-09-01,198.8,62.9823,10.8105,44306.5,2348.6,7.61,9.45,-4.43,78.84,1.97,29914,62426,3.75
2005-10-01,199.1,58.5224,11.6129,45294.2,2221.6,7.67,10.29,-5.18,78.18,2.07,30179,63017,3.75
2005-11-01,198.1,55.5359,11.808,46948.7,2804.2,7.6,9.25,-4.22,76.86,2.49,30913,63915,4
2005-12-01,198.1,56.7123,13.9271,48277.3,4156.4,7.6,8.57,-3.64,76.59,3.02,31861,64959,4.25
2006-01-01,199.3,63.3614,16.187,48965.3,2153.8,7.61,8.08,-3.2,76.58,3.41,40016,80945,4.25
2006-02-01,199.4,59.9235,18.0526,49988.8,2275.9,7.6,7.26,-2.44,76.62,3.63,33575,69306,4.25
2006-03-01,199.7,62.2539,17.0822,50921.3,2466.6,7.61,7.28,-2.45,76.79,3.7,33652,69801,4.25
2006-04-01,200.7,70.4325,17.4626,51840.4,2078,7.58,7.48,-2.6,76.55,3.78,34207,71151,4.5
2006-05-01,201.3,70.267,16.9005,52842.4,2692.3,7.57,7.62,-2.71,76.36,4.09,33969,71415,4.5
2006-06-01,201.8,68.8577,15.6891,54006.8,2306.2,7.6,7.55,-2.65,76.32,4.8,34563,72625,4.75
2006-07-01,202.9,73.8981,15.857,54833.6,3238.9,7.57,7.04,-2.19,75.93,5.78,35100,73972,5
2006-08-01,203.8,73.6122,12.9796,55978.1,2514.7,7.57,7,-2.15,75.83,6.69,35679,75084,5
2006-09-01,202.8,62.7729,12.3135,57112.2,2720.3,7.6,5.7,-0.93,75.98,7.3,35403,75486,5
2006-10-01,201.9,58.3818,11.5091,58947.3,2423.1,7.6,3.85,0.92,75.66,7.55,35817,76530,5
2006-11-01,202,58.4841,11.732,60595.4,3653.6,7.6,4.4,0.42,75.06,7.48,35793,76340,5
2006-12-01,203.1,62.2705,11.6965,62357.2,5198,7.6,5.79,-0.9,74.17,7.21,37403,77719,5
2007-01-01,203.437,54.5539,10.9035,63421.4,2024.8,7.67,6.22,-1.29,74.14,6.95,44912,88617,5
2007-02-01,204.226,57.7585,10.5716,64380.8,2088.5,7.69,6.62,-1.6,74.45,6.79,40388,80042,5
2007-03-01,205.288,62.1436,10.3668,65498.7,3814.5,7.68,7.02,-1.97,74.46,6.79,40750,80197,5.25
2007-04-01,205.904,67.5048,9.594,66084.8,2804.8,7.65,6.4,-1.4,74.46,6.9,41320,80862,5.5
2007-05-01,206.755,67.4765,9.0864,67001.3,3248.7,7.63,5.47,-0.53,74.93,6.87,40429,80297,5.5
2007-06-01,207.234,71.3171,9.2605,68467.7,2445.2,7.67,5.31,-0.37,75.09,6.61,41029,81238,5.5
2007-07-01,207.603,77.205,9.8957,69889.2,3940.9,7.67,5.59,-0.65,74.54,6.17,41044,81823,5.5
2007-08-01,207.667,70.797,9.613,71069.2,3361.5,7.65,6.21,-1.22,73.57,5.7,41691,82931,5.5
2007-09-01,208.547,77.1285,9.8511,72550.6,3063.5,7.69,7.33,-2.25,73.63,5.28,41557,83299,5.75
2007-10-01,209.19,82.8317,9.9948,74552.6,2885.7,7.71,7.72,-2.61,73.73,4.9,42266,84836,6
2007-11-01,210.834,92.5282,9.896,76490.2,3566.2,7.63,9.13,-3.84,72.03,4.66,41885,84811,6.25
2007-12-01,211.445,91.529,10.4463,78567,4137.8,7.61,8.75,-3.53,71.17,4.62,42532,85637,6.5
2008-01-01,212.174,92.0065,11.6595,78963.9,2549.8,7.7,8.39,-3.18,71.57,4.76,47506,95135,6.5
2008-02-01,212.687,94.8186,13.6075,79623.9,2053.5,7.71,8.76,-3.51,71.46,4.91,44328,88320,6.5
2008-03-01,213.448,103.1229,12.8765,80000,2957.5,7.63,9.1,-3.79,70.46,4.95,43513,88119,6.75
2008-04-01,213.942,110.1886,12.5227,80633.8,2890.8,7.53,10.37,-4.87,69,4.83,43532,88249,6.75
