fecha,tipo_de_cambio_de_compra_promedio_del_mes,tipo_de_cambio_de_venta_promedio_del_mes,ipc_variacion_interanual,cafe_valor_exportado,banano_valor_exportado,azucar_valor_exportado,deuda_total_pib,deuda_interna_bruta_pib,deuda_externa_pib,tasa_de_interes_activa_nominal_en_mn,tasa_de_interes_pasiva_nominal_en_mn,tasa_de_interes_activa_real_en_mn,tasa_de_interes_pasiva_real_en_mn,itcer_con_usa_variacion_interanual,itcer_global_variacion_interanual,itcer_con_la_region_capard_variacion_interanual,itcer_con_el_resto_del_mundo_variacion_interanual,imae_variacion_interanual,imae_variacion_interanual_2,base_monetaria_amplia,base_monetaria_restringida,agregado_monetario_m2,agregado_monetario_m1,exportaciones_totales,tasa_de_politica_monetaria,hidrocarburos_valor_importado
2005-01-01,7.75,7.77,9.04,38.55975084793468,20.042952821149473,29.266961396281978,27.65,14.08,13.57,13.52,4.56,4.11,-4.11,-9.61,-8.67,-7.4,-9.02,3.07,4.57,0.5865768575644026,10.29354321897511,16.759588125810332,15.483454218944814,13.795804759655983,2.55,-3.4598208774413663
2005-02-01,7.71,7.73,9.04,23.610728615526398,-63.777319660779774,46.049914493417134,27.42,13.88,13.53,13.52,4.58,4.11,-4.09,-10.05,-8.98,-8,-9.24,2.66,4.72,10.077731517854005,6.9097091349267,8.603975935680985,8.538380408631419,13.965683227222936,2.75,53.2731376865458
2005-03-01,7.6,7.63,8.77,25.010629741421518,6.928766832493327,-29.36961233215367,28.17,14.73,13.44,13.49,4.53,4.34,-3.89,-10.85,-9.63,-8.92,-9.81,4.32,4.75,10.286125511672495,11.08545775920522,9.29317311559732,8.697585490376802,1.8311337915956294,2.75,28.871377235192863
2005-04-01,7.59,7.62,8.88,37.58088985252761,7.15536923486253,-23.95748517953202,28.35,14.95,13.4,13.1,4.57,3.88,-3.96,-10.13,-8.99,-8.6,-9.09,4.66,4.61,13.38993699439559,10.146893357510578,11.668207173178757,13.664554054788525,22.149949011364267,2.75,25.319209186427027
2005-05-01,7.58,7.6,8.52,42.886078011704896,69.408307206485,300.9525595686327,28.24,14.84,13.4,13.04,4.59,4.16,-3.62,-9.92,-7.98,-7.73,-8.04,5.97,4.26,9.262835711276018,10.880285984879912,12.474181721308675,13.919757449494341,20.62935228302578,3,13.47950162328777
2005-06-01,7.6,7.62,8.8,46.31975747767365,-7.193121900863186,-52.2059557598487,28.1,14.74,13.36,13.02,4.62,3.88,-3.84,-9.59,-8.09,-7.22,-8.33,4.23,3.63,9.27253806738122,12.916130297780626,12.496185025604944,14.144721515638992,2.3860487341107905,3,107.80807249457638
2005-07-01,7.58,7.6,9.3,43.373816380412535,28.70006414203017,-39.624414986431546,28.37,15.03,13.34,12.9,4.58,3.29,-4.32,-9.23,-8.21,-7.62,-8.36,2.1,2.89,3.453694001490959,12.27454156805532,12.293792644741686,14.847448952552966,-0.12131016449270504,3.25,48.76912655832557
2005-08-01,7.58,7.59,9.37,27.77692758103969,-17.689696598304216,-94.22369138187403,28.96,15.63,13.33,12.88,4.58,3.21,-4.38,-9.06,-8.05,-7.86,-8.1,2.36,2.26,-2.707427896333492,17.663254018607155,13.102633125392238,16.160089944044564,0.9334159973117373,3.5,39.899313411986
2005-09-01,7.61,7.63,9.45,54.343318102755504,11.052467320606052,97.8714028176312,29.07,15.77,13.31,12.78,4.6,3.05,-4.43,-7.68,-7.26,-7.41,-7.2,2.73,1.97,-3.6988340307352985,8.537937344300417,13.257528869776714,14.474021569354,10.33176140280263,3.75,14.357922471925644
2005-10-01,7.67,7.69,10.29,11.76063728169523,-0.1518603177189881,218.28358398841195,28.72,15.47,13.25,12.72,4.58,2.2,-5.18,-7.23,-7.19,-6.54,-7.36,-0.99,2.07,-1.3630669717704436,10.945256531680059,13.052312952223843,14.551756433071539,-9.514033254512988,3.75,44.56810537262248
2005-11-01,7.6,7.62,9.25,51.89781422035962,29.961714423205876,160.04759405768695,28.94,15.74,13.19,12.78,4.64,3.23,-4.22,-7.23,-7.7,-6.64,-7.99,1.3,2.49,-3.7155853300474107,13.940497332109736,14.126114901604225,16.431113853647794,10.122444051327495,4,53.92660788445767
2005-12-01,7.6,7.62,8.57,-23.260965759711816,-62.1498508253779,15.753539695881535,28.81,15.6,13.21,12.7,4.62,3.81,-3.64,-6.75,-7.54,-6.12,-7.93,4.29,3.02,-6.561925181662787,13.3172218720631,14.441258964157555,16.921923067083355,-5.507257486238171,4.25,29.851232387227444
