"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
Crédito,,,,,,
"Crédito de las OSD por sector y por moneda",,,,,,
"Unidad de medida: Millones de moneda nacional.",,,,,,
Fechas,Guatemala
,"Crédito de las OSD con el sector privado"
2001-Diciembre,36172.00
2002-Enero,35625.00
2002-Febrero,36059.00
2002-Marzo,35860.00
2002-Abril,35845.00
2002-Mayo,35837.00
2002-Junio,36447.00
2002-Julio,36453.00
2002-Agosto,36549.00
2002-Setiembre,36597.00
2002-Octubre,36703.00
2002-Noviembre,37029.00
2002-Diciembre,37834.00
2003-Enero,37515.00
2003-Febrero,37562.00
2003-Marzo,38147.00
2003-Abril,38033.00
2003-Mayo,38542.00
2003-Junio,38346.00
2003-Julio,38155.00
2003-Agosto,38547.00
2003-Setiembre,39014.00
2003-Octubre,39480.00
2003-Noviembre,39998.00
2003-Diciembre,49003.00
2004-Enero,47211.00
2004-Febrero,47060.00
2004-Marzo,47368.00
2004-Abril,47524.00
2004-Mayo,47901.00
2004-Junio,48513.00
2004-Julio,49442.00
2004-Agosto,49394.00
2004-Setiembre,50253.00
2004-Octubre,50783.00
2004-Noviembre,51762.00
2004-Diciembre,53400.00
2005-Enero,53462.00
2005-Febrero,53483.00
2005-Marzo,53821.00
2005-Abril,54756.00
2005-Mayo,55014.00
2005-Junio,56263.00
2005-Julio,57170.00
2005-Agosto,57769.00
2005-Setiembre,58749.00
2005-Octubre,59741.00
2005-Noviembre,52564.00
2005-Diciembre,55942.00
2006-Enero,56440.00
2006-Febrero,57259.00
2006-Marzo,58255.00
2006-Abril,59120.00
2006-Mayo,59530.00
2006-Junio,62133.00
2006-Julio,62596.00
2006-Agosto,63428.00
2006-Setiembre,64950.00
2006-Octubre,66434.00
2006-Noviembre,66687.00
2006-Diciembre,67906.00
2007-Enero,68526.00
2007-Febrero,69180.00
2007-Marzo,69258.00
2007-Abril,69102.00
2007-Mayo,69403.00
2007-Junio,70205.00
2007-Julio,71565.00
2007-Agosto,72191.00
2007-Setiembre,72917.00
2007-Octubre,74565.00
2007-Noviembre,75562.00
2007-Diciembre,76737.00
2008-Enero,76822.00
2008-Febrero,77209.00
2008-Marzo,77440.00
2008-Abril,77151.00
2008-Mayo,77666.00
2008-Junio,78854.00
2008-Julio,79119.00
2008-Agosto,80119.00
2008-Setiembre,80818.00
2008-Octubre,81726.00
2008-Noviembre,82970.00
2008-Diciembre,85348.00
2009-Enero,82858.00
2009-Febrero,82813.00
2009-Marzo,83287.00
2009-Abril,82765.00
2009-Mayo,82843.00
2009-Junio,81743.00
2009-Julio,82035.00
2009-Agosto,82271.00
2009-Setiembre,82551.00
2009-Octubre,82560.00
2009-Noviembre,82657.00
2009-Diciembre,83044.00
2010-Enero,83425.00
2010-Febrero,82436.00
2010-Marzo,81799.00
2010-Abril,81513.00
2010-Mayo,81267.00
2010-Junio,81718.00
2010-Julio,81583.00
2010-Agosto,82070.00
2010-Setiembre,81763.00
2010-Octubre,82856.00
2010-Noviembre,83899.00
2010-Diciembre,84980.00
2011-Enero,85262.00
2011-Febrero,86003.00
2011-Marzo,86021.00
2011-Abril,85200.00
2011-Mayo,86911.00
2011-Junio,88214.00
2011-Julio,88585.00
2011-Agosto,89002.00
2011-Setiembre,90449.00
2011-Octubre,91807.00
2011-Noviembre,93934.00
2011-Diciembre,94130.00
2012-Enero,94331.00
2012-Febrero,96939.00
2012-Marzo,98760.00
2012-Abril,101004.00
2012-Mayo,103054.00
2012-Junio,104363.00
2012-Julio,106524.00
2012-Agosto,124249.00
2012-Setiembre,126083.00
2012-Octubre,127364.00
2012-Noviembre,129534.00
2012-Diciembre,132827.00
2013-Enero,132671.00
2013-Febrero,133399.00
2013-Marzo,133989.00
2013-Abril,135454.00
2013-Mayo,136205.00
2013-Junio,137287.00
2013-Julio,139272.00
2013-Agosto,141399.00
2013-Setiembre,142408.00
2013-Octubre,143796.00
2013-Noviembre,145017.00
2013-Diciembre,146330.00
2014-Enero,147022.00
2014-Febrero,147297.00
2014-Marzo,148107.00
2014-Abril,150021.00
2014-Mayo,151421.00
2014-Junio,151584.00
2014-Julio,153597.00
2014-Agosto,153169.00
2014-Setiembre,153715.00
2014-Octubre,155020.00
2014-Noviembre,156944.00
2014-Diciembre,158834.00
2015-Enero,159928.00
2015-Febrero,160822.00
2015-Marzo,162592.00
2015-Abril,164593.00
2015-Mayo,166426.00
2015-Junio,167095.00
2015-Julio,168252.00
2015-Agosto,170252.00
2015-Setiembre,171781.00
2015-Octubre,173758.00
2015-Noviembre,175556.00
2015-Diciembre,177483.00
2016-Enero,178077.00
2016-Febrero,178770.00
2016-Marzo,179573.00
2016-Abril,180427.00
2016-Mayo,181069.00
2016-Junio,181783.00
2016-Julio,181942.00
2016-Agosto,182957.00
2016-Setiembre,182901.00
2016-Octubre,184127.00
2016-Noviembre,186135.00
2016-Diciembre,189346.00
2017-Enero,189079.00
2017-Febrero,189810.00
2017-Marzo,190762.00
2017-Abril,191777.00
2017-Mayo,191563.00
2017-Junio,191642.00
2017-Julio,191484.00
2017-Agosto,191690.00
2017-Setiembre,192569.00
2017-Octubre,193982.00
2017-Noviembre,195265.00
2017-Diciembre,196404.00
2018-Enero,196802.00
2018-Febrero,196546.00
2018-Marzo,197925.00
2018-Abril,198391.00
2018-Mayo,198925.00
2018-Junio,199286.00
2018-Julio,198959.00
2018-Agosto,199785.00
2018-Setiembre,202142.00
2018-Octubre,204019.00
2018-Noviembre,204894.00
2018-Diciembre,205320.00
2019-Enero,206001.00
2019-Febrero,204833.00
2019-Marzo,206386.00
2019-Abril,207577.00
2019-Mayo,208257.00
2019-Junio,209044.00
2019-Julio,208900.00
2019-Agosto,209601.00
2019-Setiembre,211057.00
2019-Octubre,212406.00
2019-Noviembre,214609.00
2019-Diciembre,215687.00
2020-Enero,216235.00
2020-Febrero,216934.00
2020-Marzo,222076.00
2020-Abril,223964.00
2020-Mayo,224301.00
2020-Junio,223801.00
2020-Julio,222470.00
2020-Agosto,222719.00
2020-Setiembre,222781.00
2020-Octubre,226281.00
2020-Noviembre,227317.00
