"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Tipos de cambio",,,,,,
"Tipo de cambio de mercado",,,,,,
"Unidad de medida: Moneda nacional por unidad de US dólar",,,,,,
Fechas,Guatemala,
,"Tipo de cambio de compra promedio del mes","Tipo de cambio de venta promedio del mes"
1990-Enero,3.59,--
1990-Febrero,3.81,--
1990-Marzo,3.92,--
1990-Abril,4.21,--
1990-Mayo,4.25,--
1990-Junio,4.30,--
1990-Julio,4.23,--
1990-Agosto,4.67,--
1990-Setiembre,5.72,--
1990-Octubre,5.27,--
1990-Noviembre,5.08,--
1990-Diciembre,4.92,--
1991-Enero,4.98,5.10
1991-Febrero,5.04,5.12
1991-Marzo,5.02,5.05
1991-Abril,4.96,4.99
1991-Mayo,4.89,4.95
1991-Junio,4.87,5.02
1991-Julio,4.90,5.09
1991-Agosto,5.00,5.11
1991-Setiembre,4.98,5.06
1991-Octubre,5.08,5.13
1991-Noviembre,5.06,5.10
1991-Diciembre,5.03,5.08
1992-Enero,5.06,5.11
1992-Febrero,5.13,5.19
1992-Marzo,5.12,5.15
1992-Abril,5.03,5.08
1992-Mayo,4.98,5.04
1992-Junio,5.06,5.11
1992-Julio,5.12,5.18
1992-Agosto,5.20,5.25
1992-Setiembre,5.27,5.32
1992-Octubre,5.30,5.34
1992-Noviembre,5.26,5.33
1992-Diciembre,5.31,5.36
1993-Enero,5.26,5.31
1993-Febrero,5.33,5.38
1993-Marzo,5.41,5.46
1993-Abril,5.43,5.53
1993-Mayo,5.53,5.59
1993-Junio,5.61,5.67
1993-Julio,5.67,5.74
1993-Agosto,5.74,5.81
1993-Setiembre,5.82,5.88
1993-Octubre,5.84,5.90
1993-Noviembre,5.82,5.89
1993-Diciembre,5.76,5.83
1994-Enero,5.83,5.89
1994-Febrero,5.83,5.89
1994-Marzo,5.81,5.85
1994-Abril,5.78,5.80
1994-Mayo,5.74,5.75
1994-Junio,5.73,5.74
1994-Julio,5.65,5.66
1994-Agosto,5.66,5.69
1994-Setiembre,5.79,5.82
1994-Octubre,5.77,5.79
1994-Noviembre,5.73,5.75
1994-Diciembre,5.63,5.66
1995-Enero,5.73,5.75
1995-Febrero,5.71,5.73
1995-Marzo,5.69,5.70
1995-Abril,5.72,5.74
1995-Mayo,5.73,5.75
1995-Junio,5.75,5.76
1995-Julio,5.76,5.78
1995-Agosto,5.80,5.82
