"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Comercio exterior",,,,,,
"Exportaciones FOB",,,,,,
"Unidad de medida: Millones de US dólares",,,,,,
Fechas,Guatemala
,"Exportaciones totales"
2002-Enero,369.50
2002-Febrero,381.60
2002-Marzo,289.10
2002-Abril,353.60
2002-Mayo,349.20
2002-Junio,332.30
2002-Julio,338.80
2002-Agosto,356.60
2002-Setiembre,381.60
2002-Octubre,366.80
2002-Noviembre,331.40
2002-Diciembre,311.70
2003-Enero,364.60
2003-Febrero,361.10
2003-Marzo,352.20
2003-Abril,349.20
2003-Mayo,426.30
2003-Junio,375.00
2003-Julio,469.80
2003-Agosto,365.80
2003-Setiembre,336.00
2003-Octubre,358.00
2003-Noviembre,336.10
2003-Diciembre,365.40
2004-Enero,369.10
2004-Febrero,372.30
2004-Marzo,432.90
2004-Abril,389.60
2004-Mayo,395.00
2004-Junio,472.10
2004-Julio,494.90
2004-Agosto,437.20
2004-Setiembre,411.60
2004-Octubre,412.10
2004-Noviembre,404.60
2004-Diciembre,442.30
2005-Enero,423.70
2005-Febrero,428.10
2005-Marzo,440.90
2005-Abril,486.20
2005-Mayo,485.50
2005-Junio,483.50
2005-Julio,494.30
2005-Agosto,441.30
2005-Setiembre,456.40
2005-Octubre,374.70
2005-Noviembre,447.70
2005-Diciembre,418.60
2006-Enero,460.60
2006-Febrero,428.30
2006-Marzo,495.90
2006-Abril,394.30
2006-Mayo,483.80
2006-Junio,543.70
2006-Julio,568.20
2006-Agosto,530.90
2006-Setiembre,593.90
2006-Octubre,533.20
2006-Noviembre,495.90
2006-Diciembre,484.20
2007-Enero,544.10
2007-Febrero,562.60
2007-Marzo,604.80
2007-Abril,531.70
2007-Mayo,679.00
2007-Junio,618.20
2007-Julio,579.00
2007-Agosto,588.70
2007-Setiembre,529.00
2007-Octubre,557.80
2007-Noviembre,539.60
2007-Diciembre,563.20
2008-Enero,593.60
2008-Febrero,642.30
2008-Marzo,642.60
2008-Abril,723.60
2008-Mayo,651.10
2008-Junio,736.80
2008-Julio,745.30
2008-Agosto,685.00
2008-Setiembre,638.20
2008-Octubre,623.30
2008-Noviembre,517.90
2008-Diciembre,537.70
2009-Enero,588.70
2009-Febrero,602.50
2009-Marzo,650.30
2009-Abril,632.30
2009-Mayo,604.10
2009-Junio,621.90
2009-Julio,612.30
2009-Agosto,556.00
2009-Setiembre,549.90
2009-Octubre,618.20
2009-Noviembre,537.80
2009-Diciembre,639.70
2010-Enero,671.20
2010-Febrero,622.20
