"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Comercio exterior",,,,,,
"Exportación de café, banano y azúcar",,,,,,
"Unidad de medida: Valor en millones de US dólares. Volumen en miles de: café en quintales (QQ), banano en toneladas métricas (T) y azúcar en kilogramos (KG). Precio promedio en US$/QQ, US$/T y US$/KG",,,,,,
Fechas,Guatemala,,
,"Café valor exportado","Banano valor exportado","Azúcar valor exportado"
1994-Enero,18.99,1.28,0.02
1994-Febrero,16.98,5.23,6.49
1994-Marzo,22.52,8.84,25.51
1994-Abril,20.13,2.40,11.77
1994-Mayo,41.15,6.12,41.51
1994-Junio,26.82,6.84,7.89
1994-Julio,40.18,4.01,20.77
1994-Agosto,27.13,2.00,20.36
1994-Setiembre,21.75,2.98,1.05
1994-Octubre,21.98,67.98,12.97
1994-Noviembre,20.85,4.41,0.12
1994-Diciembre,39.63,1.12,10.76
1995-Enero,38.39,10.12,--
1995-Febrero,50.00,9.20,13.98
1995-Marzo,65.96,14.18,57.24
1995-Abril,46.42,12.98,--
1995-Mayo,68.08,15.96,52.39
1995-Junio,51.89,11.35,--
1995-Julio,52.25,10.85,78.89
1995-Agosto,56.14,7.06,8.39
1995-Setiembre,34.78,10.85,2.23
1995-Octubre,25.63,9.99,8.71
1995-Noviembre,25.84,10.75,--
1995-Diciembre,23.30,15.04,15.14
1996-Enero,48.48,7.15,21.61
1996-Febrero,24.60,16.04,--
1996-Marzo,95.83,10.40,83.07
1996-Abril,45.57,11.27,28.23
1996-Mayo,45.39,12.69,19.83
1996-Junio,57.62,14.11,10.18
1996-Julio,30.92,15.74,3.80
1996-Agosto,18.53,14.27,13.37
1996-Setiembre,16.63,16.10,11.73
1996-Octubre,12.34,13.46,--
1996-Noviembre,27.21,15.60,--
1996-Diciembre,49.29,8.34,10.20
1997-Enero,50.24,3.54,44.06
1997-Febrero,85.97,11.52,8.10
1997-Marzo,53.68,11.17,37.38
1997-Abril,79.92,8.18,41.18
1997-Mayo,79.30,20.36,7.61
1997-Junio,44.79,15.74,28.51
1997-Julio,38.14,15.26,66.49
1997-Agosto,11.62,10.22,--
1997-Setiembre,10.51,12.82,17.01
1997-Octubre,21.15,16.76,4.14
1997-Noviembre,42.26,15.29,0.78
1997-Diciembre,70.72,9.42,0.08
1998-Enero,71.72,13.33,26.94
1998-Febrero,92.10,12.95,15.74
1998-Marzo,62.17,12.00,5.46
1998-Abril,77.00,9.96,71.06
1998-Mayo,73.46,11.70,68.28
1998-Junio,47.96,23.39,66.72
1998-Julio,49.24,17.19,24.45
1998-Agosto,34.46,35.33,11.28
1998-Setiembre,3.18,18.46,0.33
