"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Finanzas del Gobierno Central",,,,,,
"Resultado fiscal: Ingresos, gastos, donaciones",,,,,,
"Unidad de medida: Millones de US dólares.  Millones de moneda nacional",,,,,,
Fechas,Guatemala,
,"Ingresos totales GC","Gastos totales GC"
1990-Enero,236.20,159.70
1990-Febrero,165.90,192.20
1990-Marzo,196.20,216.10
1990-Abril,204.80,219.40
1990-Mayo,231.60,235.70
1990-Junio,181.90,300.30
1990-Julio,234.40,268.70
1990-Agosto,198.90,218.70
1990-Setiembre,217.60,245.70
1990-Octubre,286.40,316.90
1990-Noviembre,293.10,403.30
1990-Diciembre,264.10,729.90
1991-Enero,335.00,209.00
1991-Febrero,279.10,176.30
1991-Marzo,275.10,271.20
1991-Abril,383.30,308.00
1991-Mayo,415.30,306.00
1991-Junio,284.90,282.70
1991-Julio,368.20,280.60
1991-Agosto,314.00,345.20
1991-Setiembre,324.90,314.00
1991-Octubre,440.10,363.00
1991-Noviembre,455.50,526.30
1991-Diciembre,421.30,924.70
1992-Enero,455.20,275.70
1992-Febrero,332.80,367.50
1992-Marzo,490.20,264.90
1992-Abril,454.30,351.90
1992-Mayo,540.90,402.70
1992-Junio,460.20,507.60
1992-Julio,494.60,667.50
1992-Agosto,485.10,430.60
1992-Setiembre,377.70,317.00
1992-Octubre,463.40,347.60
1992-Noviembre,509.40,533.30
1992-Diciembre,411.80,1287.10
1993-Enero,516.60,236.00
1993-Febrero,391.00,518.00
1993-Marzo,426.30,396.10
1993-Abril,539.80,621.90
1993-Mayo,531.30,856.70
1993-Junio,401.00,434.10
1993-Julio,557.90,526.00
1993-Agosto,411.40,502.00
1993-Setiembre,417.70,398.00
1993-Octubre,491.10,771.00
1993-Noviembre,551.40,804.90
1993-Diciembre,536.10,669.60
1994-Enero,483.60,328.90
1994-Febrero,443.60,360.30
1994-Marzo,455.70,567.90
1994-Abril,464.90,558.10
1994-Mayo,480.30,519.80
1994-Junio,385.10,485.50
1994-Julio,435.40,782.00
1994-Agosto,449.10,571.90
1994-Setiembre,490.80,404.20
1994-Octubre,426.50,665.60
1994-Noviembre,608.70,856.70
1994-Diciembre,580.70,731.80
1995-Enero,504.90,401.00
1995-Febrero,486.90,349.60
1995-Marzo,571.90,627.90
1995-Abril,539.70,435.00
1995-Mayo,875.00,659.90
1995-Junio,496.20,611.30
1995-Julio,608.40,827.10
1995-Agosto,548.20,596.90
1995-Setiembre,450.80,757.00
1995-Octubre,688.10,716.90
1995-Noviembre,796.20,716.40
1995-Diciembre,661.30,1128.10
1996-Enero,664.00,402.10
1996-Febrero,589.40,386.10
1996-Marzo,486.80,586.80
1996-Abril,817.20,604.10
1996-Mayo,789.10,746.80
1996-Junio,694.30,968.40
1996-Julio,858.60,771.60
1996-Agosto,653.90,498.30
1996-Setiembre,618.20,580.70
1996-Octubre,795.80,1094.30
1996-Noviembre,807.80,633.20
1996-Diciembre,749.40,1376.20
1997-Enero,838.50,228.60
1997-Febrero,724.50,586.40
1997-Marzo,716.30,503.80
1997-Abril,923.40,743.20
1997-Mayo,1017.30,606.40
1997-Junio,821.20,745.10
1997-Julio,884.80,798.70
1997-Agosto,542.90,920.00
1997-Setiembre,630.70,780.60
1997-Octubre,723.10,1099.80
1997-Noviembre,775.10,1186.50
1997-Diciembre,1526.50,2815.70
1998-Enero,862.60,618.40
1998-Febrero,896.60,699.00
1998-Marzo,825.00,769.60
1998-Abril,1193.00,995.40
1998-Mayo,1338.10,922.70
1998-Junio,806.50,985.50
1998-Julio,1146.80,1177.30
1998-Agosto,825.10,1292.20
1998-Setiembre,741.10,1373.70
1998-Octubre,1067.60,1297.40
1998-Noviembre,1120.70,1331.30
1998-Diciembre,1083.00,3230.50
1999-Enero,1085.00,799.40
1999-Febrero,1027.40,1001.30
1999-Marzo,1008.20,1188.80
1999-Abril,1390.20,1378.20
1999-Mayo,1180.60,1236.10
1999-Junio,879.80,1298.40
1999-Julio,1264.70,1901.80
1999-Agosto,1137.40,1299.40
1999-Setiembre,890.10,1368.50
1999-Octubre,1108.20,1812.00
1999-Noviembre,1762.10,1634.70
1999-Diciembre,1242.60,3049.80
2000-Enero,1286.20,1275.50
2000-Febrero,958.30,911.40
2000-Marzo,1031.00,1265.50
2000-Abril,979.30,1135.10
2000-Mayo,1935.10,1504.90
2000-Junio,999.90,1146.70
2000-Julio,1591.30,1820.90
2000-Agosto,1063.10,1553.40
2000-Setiembre,985.00,1705.90
2000-Octubre,1760.30,1565.90
2000-Noviembre,1299.20,1949.10
2000-Diciembre,1340.50,2440.70
2001-Enero,1386.30,1501.30
2001-Febrero,1028.80,1786.20
2001-Marzo,1054.40,1514.90
2001-Abril,1722.40,1461.30
2001-Mayo,1533.50,1869.90
2001-Junio,1050.40,1382.00
2001-Julio,1746.40,2118.00
2001-Agosto,1261.50,1318.60
2001-Setiembre,1297.50,1456.90
2001-Octubre,2172.80,1752.70
2001-Noviembre,2129.30,2169.90
2001-Diciembre,1270.80,2978.30
2002-Enero,1876.10,1714.20
2002-Febrero,1170.80,1445.30
2002-Marzo,1161.20,1494.70
2002-Abril,2155.80,1698.30
2002-Mayo,1872.50,1470.50
2002-Junio,1278.20,1143.30
2002-Julio,2241.80,2660.80
2002-Agosto,1422.30,1955.70
2002-Setiembre,1355.70,1647.60
2002-Octubre,2527.20,2298.90
2002-Noviembre,1636.70,2427.60
2002-Diciembre,1658.30,2584.20
2003-Enero,2164.10,1920.10
2003-Febrero,1193.60,1459.10
2003-Marzo,1397.90,2048.50
2003-Abril,2156.60,2051.90
2003-Mayo,1834.30,2127.90
2003-Junio,1394.00,2325.10
2003-Julio,2385.80,2859.50
2003-Agosto,1539.10,1794.00
2003-Setiembre,1469.40,2158.80
2003-Octubre,2550.80,2749.40
2003-Noviembre,1584.80,2294.90
2003-Diciembre,1720.00,2544.20
2004-Enero,2144.20,1841.00
2004-Febrero,1332.30,1332.30
2004-Marzo,1507.70,1729.31
2004-Abril,1914.40,1481.59
2004-Mayo,1928.40,1892.20
2004-Junio,1548.70,2010.50
2004-Julio,1820.40,2461.00
2004-Agosto,1526.10,2126.60
