"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Comercio exterior",,,,,,
"Importación de hidrocarburos",,,,,,
"Unidad de medida: Valor en millones de US dólares, volumen en miles de barriles y precio promedio en US$/barril",,,,,,
Fechas,Guatemala
,"Hidrocarburos valor importado"
2003-Enero,57.60
2003-Febrero,61.11
2003-Marzo,55.93
2003-Abril,57.68
2003-Mayo,44.67
2003-Junio,49.33
2003-Julio,37.84
2003-Agosto,44.94
2003-Setiembre,59.53
2003-Octubre,38.46
2003-Noviembre,46.64
2003-Diciembre,51.67
2004-Enero,67.34
2004-Febrero,32.69
2004-Marzo,75.08
2004-Abril,69.17
2004-Mayo,63.27
2004-Junio,54.62
2004-Julio,58.77
2004-Agosto,80.09
2004-Setiembre,59.91
2004-Octubre,62.06
2004-Noviembre,74.18
2004-Diciembre,100.10
2005-Enero,65.05
2005-Febrero,55.69
2005-Marzo,100.21
2005-Abril,89.10
2005-Mayo,72.40
2005-Junio,160.53
2005-Julio,95.71
2005-Agosto,119.36
2005-Setiembre,69.16
2005-Octubre,96.91
2005-Noviembre,127.20
2005-Diciembre,134.92
2006-Enero,144.77
2006-Febrero,93.30
2006-Marzo,109.76
2006-Abril,133.67
2006-Mayo,126.47
2006-Junio,89.76
2006-Julio,145.64
2006-Agosto,100.84
2006-Setiembre,132.32
2006-Octubre,128.04
2006-Noviembre,78.77
2006-Diciembre,86.58
2007-Enero,137.24
2007-Febrero,117.38
2007-Marzo,111.84
2007-Abril,109.10
2007-Mayo,149.46
2007-Junio,133.00
2007-Julio,169.92
2007-Agosto,183.89
2007-Setiembre,103.17
2007-Octubre,146.40
2007-Noviembre,164.79
2007-Diciembre,185.73
2008-Enero,98.30
2008-Febrero,148.93
2008-Marzo,191.90
2008-Abril,235.94
2008-Mayo,179.20
2008-Junio,251.68
2008-Julio,194.55
2008-Agosto,197.91
2008-Setiembre,138.33
2008-Octubre,143.78
2008-Noviembre,78.91
2008-Diciembre,83.26
2009-Enero,108.40
2009-Febrero,115.98
2009-Marzo,101.89
2009-Abril,95.00
2009-Mayo,90.29
2009-Junio,157.92
2009-Julio,150.43
2009-Agosto,111.56
2009-Setiembre,85.64
2009-Octubre,231.19
2009-Noviembre,95.39
2009-Diciembre,178.20
2010-Enero,118.47
2010-Febrero,133.29
2010-Marzo,122.21
2010-Abril,190.34
2010-Mayo,153.20
2010-Junio,118.57
2010-Julio,137.87
2010-Agosto,150.84
2010-Setiembre,101.97
2010-Octubre,145.62
2010-Noviembre,135.13
2010-Diciembre,226.42
2011-Enero,171.91
2011-Febrero,155.64
2011-Marzo,220.99
2011-Abril,188.58
2011-Mayo,255.44
2011-Junio,157.13
2011-Julio,176.29
2011-Agosto,222.71
2011-Setiembre,165.21
2011-Octubre,163.65
2011-Noviembre,156.18
2011-Diciembre,203.93
2012-Enero,208.03
2012-Febrero,181.00
2012-Marzo,232.33
2012-Abril,182.36
2012-Mayo,238.07
2012-Junio,176.07
2012-Julio,177.20
2012-Agosto,203.59
2012-Setiembre,173.55
2012-Octubre,185.95
2012-Noviembre,140.25
2012-Diciembre,252.86
2013-Enero,224.95
2013-Febrero,218.25
2013-Marzo,219.63
2013-Abril,183.03
2013-Mayo,255.28
2013-Junio,171.87
2013-Julio,214.27
2013-Agosto,122.84
2013-Setiembre,240.21
2013-Octubre,196.64
2013-Noviembre,178.96
2013-Diciembre,195.26
2014-Enero,317.60
2014-Febrero,205.87
2014-Marzo,266.62
2014-Abril,176.64
2014-Mayo,230.50
2014-Junio,204.65
2014-Julio,207.14
2014-Agosto,203.48
2014-Setiembre,171.58
2014-Octubre,194.07
2014-Noviembre,173.68
2014-Diciembre,197.10
2015-Enero,132.58
2015-Febrero,143.47
2015-Marzo,179.07
2015-Abril,140.36
2015-Mayo,186.92
2015-Junio,135.12
2015-Julio,187.43
2015-Agosto,112.94
2015-Setiembre,135.55
2015-Octubre,134.28
2015-Noviembre,137.82
2015-Diciembre,106.71
2016-Enero,101.60
2016-Febrero,98.20
2016-Marzo,153.09
2016-Abril,138.03
2016-Mayo,130.96
2016-Junio,156.44
2016-Julio,80.87
2016-Agosto,135.56
2016-Setiembre,165.04
2016-Octubre,138.16
2016-Noviembre,139.90
2016-Diciembre,170.61
2017-Enero,167.01
2017-Febrero,129.39
2017-Marzo,201.36
2017-Abril,186.18
2017-Mayo,120.36
2017-Junio,147.74
2017-Julio,135.57
2017-Agosto,137.51
2017-Setiembre,139.63
2017-Octubre,169.96
2017-Noviembre,153.33
2017-Diciembre,246.06
2018-Enero,186.59
2018-Febrero,157.89
2018-Marzo,192.46
2018-Abril,183.36
2018-Mayo,249.83
2018-Junio,220.42
2018-Julio,113.73
2018-Agosto,231.85
2018-Setiembre,161.73
2018-Octubre,223.54
2018-Noviembre,169.86
2018-Diciembre,146.73
2019-Enero,143.32
2019-Febrero,196.49
2019-Marzo,217.89
2019-Abril,235.79
2019-Mayo,192.56
2019-Junio,189.37
2019-Julio,177.02
2019-Agosto,182.83
2019-Setiembre,144.50
2019-Octubre,200.30
2019-Noviembre,203.61
2019-Diciembre,169.41
2020-Enero,181.49
2020-Febrero,188.59
2020-Marzo,140.61
2020-Abril,48.95
2020-Mayo,75.27
2020-Junio,93.06
2020-Julio,84.61
2020-Agosto,105.21
2020-Setiembre,91.00
2020-Octubre,134.31
2020-Noviembre,145.73
2020-Diciembre,162.18
2021-Enero,185.52
2021-Febrero,157.89
