"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Tipos de cambio",,,,,,
"Índice tipo de cambio efectivo real",,,,,,
"Unidad de medida: Niveles del índice y variaciones en porcentajes",,,,,,
Fechas,Guatemala
,"ITCER con USA"
2000-Enero,103.47
2000-Febrero,102.06
2000-Marzo,100.97
2000-Abril,99.92
2000-Mayo,100.71
2000-Junio,101.12
2000-Julio,101.36
2000-Agosto,101.78
2000-Setiembre,102.86
2000-Octubre,102.96
2000-Noviembre,101.70
2000-Diciembre,100.00
2001-Enero,100.18
2001-Febrero,99.02
2001-Marzo,98.26
2001-Abril,98.80
2001-Mayo,99.24
2001-Junio,99.04
2001-Julio,97.94
2001-Agosto,97.33
2001-Setiembre,98.75
2001-Octubre,99.60
2001-Noviembre,98.43
2001-Diciembre,95.94
2002-Enero,95.62
2002-Febrero,94.25
2002-Marzo,93.86
2002-Abril,92.84
2002-Mayo,93.02
2002-Junio,92.90
2002-Julio,91.71
2002-Agosto,91.04
2002-Setiembre,91.58
2002-Octubre,90.84
2002-Noviembre,89.06
2002-Diciembre,88.78
2003-Enero,89.83
2003-Febrero,90.24
2003-Marzo,91.30
2003-Abril,90.72
2003-Mayo,90.29
2003-Junio,90.35
2003-Julio,90.21
2003-Agosto,90.33
2003-Setiembre,90.94
2003-Octubre,91.72
2003-Noviembre,90.88
2003-Diciembre,89.70
2004-Enero,89.68
2004-Febrero,89.44
2004-Marzo,89.33
2004-Abril,88.54
2004-Mayo,87.66
2004-Junio,87.07
2004-Julio,86.04
2004-Agosto,85.99
2004-Setiembre,85.40
2004-Octubre,84.27
2004-Noviembre,82.85
2004-Diciembre,82.14
2005-Enero,81.06
2005-Febrero,80.46
2005-Marzo,79.64
2005-Abril,79.57
2005-Mayo,78.96
2005-Junio,78.72
2005-Julio,78.10
2005-Agosto,78.20
2005-Setiembre,78.84
2005-Octubre,78.18
2005-Noviembre,76.86
2005-Diciembre,76.59
2006-Enero,76.58
2006-Febrero,76.62
2006-Marzo,76.79
2006-Abril,76.55
2006-Mayo,76.36
2006-Junio,76.32
2006-Julio,75.93
2006-Agosto,75.83
2006-Setiembre,75.98
2006-Octubre,75.66
2006-Noviembre,75.06
2006-Diciembre,74.17
2007-Enero,74.14
2007-Febrero,74.45
2007-Marzo,74.46
2007-Abril,74.46
2007-Mayo,74.93
2007-Junio,75.09
2007-Julio,74.54
2007-Agosto,73.57
2007-Setiembre,73.63
2007-Octubre,73.73
2007-Noviembre,72.03
2007-Diciembre,71.17
2008-Enero,71.57
2008-Febrero,71.46
2008-Marzo,70.46
2008-Abril,69.00
2008-Mayo,67.63
2008-Junio,67.74
2008-Julio,66.81
2008-Agosto,65.90
2008-Setiembre,66.39
2008-Octubre,65.94
2008-Noviembre,65.60
2008-Diciembre,65.75
2009-Enero,67.66
2009-Febrero,69.16
2009-Marzo,70.66
2009-Abril,70.92
2009-Mayo,71.11
2009-Junio,72.02
2009-Julio,72.08
2009-Agosto,72.94
2009-Setiembre,73.01
2009-Octubre,73.51
2009-Noviembre,73.14
2009-Diciembre,73.23
2010-Enero,72.92
2010-Febrero,70.70
2010-Marzo,69.10
2010-Abril,69.14
2010-Mayo,69.22
2010-Junio,68.89
2010-Julio,68.61
2010-Agosto,68.73
2010-Setiembre,69.14
2010-Octubre,68.68
2010-Noviembre,67.73
2010-Diciembre,67.52
2011-Enero,67.13
2011-Febrero,65.72
2011-Marzo,64.89
2011-Abril,64.15
2011-Mayo,64.53
2011-Junio,65.08
2011-Julio,64.36
2011-Agosto,64.73
2011-Setiembre,65.08
2011-Octubre,64.89
2011-Noviembre,64.46
2011-Diciembre,64.03
2012-Enero,64.34
2012-Febrero,64.10
2012-Marzo,63.88
2012-Abril,64.04
2012-Mayo,64.17
2012-Junio,64.54
2012-Julio,64.00
2012-Agosto,64.57
2012-Setiembre,65.26
2012-Octubre,64.39
2012-Noviembre,64.08
2012-Diciembre,63.71
2013-Enero,63.52
2013-Febrero,63.09
2013-Marzo,62.81
2013-Abril,62.53
2013-Mayo,62.42
2013-Junio,62.41
2013-Julio,62.29
