"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Tipos de cambio",,,,,,
"Índice tipo de cambio efectivo real",,,,,,
"Unidad de medida: Niveles del índice y variaciones en porcentajes",,,,,,
Fechas,Guatemala,,,
,"ITCER con USA, variación interanual","ITCER global, variación interanual","ITCER con la región CAPARD, variación interanual","ITCER con el resto del mundo, variación interanual"
2000-Enero,--,--,--,--
2000-Febrero,--,--,--,--
2000-Marzo,--,--,--,--
2000-Abril,--,--,--,--
2000-Mayo,--,--,--,--
2000-Junio,--,--,--,--
2000-Julio,--,--,--,--
2000-Agosto,--,--,--,--
2000-Setiembre,--,--,--,--
2000-Octubre,--,--,--,--
2000-Noviembre,--,--,--,--
2000-Diciembre,--,--,--,--
2001-Enero,-3.18,-5.22,-2.73,-5.70
2001-Febrero,-2.98,-4.88,-2.78,-5.29
2001-Marzo,-2.68,-4.69,-1.71,-5.29
2001-Abril,-1.12,-2.95,-0.07,-3.53
2001-Mayo,-1.47,-2.61,-0.73,-3.01
2001-Junio,-2.05,-3.58,-1.83,-3.95
2001-Julio,-3.38,-5.12,-2.87,-5.60
2001-Agosto,-4.37,-5.36,-3.84,-5.68
2001-Setiembre,-3.99,-4.87,-3.40,-5.18
2001-Octubre,-3.26,-3.65,-3.02,-3.78
2001-Noviembre,-3.22,-3.39,-2.55,-3.59
2001-Diciembre,-4.06,-4.41,-4.06,-4.50
2002-Enero,-4.55,-4.86,-4.33,-5.11
2002-Febrero,-4.81,-5.12,-4.66,-5.34
2002-Marzo,-4.48,-4.44,-4.75,-4.43
2002-Abril,-6.04,-6.07,-6.68,-5.95
2002-Mayo,-6.26,-6.13,-6.81,-5.97
2002-Junio,-6.20,-5.72,-6.33,-5.58
2002-Julio,-6.35,-5.56,-6.53,-5.32
2002-Agosto,-6.46,-6.60,-7.23,-6.45
2002-Setiembre,-7.27,-7.76,-8.16,-7.69
2002-Octubre,-8.80,-9.39,-9.37,-9.42
2002-Noviembre,-9.52,-9.92,-10.71,-9.71
2002-Diciembre,-7.47,-7.71,-8.21,-7.56
2003-Enero,-6.05,-5.81,-7.12,-5.34
2003-Febrero,-4.25,-4.24,-5.54,-3.77
2003-Marzo,-2.72,-3.04,-4.65,-2.48
2003-Abril,-2.28,-1.92,-3.64,-1.33
2003-Mayo,-2.93,-1.67,-4.27,-0.79
2003-Junio,-2.74,-1.82,-4.43,-0.93
2003-Julio,-1.64,-1.34,-4.09,-0.41
2003-Agosto,-0.78,-0.64,-3.00,0.17
2003-Setiembre,-0.69,0.34,-2.79,1.42
2003-Octubre,0.97,2.59,-0.94,3.81
2003-Noviembre,2.05,3.54,0.54,4.56
2003-Diciembre,1.04,2.70,-0.37,3.75
2004-Enero,-0.16,1.45,-2.27,2.51
2004-Febrero,-0.88,1.06,-2.54,2.08
