"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Agregados monetarios y depósitos",,,,,,
"Agregados monetarios",,,,,,
"Unidad de medida: Millones de moneda nacional.",,,,,,
Fechas,Guatemala,
,"Agregado monetario M2","Agregado monetario M1"
2001-Diciembre,45582.00,21093.00
2002-Enero,45095.00,20744.00
2002-Febrero,44982.00,20666.00
2002-Marzo,45482.00,20982.00
2002-Abril,45558.00,20765.00
2002-Mayo,44863.00,20407.00
2002-Junio,45034.00,20406.00
2002-Julio,45843.00,20883.00
2002-Agosto,45807.00,20507.00
2002-Setiembre,45463.00,20155.00
2002-Octubre,45530.00,20399.00
2002-Noviembre,45991.00,20870.00
2002-Diciembre,47977.00,22413.00
2003-Enero,48300.00,22739.00
2003-Febrero,47955.00,22315.00
2003-Marzo,48370.00,22334.00
2003-Abril,48740.00,22767.00
2003-Mayo,48690.00,22632.00
2003-Junio,49433.00,23013.00
2003-Julio,50326.00,23755.00
2003-Agosto,50769.00,23883.00
2003-Setiembre,51079.00,23976.00
2003-Octubre,52214.00,24834.00
2003-Noviembre,52402.00,24774.00
2003-Diciembre,54072.00,26770.00
2004-Enero,53545.00,26185.00
2004-Febrero,53077.00,25806.00
2004-Marzo,53215.00,25529.00
2004-Abril,53065.00,25430.00
2004-Mayo,53191.00,25339.00
2004-Junio,53511.00,25315.00
2004-Julio,54508.00,25828.00
2004-Agosto,54675.00,25883.00
2004-Setiembre,55306.00,26092.00
2004-Octubre,55495.00,26229.00
2004-Noviembre,56224.00,26901.00
2004-Diciembre,58479.00,28818.00
2005-Enero,58356.00,28519.00
2005-Febrero,58246.00,28151.00
2005-Marzo,59801.00,29267.00
2005-Abril,60115.00,29228.00
2005-Mayo,60271.00,29189.00
2005-Junio,60511.00,29367.00
2005-Julio,62139.00,30358.00
2005-Agosto,62426.00,29914.00
2005-Setiembre,63017.00,30179.00
2005-Octubre,63915.00,30913.00
2005-Noviembre,64959.00,31861.00
2005-Diciembre,69149.00,33644.00
2006-Enero,69306.00,33575.00
2006-Febrero,69801.00,33652.00
2006-Marzo,71151.00,34207.00
2006-Abril,71415.00,33969.00
2006-Mayo,72625.00,34563.00
2006-Junio,73972.00,35100.00
2006-Julio,75084.00,35679.00
2006-Agosto,75486.00,35403.00
2006-Setiembre,76530.00,35817.00
2006-Octubre,76340.00,35793.00
2006-Noviembre,77719.00,37403.00
2006-Diciembre,80945.00,40016.00
2007-Enero,80042.00,40388.00
2007-Febrero,80197.00,40750.00
2007-Marzo,80862.00,41320.00
2007-Abril,80297.00,40429.00
2007-Mayo,81238.00,41029.00
2007-Junio,81823.00,41044.00
2007-Julio,82931.00,41691.00
2007-Agosto,83299.00,41557.00
2007-Setiembre,84836.00,42266.00
2007-Octubre,84811.00,41885.00
2007-Noviembre,85637.00,42532.00
2007-Diciembre,88617.00,44912.00
2008-Enero,88320.00,44328.00
2008-Febrero,88119.00,43513.00
2008-Marzo,88249.00,43532.00
2008-Abril,87137.00,42292.00
2008-Mayo,87304.00,41924.00
2008-Junio,87527.00,41968.00
2008-Julio,88249.00,42060.00
2008-Agosto,87792.00,41406.00
2008-Setiembre,88760.00,41741.00
2008-Octubre,89284.00,42064.00
2008-Noviembre,91601.00,44235.00
2008-Diciembre,95135.00,47506.00
2009-Enero,94883.00,47060.00
2009-Febrero,94629.00,46049.00
2009-Marzo,95442.00,45976.00
2009-Abril,95326.00,45359.00
2009-Mayo,96756.00,45986.00
2009-Junio,97414.00,46051.00
2009-Julio,97701.00,46086.00
2009-Agosto,97485.00,45236.00
2009-Setiembre,97110.00,45045.00
2009-Octubre,97772.00,45635.00
2009-Noviembre,99801.00,47310.00
2009-Diciembre,103050.00,50029.00
2010-Enero,103143.00,50068.00
2010-Febrero,102173.00,48774.00
2010-Marzo,103472.00,49667.00
2010-Abril,102719.00,48370.00
2010-Mayo,103466.00,48626.00
2010-Junio,104006.00,48480.00
2010-Julio,105155.00,48977.00
2010-Agosto,105910.00,48840.00
2010-Setiembre,106129.00,48820.00
2010-Octubre,107077.00,49538.00
2010-Noviembre,108737.00,50941.00
2010-Diciembre,113524.00,54557.00
2011-Enero,112962.00,53539.00
2011-Febrero,112915.00,53267.00
2011-Marzo,114315.00,53649.00
2011-Abril,115350.00,54277.00
2011-Mayo,114697.00,53121.00
2011-Junio,116611.00,54043.00
2011-Julio,117224.00,54185.00
2011-Agosto,117468.00,53536.00
2011-Setiembre,117189.00,52949.00
2011-Octubre,118062.00,53649.00
2011-Noviembre,119644.00,54818.00
2011-Diciembre,124062.00,58610.00
2012-Enero,123391.00,57519.00
2012-Febrero,124937.00,57656.00
2012-Marzo,125544.00,57539.00
2012-Abril,125082.00,56646.00
2012-Mayo,124439.00,55452.00
2012-Junio,126196.00,56229.00
2012-Julio,126804.00,55858.00
2012-Agosto,128238.00,56271.00
2012-Setiembre,128683.00,56036.00
2012-Octubre,129347.00,56433.00
2012-Noviembre,131779.00,58488.00
2012-Diciembre,136673.00,62962.00
2013-Enero,134928.00,60519.00
2013-Febrero,135983.00,60765.00
2013-Marzo,138154.00,62296.00
2013-Abril,137459.00,60793.00
2013-Mayo,138313.00,60675.00
2013-Junio,139108.00,60781.00
2013-Julio,140057.00,60590.00
2013-Agosto,141179.00,61221.00
2013-Setiembre,141949.00,60557.00
2013-Octubre,142069.00,60333.00
2013-Noviembre,142985.00,61051.00
2013-Diciembre,148078.00,65258.00
2014-Enero,146351.00,63240.00
2014-Febrero,146437.00,62948.00
2014-Marzo,147417.00,63268.00
2014-Abril,148845.00,63909.00
2014-Mayo,149288.00,63795.00
2014-Junio,150383.00,64062.00
2014-Julio,151949.00,64423.00
2014-Agosto,153036.00,64361.00
2014-Setiembre,153439.00,63880.00
2014-Octubre,153414.00,63876.00
2014-Noviembre,155101.00,65388.00
2014-Diciembre,160799.00,69801.00
2015-Enero,161468.00,69385.00
2015-Febrero,162619.00,69938.00
2015-Marzo,165467.00,71208.00
2015-Abril,166373.00,71408.00
2015-Mayo,168026.00,73155.00
2015-Junio,168585.00,72543.00
2015-Julio,170350.00,73011.00
2015-Agosto,170195.00,72016.00
2015-Setiembre,170351.00,71185.00
2015-Octubre,171554.00,71580.00
2015-Noviembre,172695.00,72818.00
2015-Diciembre,177961.00,76929.00
2016-Enero,176701.00,75264.00
2016-Febrero,178053.00,75933.00
2016-Marzo,179087.00,76055.00
2016-Abril,180308.00,76501.00
2016-Mayo,179921.00,75614.00
2016-Junio,181663.00,76033.00
2016-Julio,182663.00,76235.00
2016-Agosto,182624.00,75239.00
2016-Setiembre,183293.00,75434.00
