"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Agregados monetarios y depósitos",,,,,,
"Base monetaria",,,,,,
"Unidad de medida: Millones de moneda nacional.",,,,,,
Fechas,Guatemala,
,"Base monetaria amplia","Base monetaria restringida"
2001-Diciembre,20111.00,13953.00
2002-Enero,21513.00,13771.00
2002-Febrero,21131.00,13179.00
2002-Marzo,21885.00,14023.00
2002-Abril,21873.00,13902.00
2002-Mayo,21081.00,13590.00
2002-Junio,20968.00,13168.00
2002-Julio,22209.00,13660.00
2002-Agosto,21983.00,13738.00
2002-Setiembre,21665.00,12813.00
2002-Octubre,22686.00,13456.00
2002-Noviembre,22954.00,15181.00
2002-Diciembre,24627.00,16280.00
2003-Enero,23516.00,14269.00
2003-Febrero,23783.00,15661.00
2003-Marzo,23620.00,14694.00
2003-Abril,24130.00,16112.00
2003-Mayo,23588.00,14891.00
2003-Junio,23460.00,14870.00
2003-Julio,24842.00,15758.00
2003-Agosto,24078.00,15167.00
2003-Setiembre,23509.00,14491.00
2003-Octubre,24386.00,16063.00
2003-Noviembre,23710.00,15711.00
2003-Diciembre,24544.00,17038.00
2004-Enero,24012.00,15991.00
2004-Febrero,23316.00,16173.00
2004-Marzo,23095.00,16658.00
2004-Abril,23523.00,16530.00
2004-Mayo,23137.00,16225.00
2004-Junio,23705.00,16126.00
2004-Julio,25832.00,15865.00
2004-Agosto,25308.00,16762.00
2004-Setiembre,25188.00,16608.00
2004-Octubre,25525.00,16933.00
2004-Noviembre,26231.00,16708.00
2004-Diciembre,27027.00,19074.00
2005-Enero,26558.00,17135.00
2005-Febrero,25842.00,18069.00
2005-Marzo,26404.00,18437.00
2005-Abril,25806.00,18430.00
2005-Mayo,25385.00,18462.00
2005-Junio,24538.00,18232.00
2005-Julio,25142.00,18930.00
2005-Agosto,24389.00,18256.00
2005-Setiembre,24847.00,18529.00
2005-Octubre,24594.00,19466.00
2005-Noviembre,24565.00,19088.00
2005-Diciembre,27186.00,21142.00
2006-Enero,28442.00,20494.00
2006-Febrero,28083.00,20655.00
2006-Marzo,28077.00,21310.00
2006-Abril,27246.00,21450.00
2006-Mayo,27527.00,21302.00
2006-Junio,27411.00,21924.00
2006-Julio,27744.00,21625.00
2006-Agosto,26985.00,22605.00
2006-Setiembre,28018.00,22235.00
2006-Octubre,29298.00,24469.00
2006-Noviembre,29659.00,22866.00
2006-Diciembre,31332.00,25538.00
2007-Enero,31258.00,24287.00
2007-Febrero,30639.00,25142.00
2007-Marzo,31486.00,26084.00
2007-Abril,30529.00,24927.00
2007-Mayo,30617.00,25359.00
2007-Junio,30761.00,26172.00
2007-Julio,31698.00,26034.00
2007-Agosto,31014.00,26597.00
2007-Setiembre,31417.00,26223.00
2007-Octubre,30315.00,26542.00
2007-Noviembre,30508.00,26707.00
2007-Diciembre,31552.00,28438.00
2008-Enero,31507.00,27589.00
2008-Febrero,30544.00,27483.00
2008-Marzo,30926.00,27171.00
2008-Abril,30171.00,26476.00
2008-Mayo,30860.00,26916.00
2008-Junio,30902.00,26600.00
2008-Julio,32275.00,26613.00
2008-Agosto,31987.00,26699.00
2008-Setiembre,32975.00,26813.00
2008-Octubre,33308.00,26909.00
2008-Noviembre,34942.00,27477.00
2008-Diciembre,37736.00,28640.00
2009-Enero,38609.00,27460.00
2009-Febrero,37501.00,27501.00
2009-Marzo,38468.00,27914.00
