"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Deuda pública",,,,,,
"Deuda pública mensual interna y externa y su relación con el PIB",,,,,,
"Unidad de medida: Millones de US dólares.  Relación respecto al PIB, en porcentajes.",,,,,,
Fechas,Guatemala,,,,,
,"Deuda total","Deuda interna bruta - ME","Deuda externa","Deuda total / PIB","Deuda interna bruta / PIB","Deuda externa / PIB"
1990-Enero,--,--,1397.00,--,--,--
1990-Febrero,--,--,1395.10,--,--,--
1990-Marzo,--,--,1395.90,--,--,--
1990-Abril,--,--,1406.50,--,--,--
1990-Mayo,--,--,1407.90,--,--,--
1990-Junio,--,--,1421.60,--,--,--
1990-Julio,--,--,1428.50,--,--,--
1990-Agosto,--,--,1426.30,--,--,--
1990-Setiembre,--,--,1448.00,--,--,--
1990-Octubre,--,--,1461.30,--,--,--
1990-Noviembre,--,--,1458.30,--,--,--
1990-Diciembre,--,994.74,1571.90,--,--,--
1991-Enero,2593.93,1016.83,1577.10,--,--,--
1991-Febrero,2632.78,1059.88,1572.90,--,--,--
1991-Marzo,2713.77,1145.27,1568.50,--,--,--
1991-Abril,2820.93,1256.83,1564.10,--,--,--
1991-Mayo,2806.99,1241.59,1565.40,--,--,--
1991-Junio,2789.53,1221.53,1568.00,--,--,--
1991-Julio,2797.71,1225.51,1572.20,--,--,--
1991-Agosto,2789.16,1215.86,1573.30,--,--,--
1991-Setiembre,2851.98,1276.28,1575.70,--,--,--
1991-Octubre,2910.89,1321.99,1588.90,--,--,--
1991-Noviembre,2940.87,1345.97,1594.90,--,--,--
1991-Diciembre,3056.15,1459.75,1596.40,--,--,--
1992-Enero,2835.58,1397.68,1437.90,--,--,--
1992-Febrero,2896.69,1461.69,1435.00,--,--,--
1992-Marzo,2915.62,1485.42,1430.20,--,--,--
1992-Abril,2950.62,1508.32,1442.30,--,--,--
1992-Mayo,2925.43,1488.53,1436.90,--,--,--
1992-Junio,2802.65,1373.95,1428.70,--,--,--
1992-Julio,2765.76,1338.36,1427.40,--,--,--
1992-Agosto,2718.65,1284.45,1434.20,--,--,--
1992-Setiembre,2654.68,1222.88,1431.80,--,--,--
1992-Octubre,2668.19,1247.49,1420.70,--,--,--
1992-Noviembre,2530.11,1167.21,1362.90,--,--,--
1992-Diciembre,3557.80,1306.20,2251.60,--,--,--
1993-Enero,3385.13,1168.93,2216.20,--,--,--
1993-Febrero,3383.36,1172.36,2211.00,--,--,--
1993-Marzo,3420.22,1223.92,2196.30,--,--,--
1993-Abril,3426.96,1232.56,2194.40,--,--,--
1993-Mayo,3343.16,1161.46,2181.70,--,--,--
1993-Junio,3284.20,1102.80,2181.40,--,--,--
1993-Julio,3314.38,1148.98,2165.40,--,--,--
1993-Agosto,3350.17,1207.67,2142.50,--,--,--
1993-Setiembre,3344.55,1223.05,2121.50,--,--,--
1993-Octubre,3411.50,1306.20,2105.30,--,--,--
1993-Noviembre,3320.32,1301.62,2018.70,--,--,--
1993-Diciembre,3397.32,1311.42,2085.90,--,--,--
1994-Enero,3380.52,1287.42,2093.10,--,--,--
1994-Febrero,3408.88,1327.38,2081.50,--,--,--
1994-Marzo,3485.27,1343.97,2141.30,--,--,--
1994-Abril,3435.23,1393.43,2041.80,--,--,--
1994-Mayo,3517.18,1409.68,2107.50,--,--,--
1994-Junio,3570.14,1446.74,2123.40,--,--,--
1994-Julio,3586.90,1459.80,2127.10,--,--,--
1994-Agosto,3574.24,1450.44,2123.80,--,--,--
1994-Setiembre,3555.65,1435.75,2119.90,--,--,--
1994-Octubre,3595.33,1470.13,2125.20,--,--,--
1994-Noviembre,3633.10,1511.40,2121.70,--,--,--
1994-Diciembre,3552.54,1392.14,2160.40,--,--,--
1995-Enero,3461.10,1313.60,2147.50,--,--,--
1995-Febrero,3438.43,1296.13,2142.30,--,--,--
1995-Marzo,3536.07,1324.57,2211.50,--,--,--
1995-Abril,3493.98,1273.98,2220.00,--,--,--
1995-Mayo,3469.34,1258.54,2210.80,--,--,--
1995-Junio,3476.00,1240.60,2235.40,--,--,--
1995-Julio,3563.58,1360.28,2203.30,--,--,--
1995-Agosto,3580.72,1438.82,2141.90,--,--,--
1995-Setiembre,3599.47,1445.07,2154.40,--,--,--
1995-Octubre,3481.42,1339.82,2141.60,--,--,--
1995-Noviembre,3474.14,1344.74,2129.40,--,--,--
1995-Diciembre,3410.32,1303.22,2107.10,--,--,--
1996-Enero,3478.84,1337.44,2141.40,--,--,--
1996-Febrero,3442.15,1304.65,2137.50,--,--,--
1996-Marzo,3417.67,1294.87,2122.80,--,--,--
1996-Abril,3545.30,1409.20,2136.10,--,--,--
1996-Mayo,3504.05,1381.75,2122.30,--,--,--
1996-Junio,3595.29,1479.79,2115.50,--,--,--
1996-Julio,3649.44,1554.94,2094.50,--,--,--
1996-Agosto,3789.85,1699.35,2090.50,--,--,--
1996-Setiembre,3798.69,1719.59,2079.10,--,--,--
1996-Octubre,3814.81,1736.41,2078.40,--,--,--
1996-Noviembre,3778.25,1702.45,2075.80,--,--,--
1996-Diciembre,3673.80,1598.90,2074.90,--,--,--
1997-Enero,3647.57,1627.37,2020.20,--,--,--
1997-Febrero,3673.66,1667.56,2006.10,--,--,--
1997-Marzo,3679.74,1680.84,1998.90,--,--,--
1997-Abril,3736.96,1739.26,1997.70,--,--,--
1997-Mayo,3769.21,1754.21,2015.00,--,--,--
1997-Junio,3752.08,1740.58,2011.50,--,--,--
1997-Julio,3552.94,1599.04,1953.90,--,--,--
1997-Agosto,3744.14,1641.14,2103.00,--,--,--
1997-Setiembre,3704.09,1595.49,2108.60,--,--,--
1997-Octubre,3636.99,1523.39,2113.60,--,--,--
1997-Noviembre,3536.84,1428.04,2108.80,--,--,--
1997-Diciembre,3584.00,1448.90,2135.10,--,--,--
1998-Enero,3656.25,1534.85,2121.40,--,--,--
1998-Febrero,3606.55,1460.95,2145.60,--,--,--
1998-Marzo,3689.50,1544.80,2144.70,--,--,--
1998-Abril,3780.37,1585.27,2195.10,--,--,--
1998-Mayo,3714.58,1518.48,2196.10,--,--,--
1998-Junio,3796.76,1578.56,2218.20,--,--,--
1998-Julio,3727.94,1517.24,2210.70,--,--,--
1998-Agosto,3737.32,1513.22,2224.10,--,--,--
1998-Setiembre,3741.93,1482.63,2259.30,--,--,--
1998-Octubre,3684.08,1379.78,2304.30,--,--,--
1998-Noviembre,3590.15,1281.15,2309.00,--,--,--
1998-Diciembre,3650.50,1282.60,2367.90,--,--,--
1999-Enero,3578.38,1228.18,2350.20,--,--,--
1999-Febrero,3618.48,1237.38,2381.10,--,--,--
1999-Marzo,3580.79,1188.09,2392.70,--,--,--
1999-Abril,3620.16,1214.76,2405.40,--,--,--
1999-Mayo,3656.47,1236.87,2419.60,--,--,--
1999-Junio,3657.09,1212.69,2444.40,--,--,--
1999-Julio,3907.74,1407.94,2499.80,--,--,--
1999-Agosto,3843.73,1295.13,2548.60,--,--,--
1999-Setiembre,3905.08,1336.28,2568.80,--,--,--
1999-Octubre,3947.01,1357.81,2589.20,--,--,--
1999-Noviembre,3967.07,1365.87,2601.20,--,--,--
1999-Diciembre,3982.23,1350.93,2631.30,--,--,--
2000-Enero,4036.15,1436.95,2599.20,--,--,--
2000-Febrero,4092.59,1507.79,2584.80,--,--,--
2000-Marzo,4331.25,1730.65,2600.60,--,--,--
2000-Abril,4464.90,1893.10,2571.80,--,--,--
2000-Mayo,4593.42,2011.12,2582.30,--,--,--
2000-Junio,4665.75,2071.05,2594.70,--,--,--
2000-Julio,4738.87,2166.77,2572.10,--,--,--
2000-Agosto,4797.58,2210.58,2587.00,--,--,--
2000-Setiembre,4851.42,2257.22,2594.20,--,--,--
2000-Octubre,4836.10,2265.00,2571.10,--,--,--
2000-Noviembre,4808.30,2237.00,2571.30,--,--,--
2000-Diciembre,4882.08,2238.38,2643.70,--,--,--
2001-Enero,5007.99,2371.99,2636.00,25.39,12.03,13.37
2001-Febrero,5070.93,2433.73,2637.20,25.71,12.34,13.37
2001-Marzo,5251.46,2629.86,2621.60,26.63,13.33,13.29
2001-Abril,5283.62,2666.72,2616.90,26.79,13.52,13.27
2001-Mayo,5296.29,2676.59,2619.70,26.85,13.57,13.28
2001-Junio,5386.52,2767.62,2618.90,27.31,14.03,13.28
2001-Julio,5500.69,2872.19,2628.50,27.89,14.56,13.33
2001-Agosto,5432.61,2798.31,2634.30,27.55,14.19,13.36
2001-Setiembre,5369.21,2713.31,2655.90,27.22,13.76,13.47
2001-Octubre,5174.07,2585.47,2588.60,26.23,13.11,13.13
2001-Noviembre,5588.57,2680.67,2907.90,28.34,13.59,14.74
2001-Diciembre,5476.80,2551.80,2925.00,27.77,12.94,14.83
2002-Enero,5513.31,2588.71,2924.60,25.15,11.81,13.34
2002-Febrero,5488.44,2568.14,2920.30,25.04,11.72,13.32
2002-Marzo,5497.88,2573.18,2924.70,25.08,11.74,13.34
2002-Abril,5530.23,2601.53,2928.70,25.23,11.87,13.36
2002-Mayo,5503.18,2574.98,2928.20,25.11,11.75,13.36
2002-Junio,5514.06,2574.35,2939.71,25.16,11.74,13.41
2002-Julio,5628.47,2679.37,2949.10,25.68,12.22,13.45
2002-Agosto,5593.27,2648.77,2944.50,25.52,12.08,13.43
2002-Setiembre,5804.29,2736.39,3067.90,26.48,12.48,14.00
2002-Octubre,5818.59,2770.89,3047.70,26.55,12.64,13.90
2002-Noviembre,5620.34,2572.64,3047.70,25.64,11.74,13.90
2002-Diciembre,5615.68,2496.58,3119.10,25.62,11.39,14.23
2003-Enero,6057.62,2909.82,3147.80,26.24,12.61,13.64
2003-Febrero,5830.49,2692.99,3137.50,25.26,11.67,13.59
2003-Marzo,5939.68,2804.48,3135.20,25.73,12.15,13.58
2003-Abril,5900.43,2761.63,3138.80,25.56,11.96,13.60
2003-Mayo,6004.53,2853.63,3150.90,26.01,12.36,13.65
2003-Junio,6172.56,3031.86,3140.70,26.74,13.14,13.61
2003-Julio,6271.39,3126.19,3145.20,27.17,13.54,13.63
2003-Agosto,6646.02,3189.22,3456.80,28.79,13.82,14.98
2003-Setiembre,6777.31,3316.51,3460.80,29.36,14.37,14.99
2003-Octubre,6594.70,3149.60,3445.10,28.57,13.65,14.93
2003-Noviembre,6649.05,3205.95,3443.10,28.81,13.89,14.92
2003-Diciembre,6652.35,3185.15,3467.20,28.82,13.80,15.02
2004-Enero,6794.05,3338.15,3455.90,27.19,13.36,13.83
2004-Febrero,6700.70,3262.30,3438.40,26.82,13.06,13.76
2004-Marzo,6752.76,3227.96,3524.80,27.03,12.92,14.11
2004-Abril,6789.82,3298.52,3491.30,27.17,13.20,13.97
2004-Mayo,6783.63,3290.43,3493.20,27.15,13.17,13.98
2004-Junio,6868.80,3381.70,3487.10,27.49,13.53,13.96
2004-Julio,7049.32,3570.62,3478.70,28.21,14.29,13.92
2004-Agosto,7051.83,3551.53,3500.30,28.22,14.21,14.01
2004-Setiembre,7072.24,3587.84,3484.40,28.30,14.36,13.95
2004-Octubre,7479.98,3671.38,3808.60,29.94,14.69,15.24
2004-Noviembre,7668.30,3854.10,3814.20,30.69,15.42,15.27
2004-Diciembre,7552.57,3708.67,3843.90,30.23,14.84,15.38
2005-Enero,7792.55,3967.95,3824.60,27.65,14.08,13.57
2005-Febrero,7727.94,3912.74,3815.20,27.42,13.88,13.53
2005-Marzo,7941.00,4152.40,3788.60,28.17,14.73,13.44
2005-Abril,7991.85,4213.65,3778.20,28.35,14.95,13.40
2005-Mayo,7959.04,4182.64,3776.40,28.24,14.84,13.40
2005-Junio,7920.04,4154.14,3765.90,28.10,14.74,13.36
2005-Julio,7997.13,4237.93,3759.20,28.37,15.03,13.34
2005-Agosto,8164.16,4405.76,3758.40,28.96,15.63,13.33
