"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
"Tasas de interés y encaje",,,,,,
"Tasas de interés en moneda nacional",,,,,,
"Unidad de medida: Porcentajes",,,,,,
Fechas,Guatemala,,,
,"Tasa de interés activa nominal en MN","Tasa de interés pasiva nominal en MN","Tasa de interés activa real en MN","Tasa de interés pasiva real en MN"
1990-Enero,16.00,--,--,--
1990-Febrero,15.60,--,--,--
1990-Marzo,20.00,--,--,--
1990-Abril,20.10,--,--,--
1990-Mayo,20.20,--,--,--
1990-Junio,20.10,--,--,--
1990-Julio,20.40,--,--,--
1990-Agosto,20.70,--,--,--
1990-Setiembre,21.80,--,--,--
1990-Octubre,22.00,--,--,--
1990-Noviembre,22.30,--,--,--
1990-Diciembre,22.60,--,--,--
1991-Enero,23.10,--,-23.38,--
1991-Febrero,23.60,--,-21.51,--
1991-Marzo,24.10,--,-18.95,--
1991-Abril,24.30,--,-16.83,--
1991-Mayo,24.40,--,-12.71,--
1991-Junio,24.40,--,-10.29,--
1991-Julio,24.40,--,-7.34,--
1991-Agosto,24.40,--,-7.85,--
1991-Setiembre,24.40,--,-1.52,--
1991-Octubre,24.30,--,2.30,--
1991-Noviembre,22.80,--,4.38,--
1991-Diciembre,22.10,--,10.97,--
1992-Enero,21.10,--,13.56,--
1992-Febrero,19.90,--,10.87,--
1992-Marzo,18.90,--,8.05,--
1992-Abril,18.40,--,8.22,--
1992-Mayo,18.20,--,8.40,--
1992-Junio,18.60,--,8.87,--
1992-Julio,18.80,--,7.58,--
1992-Agosto,19.20,--,8.69,--
1992-Setiembre,19.60,--,7.56,--
1992-Octubre,20.10,--,7.64,--
1992-Noviembre,20.50,--,6.45,--
1992-Diciembre,21.20,--,6.11,--
1993-Enero,21.50,--,6.33,--
1993-Febrero,23.40,--,8.88,--
1993-Marzo,24.30,--,10.95,--
1993-Abril,24.80,--,10.72,--
1993-Mayo,24.50,--,10.63,--
1993-Junio,24.90,--,9.19,--
1993-Julio,25.30,--,8.70,--
1993-Agosto,25.40,--,9.38,--
1993-Setiembre,25.40,--,10.60,--
1993-Octubre,25.50,--,10.56,--
1993-Noviembre,25.60,--,11.40,--
1993-Diciembre,25.70,--,12.60,--
1994-Enero,26.00,--,11.03,--
1994-Febrero,25.60,--,9.86,--
1994-Marzo,24.50,--,9.07,--
1994-Abril,24.30,--,9.12,--
1994-Mayo,24.30,--,8.90,--
1994-Junio,23.85,--,10.79,--
1994-Julio,22.98,--,12.11,--
1994-Agosto,21.09,--,9.35,--
1994-Setiembre,19.70,--,6.90,--
1994-Octubre,19.70,--,6.58,--
1994-Noviembre,19.60,--,6.37,--
1994-Diciembre,20.20,--,7.71,--
1995-Enero,20.00,--,9.77,--
1995-Febrero,20.00,--,11.18,--
1995-Marzo,20.20,--,11.46,--
1995-Abril,20.50,--,12.20,--
1995-Mayo,21.27,--,12.16,--
1995-Junio,21.40,--,11.22,--
1995-Julio,21.40,--,11.49,--
1995-Agosto,21.40,--,12.15,--
1995-Setiembre,21.40,--,12.27,--
1995-Octubre,21.70,--,11.96,--
1995-Noviembre,21.90,--,12.27,--
1995-Diciembre,22.20,--,12.51,--
1996-Enero,22.20,10.30,11.33,0.49
1996-Febrero,22.60,10.80,10.62,-0.03
1996-Marzo,22.40,11.00,9.80,-0.43
1996-Abril,22.70,11.10,9.61,-0.76
1996-Mayo,22.90,11.10,10.71,0.08
1996-Junio,23.00,11.90,11.48,1.42
1996-Julio,22.90,11.40,10.13,-0.18
1996-Agosto,22.80,11.60,9.62,-0.38
1996-Setiembre,22.70,11.60,9.78,-0.15
1996-Octubre,22.70,11.40,10.90,0.69
1996-Noviembre,22.60,11.20,11.01,0.69
1996-Diciembre,22.40,11.00,10.42,0.13
1997-Enero,21.98,10.25,10.09,-0.50
1997-Febrero,21.21,9.86,7.59,-2.49
1997-Marzo,20.81,8.92,8.34,-2.32
1997-Abril,19.97,7.84,8.93,-2.08
1997-Mayo,19.35,7.77,8.88,-1.68
1997-Junio,18.96,7.75,9.17,-1.12
1997-Julio,18.59,7.23,9.82,-0.70
1997-Agosto,17.40,6.76,8.66,-1.19
1997-Setiembre,16.78,6.42,7.80,-1.76
1997-Octubre,16.52,6.38,7.41,-1.94
1997-Noviembre,16.37,6.27,8.09,-1.29
1997-Diciembre,16.40,6.35,8.66,-0.72
1998-Enero,16.16,6.11,8.27,-1.10
1998-Febrero,16.20,6.31,10.20,0.82
1998-Marzo,16.37,6.22,9.67,0.11
1998-Abril,16.14,6.05,8.60,-0.83
1998-Mayo,16.21,6.16,8.28,-1.08
1998-Junio,16.24,6.16,8.20,-1.18
1998-Julio,16.14,6.15,8.27,-1.05
1998-Agosto,16.06,6.19,9.17,-0.11
1998-Setiembre,16.53,6.40,10.46,0.86
1998-Octubre,16.93,6.79,11.40,1.74
1998-Noviembre,17.55,7.20,9.50,-0.14
1998-Diciembre,18.09,7.16,9.87,-0.30
1999-Enero,18.10,7.87,11.11,1.49
1999-Febrero,19.00,8.48,13.15,3.15
1999-Marzo,19.20,8.55,14.62,4.38
1999-Abril,18.86,8.51,14.87,4.87
1999-Mayo,19.02,8.57,14.74,4.67
1999-Junio,18.93,8.70,14.11,4.30
1999-Julio,19.31,8.97,13.39,3.57
1999-Agosto,19.50,9.23,12.70,3.01
1999-Setiembre,20.33,10.37,12.68,3.35
1999-Octubre,20.50,10.75,12.02,2.95
1999-Noviembre,20.52,10.62,14.62,5.20
1999-Diciembre,20.62,11.28,14.97,6.07
2000-Enero,21.20,11.51,15.13,5.93
2000-Febrero,21.35,11.65,13.81,4.72
2000-Marzo,21.28,11.58,12.01,3.05
2000-Abril,21.43,11.66,11.34,2.38
2000-Mayo,21.41,11.61,13.08,3.95
2000-Junio,20.92,11.45,12.77,3.93
2000-Julio,21.21,11.36,14.20,4.92
2000-Agosto,20.43,11.15,15.01,6.15
2000-Setiembre,20.53,11.09,15.57,6.52
2000-Octubre,20.53,11.23,16.07,7.12
2000-Noviembre,20.23,11.04,15.41,6.59
2000-Diciembre,20.05,10.98,14.24,5.61
2001-Enero,19.92,10.82,13.08,4.50
2001-Febrero,19.88,10.82,13.10,4.55
2001-Marzo,19.58,10.58,13.43,4.90
2001-Abril,19.43,10.44,13.88,5.31
2001-Mayo,19.23,10.12,12.43,3.84
2001-Junio,19.03,9.81,11.98,3.31
2001-Julio,19.21,9.44,11.44,2.30
2001-Agosto,18.88,9.06,9.27,0.24
2001-Setiembre,18.65,8.97,8.87,-0.01
2001-Octubre,18.34,8.84,8.10,-0.57
2001-Noviembre,18.11,8.58,7.85,-0.85
2001-Diciembre,17.90,8.46,8.25,-0.41
2002-Enero,17.70,8.40,8.13,-0.41
2002-Febrero,17.50,8.19,7.79,-0.75
2002-Marzo,17.22,8.01,7.42,-1.02
2002-Abril,17.21,7.86,7.28,-1.28
2002-Mayo,17.10,7.75,7.12,-1.43
2002-Junio,16.88,7.63,7.09,-1.38
2002-Julio,16.75,7.48,7.01,-1.48
2002-Agosto,16.55,7.31,8.19,-0.39
2002-Setiembre,16.49,7.20,8.77,0.09
2002-Octubre,16.55,7.13,9.33,0.49
2002-Noviembre,16.30,7.08,9.36,0.69
2002-Diciembre,16.20,6.91,9.29,0.55
2003-Enero,16.01,6.31,9.24,0.10
2003-Febrero,15.84,6.12,9.28,0.11
2003-Marzo,15.61,5.84,9.30,0.06
2003-Abril,15.48,5.58,9.28,-0.09
2003-Mayo,15.12,5.20,9.05,-0.35
2003-Junio,15.10,5.22,9.37,-0.02
2003-Julio,14.72,4.99,9.62,0.33
2003-Agosto,14.64,4.86,9.22,-0.10
2003-Setiembre,14.50,4.75,8.35,-0.88
2003-Octubre,14.39,4.65,8.08,-1.12
2003-Noviembre,14.24,4.60,7.94,-1.17
2003-Diciembre,14.11,4.52,7.80,-1.26
2004-Enero,14.00,4.48,7.33,-1.63
2004-Febrero,13.93,4.43,7.21,-1.73
2004-Marzo,13.91,4.39,6.89,-2.04
2004-Abril,13.97,4.41,6.86,-2.10
2004-Mayo,13.93,4.46,6.21,-2.62
2004-Junio,13.82,4.44,5.97,-2.76
2004-Julio,13.79,4.42,5.72,-2.99
2004-Agosto,13.83,4.47,5.74,-2.96
2004-Setiembre,13.76,4.47,5.29,-3.31
2004-Octubre,13.75,4.52,4.71,-3.79
2004-Noviembre,13.56,4.54,3.97,-4.29
2004-Diciembre,13.50,4.54,3.91,-4.29
2005-Enero,13.52,4.56,4.11,-4.11
2005-Febrero,13.52,4.58,4.11,-4.09
2005-Marzo,13.49,4.53,4.34,-3.89
2005-Abril,13.10,4.57,3.88,-3.96
2005-Mayo,13.04,4.59,4.16,-3.62
2005-Junio,13.02,4.62,3.88,-3.84
2005-Julio,12.90,4.58,3.29,-4.32
2005-Agosto,12.88,4.58,3.21,-4.38
2005-Setiembre,12.78,4.60,3.05,-4.43
2005-Octubre,12.72,4.58,2.20,-5.18
2005-Noviembre,12.78,4.64,3.23,-4.22
2005-Diciembre,12.70,4.62,3.81,-3.64
2006-Enero,12.72,4.62,4.29,-3.20
2006-Febrero,12.74,4.65,5.11,-2.44
2006-Marzo,12.76,4.65,5.11,-2.45
2006-Abril,12.74,4.69,4.89,-2.60
2006-Mayo,12.70,4.70,4.72,-2.71
2006-Junio,12.72,4.70,4.80,-2.65
2006-Julio,12.70,4.69,5.29,-2.19
2006-Agosto,12.69,4.70,5.32,-2.15
2006-Setiembre,12.70,4.72,6.62,-0.93
2006-Octubre,12.91,4.81,8.72,0.92
2006-Noviembre,12.88,4.84,8.12,0.42
2006-Diciembre,12.90,4.84,6.72,-0.90
2007-Enero,12.96,4.85,6.34,-1.29
2007-Febrero,12.98,4.92,5.96,-1.60
2007-Marzo,12.89,4.92,5.48,-1.97
2007-Abril,12.81,4.91,6.02,-1.40
2007-Mayo,12.76,4.91,6.92,-0.53
2007-Junio,12.77,4.92,7.08,-0.37
2007-Julio,12.77,4.90,6.80,-0.65
2007-Agosto,12.60,4.91,6.02,-1.22
2007-Setiembre,12.80,4.92,5.09,-2.25
2007-Octubre,12.84,4.91,4.76,-2.61
2007-Noviembre,12.89,4.94,3.45,-3.84
2007-Diciembre,12.89,4.91,3.81,-3.53
2008-Enero,12.74,4.94,4.01,-3.18
2008-Febrero,12.78,4.94,3.69,-3.51
2008-Marzo,13.09,4.97,3.66,-3.79
2008-Abril,13.23,4.99,2.59,-4.87
2008-Mayo,13.33,5.05,0.97,-6.41
2008-Junio,13.40,5.13,-0.14,-7.42
2008-Julio,13.48,5.22,-0.59,-7.83
2008-Agosto,13.57,5.28,-0.10,-7.39
2008-Setiembre,13.67,5.34,0.82,-6.57
2008-Octubre,13.76,5.42,0.74,-6.65
2008-Noviembre,13.79,5.45,2.66,-4.87
2008-Diciembre,13.84,5.47,4.06,-3.59
2009-Enero,13.91,5.50,5.59,-2.21
2009-Febrero,13.95,5.55,7.00,-0.89
2009-Marzo,13.83,5.60,8.41,0.57
2009-Abril,13.85,5.64,9.87,1.95
2009-Mayo,13.85,5.69,11.30,3.32
2009-Junio,13.82,5.73,13.12,5.08
2009-Julio,13.89,5.68,14.24,6.00
2009-Agosto,13.95,5.66,14.79,6.44
2009-Setiembre,13.98,5.66,13.94,5.63
2009-Octubre,13.93,5.66,14.68,6.36
2009-Noviembre,13.68,5.65,14.38,6.30
2009-Diciembre,13.57,5.61,13.89,5.91
2010-Enero,13.52,5.62,11.92,4.13
2010-Febrero,13.50,5.62,10.75,3.06
2010-Marzo,13.48,5.62,9.19,1.63
2010-Abril,13.42,5.58,9.32,1.76
2010-Mayo,13.36,5.53,9.52,1.95
2010-Junio,13.36,5.50,8.93,1.38
2010-Julio,13.29,5.44,8.81,1.27
2010-Agosto,13.27,5.42,8.81,1.27
2010-Setiembre,13.27,5.42,9.17,1.60
2010-Octubre,13.21,5.41,8.33,0.87
2010-Noviembre,13.21,5.40,7.55,0.13
2010-Diciembre,13.25,5.34,7.46,-0.05
2011-Enero,13.28,5.35,7.99,0.43
2011-Febrero,13.37,5.33,7.73,0.09
2011-Marzo,13.37,5.30,7.97,0.29
2011-Abril,13.44,5.27,7.26,-0.46
2011-Mayo,13.37,5.28,6.56,-1.05
2011-Junio,13.39,5.26,6.55,-1.09
2011-Julio,13.37,5.24,5.91,-1.68
2011-Agosto,13.45,5.25,5.41,-2.21
2011-Setiembre,13.51,5.24,5.84,-1.87
2011-Octubre,13.53,5.24,6.45,-1.32
2011-Noviembre,13.55,5.25,7.07,-0.76
2011-Diciembre,13.57,5.18,6.94,-0.96
2012-Enero,13.56,5.20,7.71,-0.22
2012-Febrero,13.49,5.20,7.91,0.03
2012-Marzo,13.39,5.21,8.46,0.64
2012-Abril,13.41,5.23,8.76,0.92
2012-Mayo,13.43,5.25,9.18,1.30
2012-Junio,13.46,5.20,9.65,1.67
2012-Julio,13.51,5.34,10.35,2.41
2012-Agosto,13.49,5.34,10.49,2.56
2012-Setiembre,13.52,5.38,9.91,2.03
2012-Octubre,13.59,5.40,9.91,1.99
2012-Noviembre,13.55,5.41,10.12,2.23
2012-Diciembre,13.47,5.38,9.69,1.87
2013-Enero,13.52,5.42,9.30,1.50
2013-Febrero,13.50,5.45,8.94,1.21
2013-Marzo,13.50,5.46,8.78,1.07
2013-Abril,13.53,5.45,9.03,1.27
2013-Mayo,13.59,5.44,8.94,1.12
2013-Junio,13.62,5.46,8.42,0.64
2013-Julio,13.62,5.45,8.48,0.68
2013-Agosto,13.62,5.47,8.82,1.01
2013-Setiembre,13.63,5.50,9.04,1.24
2013-Octubre,13.66,5.47,9.13,1.26
2013-Noviembre,13.68,5.50,8.65,0.83
2013-Diciembre,13.70,5.46,8.92,1.03
2014-Enero,13.78,6.06,9.26,1.84
2014-Febrero,13.81,6.07,9.96,2.48
2014-Marzo,13.80,5.50,10.22,2.18
2014-Abril,13.81,5.50,10.21,2.16
2014-Mayo,13.83,5.51,10.28,2.22
2014-Junio,13.84,5.50,10.38,2.30
2014-Julio,13.87,5.46,10.11,1.98
2014-Agosto,13.74,5.46,9.68,1.70
2014-Setiembre,13.73,5.48,9.94,1.96
2014-Octubre,13.73,5.49,9.74,1.79
2014-Noviembre,13.70,5.49,9.99,2.04
2014-Diciembre,13.64,5.46,10.39,2.44
2015-Enero,13.60,5.45,11.02,3.06
2015-Febrero,13.48,5.45,10.78,2.94
2015-Marzo,13.37,5.45,10.69,2.95
2015-Abril,13.29,5.43,10.44,2.78
2015-Mayo,13.21,5.49,10.39,2.86
2015-Junio,13.15,5.49,10.51,3.03
2015-Julio,13.12,5.48,10.55,3.09
2015-Agosto,13.09,5.48,10.91,3.45
2015-Setiembre,13.13,5.49,11.05,3.55
2015-Octubre,13.12,5.49,10.65,3.19
2015-Noviembre,13.12,5.50,10.35,2.91
2015-Diciembre,13.06,5.43,9.70,2.29
2016-Enero,13.08,5.50,8.34,1.08
2016-Febrero,13.07,5.50,8.44,1.18
2016-Marzo,13.11,5.49,8.49,1.18
2016-Abril,13.13,5.48,8.69,1.34
2016-Mayo,13.15,5.48,8.43,1.08
2016-Junio,13.14,5.46,8.34,0.98
2016-Julio,13.11,5.46,8.12,0.80
2016-Agosto,13.10,5.47,7.98,0.70
2016-Setiembre,13.12,5.48,8.19,0.88
2016-Octubre,13.10,5.49,7.96,0.70
2016-Noviembre,13.08,5.49,8.03,0.78
2016-Diciembre,13.03,5.44,8.44,1.16
2017-Enero,13.05,5.45,8.88,1.56
2017-Febrero,13.05,5.45,8.75,1.44
2017-Marzo,13.08,5.44,8.73,1.39
2017-Abril,13.08,5.42,8.64,1.28
2017-Mayo,13.04,5.41,8.76,1.42
2017-Junio,13.05,5.40,8.32,0.99
2017-Julio,13.06,5.37,7.45,0.14
2017-Agosto,13.06,5.35,7.97,0.60
2017-Setiembre,13.05,5.35,8.33,0.95
2017-Octubre,13.08,5.33,8.52,1.08
2017-Noviembre,13.05,5.32,7.98,0.60
2017-Diciembre,13.00,5.28,6.93,-0.38
2018-Enero,13.07,5.27,7.98,0.53
2018-Febrero,13.05,5.27,8.54,1.07
2018-Marzo,13.01,5.25,8.52,1.06
2018-Abril,13.02,5.25,8.76,1.28
2018-Mayo,12.98,5.22,8.54,1.09
2018-Junio,12.94,5.21,8.82,1.37
2018-Julio,12.96,5.17,10.09,2.50
2018-Agosto,12.92,5.15,9.24,1.73
2018-Setiembre,12.87,5.13,7.96,0.55
2018-Octubre,12.85,5.11,8.16,0.74
2018-Noviembre,12.81,5.09,9.37,1.88
2018-Diciembre,12.72,5.05,10.17,2.68
2019-Enero,12.74,5.05,8.29,0.91
2019-Febrero,12.77,5.03,7.96,0.55
2019-Marzo,12.79,5.02,8.27,0.81
2019-Abril,12.75,5.01,7.63,0.25
2019-Mayo,12.74,5.10,7.85,0.54
2019-Junio,12.75,5.08,7.59,0.27
2019-Julio,12.77,5.03,8.05,0.63
2019-Agosto,12.79,5.00,9.49,1.93
2019-Setiembre,12.78,4.99,10.78,3.13
2019-Octubre,12.70,4.96,10.31,2.73
2019-Noviembre,12.67,4.95,9.47,1.97
2019-Diciembre,12.64,4.91,8.93,1.45
2020-Enero,12.65,4.87,10.68,3.03
2020-Febrero,12.68,4.84,11.30,3.56
2020-Marzo,12.64,4.82,10.68,3.00
2020-Abril,12.62,4.74,10.54,2.81
2020-Mayo,12.66,4.73,10.66,2.88
2020-Junio,12.65,4.68,10.02,2.24
2020-Julio,12.46,4.60,9.31,1.67
2020-Agosto,12.48,4.56,7.96,0.36
2020-Setiembre,12.48,4.51,7.16,-0.43
2020-Octubre,12.33,4.46,6.63,-0.84
2020-Noviembre,12.32,4.42,6.50,-0.99
2020-Diciembre,12.33,4.35,7.16,-0.45
2021-Enero,12.34,4.32,6.75,-0.87
2021-Febrero,12.32,4.29,5.96,-1.61
2021-Marzo,12.32,4.25,6.12,-1.50
2021-Abril,12.28,4.22,6.73,-0.94
2021-Mayo,12.25,4.19,6.73,-0.93
2021-Junio,12.24,4.15,8.02,0.23
2021-Julio,12.14,4.09,8.02,0.26
2021-Agosto,12.14,4.07,8.23,0.44
2021-Setiembre,12.16,4.04,8.19,0.36
2021-Octubre,12.13,4.03,8.91,1.04
2021-Noviembre,12.02,4.02,8.88,1.10
2021-Diciembre,11.92,3.99,8.59,0.89
2022-Enero,11.92,3.95,8.80,1.05
