fecha,exchange,ipc,deprate,itcer,imae,m1,m2,tpm,expec
2010-01-01,8.36,1.43,4.13,72.92,88.5,54557,113524,4.5,3.34
2010-02-01,8.14,2.48,3.06,70.7,88.75,50068,103143,4.5,3.97
2010-03-01,8.01,3.93,1.63,69.1,89.03,48774,102173,4.5,5.39
2010-04-01,7.99,3.75,1.76,69.14,89.23,49667,103472,4.5,5.04
2010-05-01,7.99,3.51,1.95,69.22,89.29,48370,102719,4.5,5.36
2010-06-01,8,4.07,1.38,68.89,89.26,48626,103466,4.5,4.81
2010-07-01,7.99,4.12,1.27,68.61,89.32,48480,104006,4.5,4.89
2010-08-01,8,4.1,1.27,68.73,89.6,48977,105155,4.5,5.35
2010-09-01,8.07,3.76,1.6,69.14,90.11,48840,105910,4.5,5.89
2010-10-01,8.04,4.51,0.87,68.68,90.68,48820,106129,4.5,5.96
2010-11-01,7.99,5.26,0.13,67.73,91.19,49538,107077,4.5,5.95
2010-12-01,7.96,5.39,-0.05,67.52,91.62,50941,108737,4.5,5.71
2011-01-01,7.94,4.9,0.43,67.13,91.9,58610,124062,4.5,5.99
2011-02-01,7.79,5.23,0.09,65.72,92.23,53539,112962,4.5,5.5
2011-03-01,7.69,5,0.29,64.89,92.56,53267,112915,4.75,6.24
2011-04-01,7.6,5.76,-0.46,64.15,92.93,53649,114315,4.75,6.07
2011-05-01,7.65,6.39,-1.05,64.53,93.25,54277,115350,4.75,5.96
2011-06-01,7.76,6.42,-1.09,65.08,93.58,53121,114697,4.75,6.38
2011-07-01,7.74,7.04,-1.68,64.36,93.94,54043,116611,5,5.96
2011-08-01,7.81,7.63,-2.21,64.73,94.3,54185,117224,5,6.33
2011-09-01,7.84,7.25,-1.87,65.08,94.6,53536,117468,5.5,6.69
2011-10-01,7.83,6.65,-1.32,64.89,94.75,52949,117189,5.5,6.69
2011-11-01,7.8,6.05,-0.76,64.46,94.78,53649,118062,5.5,6.85
2011-12-01,7.79,6.2,-0.96,64.03,94.81,54818,119644,5.5,5.94
2012-01-01,7.8,5.44,-0.22,64.34,94.9,62962,136673,5.5,6.21
2012-02-01,7.77,5.17,0.03,64.1,95.19,57519,123391,5.5,6
2012-03-01,7.71,4.55,0.64,63.88,95.55,57656,124937,5.5,5.59
2012-04-01,7.74,4.27,0.92,64.04,95.85,57539,125544,5.5,5.84
2012-05-01,7.77,3.9,1.3,64.17,96.05,56646,125082,5.5,5.26
2012-06-01,7.84,3.47,1.67,64.54,96.22,55452,124439,5,4.89
2012-07-01,7.81,2.86,2.41,64,96.47,56229,126196,5,4.71
2012-08-01,7.87,2.71,2.56,64.57,96.9,55858,126804,5,4.44
2012-09-01,7.96,3.28,2.03,65.26,97.42,56271,128238,5,4.91
2012-10-01,7.86,3.35,1.99,64.39,97.88,56036,128683,5,4.7
2012-11-01,7.86,3.11,2.23,64.08,98.2,56433,129347,5,4.48
2012-12-01,7.88,3.45,1.87,63.71,98.46,58488,131779,5,4.65
2013-01-01,7.87,3.86,1.5,63.52,98.7,65258,148078,5,4.53
2013-02-01,7.81,4.18,1.21,63.09,99,60519,134928,5,4.41
2013-03-01,7.8,4.34,1.07,62.81,99.28,60765,135983,5,4.59
2013-04-01,7.78,4.13,1.27,62.53,99.5,62296,138154,5.25,4.85
2013-05-01,7.78,4.27,1.12,62.42,99.59,60793,137459,5.25,4.71
2013-06-01,7.81,4.79,0.64,62.41,99.62,60675,138313,5.25,4.87
2013-07-01,7.81,4.74,0.68,62.29,99.77,60781,139108,5.25,4.88
2013-08-01,7.89,4.42,1.01,62.89,100.07,60590,140057,5.25,4.85
2013-09-01,7.93,4.21,1.24,63.11,100.45,61221,141179,5.25,4.87
2013-10-01,7.95,4.15,1.26,63.1,100.8,60557,141949,5,4.72
2013-11-01,7.88,4.63,0.83,62.18,101.12,60333,142069,5,4.69
2013-12-01,7.85,4.39,1.03,61.7,101.52,61051,142985,5,4.77
2014-01-01,7.83,4.14,1.84,61.67,102.09,69801,160799,5,4.73
2014-02-01,7.75,3.5,2.48,61.09,102.79,63240,146351,5,4.56
2014-03-01,7.72,3.25,2.18,61.12,103.46,62948,146437,4.75,4.46
2014-04-01,7.74,3.27,2.16,61.36,104.03,63268,147417,4.75,4.51
2014-05-01,7.72,3.22,2.22,61.34,104.4,63909,148845,4.75,4.19
2014-06-01,7.79,3.13,2.3,61.68,104.53,63795,149288,4.5,4.24
2014-07-01,7.76,3.41,1.98,61.05,104.48,64062,150383,4.5,4.24
2014-08-01,7.79,3.7,1.7,60.93,104.48,64423,151949,4.5,4.09
2014-09-01,7.71,3.45,1.96,60.29,104.72,64361,153036,4.5,4.24
2014-10-01,7.63,3.64,1.79,59.41,105.23,63880,153439,4.5,4.08
2014-11-01,7.6,3.38,2.04,58.79,105.86,63876,153414,4,4.16
2014-12-01,7.61,2.95,2.44,58.57,106.47,65388,155101,4,4.21
2015-01-01,7.63,2.32,3.06,58.64,106.94,76929,177961,4,3.75
