key,h = 3,h = 9,h = 12,h = 24
snaïve,0.6549364613880743,0.577386770935158,0.7333822091886608,0.4817937438905181
holt-winters,0.29730647155394163,0.8658115796548098,0.422586206231237,0.3939866323166491
ar,0.2615048908971283,0.508825026285963,0.34064432450189536,0.3906347017235316
sarima,0.0796235521484362,0.08986757456114107,0.13163502617157674,0.37596998028541784
var,0.10613000924668059,0.2683530828157344,0.6455334256140967,0.3303527653228588
(ts) ensemble,0.20541481636410727,0.319074762743427,0.32696913886286627,0.27734393312244304
svm,0.15713816195862076,0.19325903003378372,0.14438719703889868,0.13387836352809318
rf,0.24590011404366205,0.21652671880091404,0.18587182306940433,0.17749596774193674
xgb,0.2954925451343942,0.2714511489743866,0.2063459166100764,0.1663098187274131
mlp,0.12743434841313087,0.32670907670954963,0.17033539971274586,0.25680216864537914
lstm,0.23075015768585957,0.5074151098969027,0.23472143808255386,0.36180930183700477
(ml) ensemble,0.20669690851547326,0.3049856687136577,0.13911959710229396,0.14005079530971243
(ts & ml) ensemble,0.21770298423506085,0.3480170853992806,0.23084842088500643,0.203362269749548
