fecha,model,value
2019-01-01,ipc,4.1
2019-02-01,ipc,4.46
2019-03-01,ipc,4.17
2019-04-01,ipc,4.75
2019-05-01,ipc,4.54
2019-06-01,ipc,4.8
2019-07-01,ipc,4.37
2019-08-01,ipc,3.01
2019-09-01,ipc,1.8
2019-10-01,ipc,2.17
2019-11-01,ipc,2.92
2019-12-01,ipc,3.41
2020-01-01,ipc,1.78
2020-02-01,ipc,1.24
2020-03-01,ipc,1.77
2020-04-01,ipc,1.88
2020-05-01,ipc,1.8
2020-06-01,ipc,2.39
2020-07-01,ipc,2.88
2020-08-01,ipc,4.19
2020-09-01,ipc,4.97
2020-10-01,ipc,5.34
2020-11-01,ipc,5.46
2020-12-01,ipc,4.82
2021-01-01,ipc,5.24
2021-02-01,ipc,6
2021-03-01,ipc,5.84
2021-04-01,ipc,5.2
2021-05-01,ipc,5.17
2021-06-01,ipc,3.91
2021-07-01,ipc,3.82
2021-08-01,ipc,3.62
2021-09-01,ipc,3.67
2021-10-01,ipc,2.96
2021-11-01,ipc,2.89
2021-12-01,ipc,3.07
2019-01-01,lstm,NA
2019-02-01,lstm,NA
2019-03-01,lstm,NA
2019-04-01,lstm,NA
2019-05-01,lstm,NA
2019-06-01,lstm,NA
2019-07-01,lstm,NA
2019-08-01,lstm,NA
2019-09-01,lstm,NA
2019-10-01,lstm,NA
2019-11-01,lstm,NA
2019-12-01,lstm,NA
2020-01-01,lstm,1.9025220332075556
2020-02-01,lstm,2.040032580057572
2020-03-01,lstm,2.83353861993292
2020-04-01,lstm,3.6786380623330057
2020-05-01,lstm,3.9155236670794498
2020-06-01,lstm,3.961621991587734
2020-07-01,lstm,3.940397073755136
2020-08-01,lstm,3.7839685473406175
2020-09-01,lstm,3.933613081216397
2020-10-01,lstm,3.859444634305378
2020-11-01,lstm,3.8412273672750894
2020-12-01,lstm,3.7388677901152088
2021-01-01,lstm,3.2167410427866105
2021-02-01,lstm,2.978065418854686
2021-03-01,lstm,3.0589682120424753
2021-04-01,lstm,3.782676406991483
2021-05-01,lstm,4.146845113907685
2021-06-01,lstm,4.701624900105346
2021-07-01,lstm,4.655348407672771
2021-08-01,lstm,4.17922942566462
2021-09-01,lstm,4.333812582425679
2021-10-01,lstm,4.179184185410054
2021-11-01,lstm,3.623750775882281
2021-12-01,lstm,2.6843334279380127
2019-01-01,mlp,NA
2019-02-01,mlp,NA
2019-03-01,mlp,NA
2019-04-01,mlp,NA
2019-05-01,mlp,NA
2019-06-01,mlp,NA
2019-07-01,mlp,NA
2019-08-01,mlp,NA
2019-09-01,mlp,NA
2019-10-01,mlp,NA
2019-11-01,mlp,NA
2019-12-01,mlp,NA
2020-01-01,mlp,3.620288427249675
2020-02-01,mlp,2.5257095246545473
2020-03-01,mlp,2.69927737325193
2020-04-01,mlp,3.531199982111601
2020-05-01,mlp,2.470212903671717
2020-06-01,mlp,2.8129031707531564
2020-07-01,mlp,2.925651179220759
2020-08-01,mlp,3.800342386919192
2020-09-01,mlp,4.317343409477988
2020-10-01,mlp,4.571069563226041
2020-11-01,mlp,4.802490067753356
2020-12-01,mlp,4.337013561238931
2021-01-01,mlp,5.142547799588364
2021-02-01,mlp,5.350952312072822
2021-03-01,mlp,4.72766709436181
2021-04-01,mlp,5.780876699016633
2021-05-01,mlp,5.0139555813868935
2021-06-01,mlp,5.553105052966895
2021-07-01,mlp,4.919337211418747
2021-08-01,mlp,4.83708368812079
2021-09-01,mlp,5.166577335251197
2021-10-01,mlp,4.179924789624193
2021-11-01,mlp,3.9076985989715927
2021-12-01,mlp,4.0002253216797925
2019-01-01,rf,NA
2019-02-01,rf,NA
2019-03-01,rf,NA
2019-04-01,rf,NA
2019-05-01,rf,NA
2019-06-01,rf,NA
2019-07-01,rf,NA
2019-08-01,rf,NA
2019-09-01,rf,NA
2019-10-01,rf,NA
2019-11-01,rf,NA
2019-12-01,rf,NA
2020-01-01,rf,2.144778333333337
2020-02-01,rf,1.938786666666668
2020-03-01,rf,2.211035000000002
2020-04-01,rf,2.210843333333338
2020-05-01,rf,2.225533333333333
2020-06-01,rf,2.8587466666666748
2020-07-01,rf,3.700243333333351
2020-08-01,rf,4.654475000000008
2020-09-01,rf,5.406771666666675
2020-10-01,rf,5.8477116666666715
2020-11-01,rf,6.230688333333334
2020-12-01,rf,5.367380000000013
2021-01-01,rf,5.688611666666677
2021-02-01,rf,6.670588333333337
2021-03-01,rf,6.334448333333335
2021-04-01,rf,5.726848333333341
2021-05-01,rf,5.730491666666673
2021-06-01,rf,4.635221666666671
2021-07-01,rf,4.634225000000005
2021-08-01,rf,4.35986333333334
2021-09-01,rf,4.384981666666674
2021-10-01,rf,3.7551616666666594
2021-11-01,rf,3.7658049999999914
2021-12-01,rf,3.953029999999995
2019-01-01,svm,NA
2019-02-01,svm,NA
2019-03-01,svm,NA
2019-04-01,svm,NA
2019-05-01,svm,NA
2019-06-01,svm,NA
2019-07-01,svm,NA
2019-08-01,svm,NA
2019-09-01,svm,NA
2019-10-01,svm,NA
2019-11-01,svm,NA
2019-12-01,svm,NA
2020-01-01,svm,2.014633004346321
2020-02-01,svm,1.6606533008021764
2020-03-01,svm,2.206250880281736
2020-04-01,svm,NA
2020-05-01,svm,2.0995517863044877
2020-06-01,svm,2.576126164646414
2020-07-01,svm,3.4366672015849673
2020-08-01,svm,4.2826576437972514
2020-09-01,svm,4.991441903432348
2020-10-01,svm,5.275889372973409
2020-11-01,svm,5.314285426549879
2020-12-01,svm,4.616869141963145
2021-01-01,svm,5.380915956036644
2021-02-01,svm,6.080455856234219
2021-03-01,svm,NA
2021-04-01,svm,NA
2021-05-01,svm,NA
2021-06-01,svm,NA
2021-07-01,svm,NA
2021-08-01,svm,4.318889170882535
2021-09-01,svm,4.530278121900548
2021-10-01,svm,3.936881047748358
2021-11-01,svm,4.119508218651618
2021-12-01,svm,4.639587638191166
2019-01-01,xgb,NA
2019-02-01,xgb,NA
2019-03-01,xgb,NA
2019-04-01,xgb,NA
2019-05-01,xgb,NA
2019-06-01,xgb,NA
2019-07-01,xgb,NA
2019-08-01,xgb,NA
2019-09-01,xgb,NA
2019-10-01,xgb,NA
2019-11-01,xgb,NA
2019-12-01,xgb,NA
2020-01-01,xgb,2.3045573234558105
2020-02-01,xgb,1.1757707595825195
2020-03-01,xgb,2.104954719543457
2020-04-01,xgb,2.63877534866333
2020-05-01,xgb,2.350455522537231
2020-06-01,xgb,2.6795449256896973
2020-07-01,xgb,3.3297762870788574
2020-08-01,xgb,4.558700084686279
2020-09-01,xgb,5.196066856384277
2020-10-01,xgb,5.655224800109863
2020-11-01,xgb,6.114386081695557
2020-12-01,xgb,5.201846599578857
2021-01-01,xgb,5.623498916625977
2021-02-01,xgb,6.397037506103516
2021-03-01,xgb,5.960970878601074
2021-04-01,xgb,5.503330230712891
2021-05-01,xgb,5.668527603149414
2021-06-01,xgb,4.708754539489746
2021-07-01,xgb,4.743014812469482
2021-08-01,xgb,4.4114990234375
2021-09-01,xgb,4.548330783843994
2021-10-01,xgb,4.190284729003906
2021-11-01,xgb,4.1702165603637695
2021-12-01,xgb,4.1568121910095215
