fecha,model,value
2018-01-01,ipc,4.71
2018-02-01,ipc,4.15
2018-03-01,ipc,4.14
2018-04-01,ipc,3.92
2018-05-01,ipc,4.09
2018-06-01,ipc,3.79
2018-07-01,ipc,2.61
2018-08-01,ipc,3.36
2018-09-01,ipc,4.55
2018-10-01,ipc,4.34
2018-11-01,ipc,3.15
2018-12-01,ipc,2.31
2019-01-01,ipc,4.1
2019-02-01,ipc,4.46
2019-03-01,ipc,4.17
2019-04-01,ipc,4.75
2019-05-01,ipc,4.54
2019-06-01,ipc,4.8
2019-07-01,ipc,4.37
2019-08-01,ipc,3.01
2019-09-01,ipc,1.8
2019-10-01,ipc,2.17
2019-11-01,ipc,2.92
2019-12-01,ipc,3.41
2020-01-01,ipc,1.78
2020-02-01,ipc,1.24
2020-03-01,ipc,1.77
2020-04-01,ipc,1.88
2020-05-01,ipc,1.8
2020-06-01,ipc,2.39
2020-07-01,ipc,2.88
2020-08-01,ipc,4.19
2020-09-01,ipc,4.97
2020-10-01,ipc,5.34
2020-11-01,ipc,5.46
2020-12-01,ipc,4.82
2021-01-01,ipc,5.24
2021-02-01,ipc,6
2021-03-01,ipc,5.84
2021-04-01,ipc,5.2
2021-05-01,ipc,5.17
2021-06-01,ipc,3.91
2021-07-01,ipc,3.82
2021-08-01,ipc,3.62
2021-09-01,ipc,3.67
2021-10-01,ipc,2.96
2021-11-01,ipc,2.89
2021-12-01,ipc,3.07
2018-01-01,Modelos de aprendizaje estadístico,NA
2018-02-01,Modelos de aprendizaje estadístico,NA
2018-03-01,Modelos de aprendizaje estadístico,NA
2018-04-01,Modelos de aprendizaje estadístico,NA
2018-05-01,Modelos de aprendizaje estadístico,NA
2018-06-01,Modelos de aprendizaje estadístico,NA
2018-07-01,Modelos de aprendizaje estadístico,NA
2018-08-01,Modelos de aprendizaje estadístico,NA
2018-09-01,Modelos de aprendizaje estadístico,NA
2018-10-01,Modelos de aprendizaje estadístico,NA
2018-11-01,Modelos de aprendizaje estadístico,NA
2018-12-01,Modelos de aprendizaje estadístico,NA
2019-01-01,Modelos de aprendizaje estadístico,NA
2019-02-01,Modelos de aprendizaje estadístico,NA
2019-03-01,Modelos de aprendizaje estadístico,NA
2019-04-01,Modelos de aprendizaje estadístico,NA
2019-05-01,Modelos de aprendizaje estadístico,NA
2019-06-01,Modelos de aprendizaje estadístico,NA
2019-07-01,Modelos de aprendizaje estadístico,NA
2019-08-01,Modelos de aprendizaje estadístico,NA
2019-09-01,Modelos de aprendizaje estadístico,NA
2019-10-01,Modelos de aprendizaje estadístico,NA
2019-11-01,Modelos de aprendizaje estadístico,NA
2019-12-01,Modelos de aprendizaje estadístico,NA
2020-01-01,Modelos de aprendizaje estadístico,1.8592787624080798
2020-02-01,Modelos de aprendizaje estadístico,1.7791792408694445
2020-03-01,Modelos de aprendizaje estadístico,2.5010074426650695
2020-04-01,Modelos de aprendizaje estadístico,2.889502412077096
2020-05-01,Modelos de aprendizaje estadístico,2.8924198229153486
2020-06-01,Modelos de aprendizaje estadístico,3.3638195088339278
2020-07-01,Modelos de aprendizaje estadístico,3.758965779549356
2020-08-01,Modelos de aprendizaje estadístico,4.310291084315249
2020-09-01,Modelos de aprendizaje estadístico,4.992391065393432
2020-10-01,Modelos de aprendizaje estadístico,5.384541955033143
2020-11-01,Modelos de aprendizaje estadístico,5.44812133734145
2020-12-01,Modelos de aprendizaje estadístico,4.843051178270428
2021-01-01,Modelos de aprendizaje estadístico,5.450183642454939
2021-02-01,Modelos de aprendizaje estadístico,5.9594894611035505
2021-03-01,Modelos de aprendizaje estadístico,5.9686042231082155
2021-04-01,Modelos de aprendizaje estadístico,5.525070799743634
2021-05-01,Modelos de aprendizaje estadístico,5.429883659370287
2021-06-01,Modelos de aprendizaje estadístico,4.848969928016732
2021-07-01,Modelos de aprendizaje estadístico,4.761776366237568
2021-08-01,Modelos de aprendizaje estadístico,4.662136871425851
2021-09-01,Modelos de aprendizaje estadístico,4.9517079126173
2021-10-01,Modelos de aprendizaje estadístico,4.558975525457493
2021-11-01,Modelos de aprendizaje estadístico,4.416855500528619
2021-12-01,Modelos de aprendizaje estadístico,4.406606588506719
