fecha,model,value
2019-01-01,ar,NA
2019-02-01,ar,NA
2019-03-01,ar,NA
2019-04-01,ar,NA
2019-05-01,ar,NA
2019-06-01,ar,NA
2019-07-01,ar,NA
2019-08-01,ar,NA
2019-09-01,ar,NA
2019-10-01,ar,NA
2019-11-01,ar,NA
2019-12-01,ar,NA
2020-01-01,ar,3.726280282561451
2020-02-01,ar,3.945650013770143
2020-03-01,ar,4.108952356671586
2020-04-01,ar,4.238117446992447
2020-05-01,ar,4.34510871297209
2020-06-01,ar,4.436618368999602
2020-07-01,ar,4.5165337309331335
2020-08-01,ar,4.587234342238571
2020-09-01,ar,4.65027570189646
2020-10-01,ar,4.7067510318695005
2020-11-01,ar,4.757483918885784
2020-12-01,ar,4.803131992870373
2021-01-01,ar,4.844243699407805
2021-02-01,ar,4.881290242548872
2021-03-01,ar,4.914684295753314
2021-04-01,ar,4.94479158263132
2021-05-01,ar,4.971938545489348
2021-06-01,ar,4.996417805937966
2021-07-01,ar,5.018492326491895
2021-08-01,ar,5.038398763593935
2021-09-01,ar,5.056350281714396
2021-10-01,ar,5.072538981194155
2021-11-01,ar,5.087138030056945
2021-12-01,ar,5.100303556278289
2019-01-01,holt-winters,NA
2019-02-01,holt-winters,NA
2019-03-01,holt-winters,NA
2019-04-01,holt-winters,NA
2019-05-01,holt-winters,NA
2019-06-01,holt-winters,NA
2019-07-01,holt-winters,NA
2019-08-01,holt-winters,NA
2019-09-01,holt-winters,NA
2019-10-01,holt-winters,NA
2019-11-01,holt-winters,NA
2019-12-01,holt-winters,NA
2020-01-01,holt-winters,3.003099965966019
2020-02-01,holt-winters,2.41880207804218
2020-03-01,holt-winters,2.125651661368813
2020-04-01,holt-winters,2.287337208975379
2020-05-01,holt-winters,2.6454378537598675
2020-06-01,holt-winters,3.104732440510342
2020-07-01,holt-winters,3.1273536409067404
2020-08-01,holt-winters,3.059449257395891
2020-09-01,holt-winters,3.113617748206824
2020-10-01,holt-winters,3.522042856507739
2020-11-01,holt-winters,3.6212387045347407
2020-12-01,holt-winters,3.41
2021-01-01,holt-winters,3.003099965966019
2021-02-01,holt-winters,2.41880207804218
2021-03-01,holt-winters,2.125651661368813
2021-04-01,holt-winters,2.287337208975379
2021-05-01,holt-winters,2.6454378537598675
2021-06-01,holt-winters,3.104732440510342
2021-07-01,holt-winters,3.1273536409067404
2021-08-01,holt-winters,3.059449257395891
2021-09-01,holt-winters,3.113617748206824
2021-10-01,holt-winters,3.522042856507739
2021-11-01,holt-winters,3.6212387045347407
2021-12-01,holt-winters,3.41
2019-01-01,ipc,4.1
2019-02-01,ipc,4.46
2019-03-01,ipc,4.17
2019-04-01,ipc,4.75
2019-05-01,ipc,4.54
2019-06-01,ipc,4.8
2019-07-01,ipc,4.37
2019-08-01,ipc,3.01
2019-09-01,ipc,1.8
2019-10-01,ipc,2.17
2019-11-01,ipc,2.92
2019-12-01,ipc,3.41
2020-01-01,ipc,1.78
2020-02-01,ipc,1.24
2020-03-01,ipc,1.77
2020-04-01,ipc,1.88
2020-05-01,ipc,1.8
2020-06-01,ipc,2.39
2020-07-01,ipc,2.88
2020-08-01,ipc,4.19
2020-09-01,ipc,4.97
2020-10-01,ipc,5.34
2020-11-01,ipc,5.46
2020-12-01,ipc,4.82
2021-01-01,ipc,5.24
2021-02-01,ipc,6
2021-03-01,ipc,5.84
2021-04-01,ipc,5.2
2021-05-01,ipc,5.17
2021-06-01,ipc,3.91
2021-07-01,ipc,3.82
2021-08-01,ipc,3.62
2021-09-01,ipc,3.67
2021-10-01,ipc,2.96
2021-11-01,ipc,2.89
2021-12-01,ipc,3.07
2019-01-01,sarima,NA
2019-02-01,sarima,NA
2019-03-01,sarima,NA
2019-04-01,sarima,NA
2019-05-01,sarima,NA
2019-06-01,sarima,NA
2019-07-01,sarima,NA
2019-08-01,sarima,NA
2019-09-01,sarima,NA
2019-10-01,sarima,NA
2019-11-01,sarima,NA
2019-12-01,sarima,NA
2020-01-01,sarima,2.5446151823814542
2020-02-01,sarima,2.5436874715050797
2020-03-01,sarima,2.730834762999203
2020-04-01,sarima,2.2430054511720847
2020-05-01,sarima,2.216306130978668
2020-06-01,sarima,1.933125919798789
2020-07-01,sarima,2.822232403129143
2020-08-01,sarima,3.616003875780267
2020-09-01,sarima,3.8980764389993263
2020-10-01,sarima,3.5967006236953303
2020-11-01,sarima,3.5544992228062737
2020-12-01,sarima,3.3235193247021364
2021-01-01,sarima,2.9571006537965507
2021-02-01,sarima,2.7820478123671233
2021-03-01,sarima,2.7468584643617087
2021-04-01,sarima,2.7172774883276887
2021-05-01,sarima,2.751747431921996
2021-06-01,sarima,2.7399739413192847
2021-07-01,sarima,2.433583883641687
2021-08-01,sarima,2.4933216022430447
2021-09-01,sarima,2.734116724233819
2021-10-01,sarima,2.692463727618875
2021-11-01,sarima,2.400888341321834
2021-12-01,sarima,2.2855279324130144
2019-01-01,snaïve,NA
2019-02-01,snaïve,NA
2019-03-01,snaïve,NA
2019-04-01,snaïve,NA
2019-05-01,snaïve,NA
2019-06-01,snaïve,NA
2019-07-01,snaïve,NA
2019-08-01,snaïve,NA
2019-09-01,snaïve,NA
2019-10-01,snaïve,NA
2019-11-01,snaïve,NA
2019-12-01,snaïve,NA
2020-01-01,snaïve,4.1
2020-02-01,snaïve,4.46
2020-03-01,snaïve,4.17
2020-04-01,snaïve,4.75
2020-05-01,snaïve,4.54
2020-06-01,snaïve,4.8
2020-07-01,snaïve,4.37
2020-08-01,snaïve,3.01
2020-09-01,snaïve,1.8
2020-10-01,snaïve,2.17
2020-11-01,snaïve,2.92
2020-12-01,snaïve,3.41
2021-01-01,snaïve,4.1
2021-02-01,snaïve,4.46
2021-03-01,snaïve,4.17
2021-04-01,snaïve,4.75
2021-05-01,snaïve,4.54
2021-06-01,snaïve,4.8
2021-07-01,snaïve,4.37
2021-08-01,snaïve,3.01
2021-09-01,snaïve,1.8
2021-10-01,snaïve,2.17
2021-11-01,snaïve,2.92
2021-12-01,snaïve,3.41
2019-01-01,var,NA
2019-02-01,var,NA
2019-03-01,var,NA
2019-04-01,var,NA
2019-05-01,var,NA
2019-06-01,var,NA
2019-07-01,var,NA
2019-08-01,var,NA
2019-09-01,var,NA
2019-10-01,var,NA
2019-11-01,var,NA
2019-12-01,var,NA
2020-01-01,var,2.505800339621944
2020-02-01,var,2.942248942072525
2020-03-01,var,3.895812711389671
2020-04-01,var,4.176912602296088
2020-05-01,var,4.04523050997195
2020-06-01,var,3.919645975553939
2020-07-01,var,4.733517889082939
2020-08-01,var,5.932863961026353
2020-09-01,var,7.0121674476367435
