fecha,model,value
2018-01-01,ipc,4.71
2018-02-01,ipc,4.15
2018-03-01,ipc,4.14
2018-04-01,ipc,3.92
2018-05-01,ipc,4.09
2018-06-01,ipc,3.79
2018-07-01,ipc,2.61
2018-08-01,ipc,3.36
2018-09-01,ipc,4.55
2018-10-01,ipc,4.34
2018-11-01,ipc,3.15
2018-12-01,ipc,2.31
2019-01-01,ipc,4.1
2019-02-01,ipc,4.46
2019-03-01,ipc,4.17
2019-04-01,ipc,4.75
2019-05-01,ipc,4.54
2019-06-01,ipc,4.8
2019-07-01,ipc,4.37
2019-08-01,ipc,3.01
2019-09-01,ipc,1.8
2019-10-01,ipc,2.17
2019-11-01,ipc,2.92
2019-12-01,ipc,3.41
2020-01-01,ipc,1.78
2020-02-01,ipc,1.24
2020-03-01,ipc,1.77
2020-04-01,ipc,1.88
2020-05-01,ipc,1.8
2020-06-01,ipc,2.39
2020-07-01,ipc,2.88
2020-08-01,ipc,4.19
2020-09-01,ipc,4.97
2020-10-01,ipc,5.34
2020-11-01,ipc,5.46
2020-12-01,ipc,4.82
2021-01-01,ipc,5.24
2021-02-01,ipc,6
2021-03-01,ipc,5.84
2021-04-01,ipc,5.2
2021-05-01,ipc,5.17
2021-06-01,ipc,3.91
2021-07-01,ipc,3.82
2021-08-01,ipc,3.62
2021-09-01,ipc,3.67
2021-10-01,ipc,2.96
2021-11-01,ipc,2.89
2021-12-01,ipc,3.07
2018-01-01,Modelos de series de tiempo,NA
2018-02-01,Modelos de series de tiempo,NA
2018-03-01,Modelos de series de tiempo,NA
2018-04-01,Modelos de series de tiempo,NA
2018-05-01,Modelos de series de tiempo,NA
2018-06-01,Modelos de series de tiempo,NA
2018-07-01,Modelos de series de tiempo,NA
2018-08-01,Modelos de series de tiempo,NA
2018-09-01,Modelos de series de tiempo,NA
2018-10-01,Modelos de series de tiempo,NA
2018-11-01,Modelos de series de tiempo,NA
2018-12-01,Modelos de series de tiempo,NA
2019-01-01,Modelos de series de tiempo,NA
2019-02-01,Modelos de series de tiempo,NA
2019-03-01,Modelos de series de tiempo,NA
2019-04-01,Modelos de series de tiempo,NA
2019-05-01,Modelos de series de tiempo,NA
2019-06-01,Modelos de series de tiempo,NA
2019-07-01,Modelos de series de tiempo,NA
2019-08-01,Modelos de series de tiempo,NA
2019-09-01,Modelos de series de tiempo,NA
2019-10-01,Modelos de series de tiempo,NA
2019-11-01,Modelos de series de tiempo,NA
2019-12-01,Modelos de series de tiempo,NA
2020-01-01,Modelos de series de tiempo,3.1030955187516156
2020-02-01,Modelos de series de tiempo,3.1821653991755854
2020-03-01,Modelos de series de tiempo,3.3019601980229067
2020-04-01,Modelos de series de tiempo,3.3700501811215138
2020-05-01,Modelos de series de tiempo,3.431763809902682
2020-06-01,Modelos de series de tiempo,3.509604994853329
2020-07-01,Modelos de series de tiempo,3.7754631773635134
2020-08-01,Modelos de series de tiempo,3.994168099283292
2020-09-01,Modelos de series de tiempo,4.188552181872196
2020-10-01,Modelos de series de tiempo,4.292456073604552
2020-11-01,Modelos de series de tiempo,4.3377949638406985
2020-12-01,Modelos de series de tiempo,4.21517546739517
2021-01-01,Modelos de series de tiempo,4.302616054495383
2021-02-01,Modelos de series de tiempo,4.175454587071244
2021-03-01,Modelos de series de tiempo,3.808313102671238
2021-04-01,Modelos de series de tiempo,3.855308872894894
2021-05-01,Modelos de series de tiempo,3.9064307572619317
2021-06-01,Modelos de series de tiempo,3.995499088635018
2021-07-01,Modelos de series de tiempo,3.8345072134698857
2021-08-01,Modelos de series de tiempo,3.379605068580015
2021-09-01,Modelos de series de tiempo,3.153243587416613
2021-10-01,Modelos de series de tiempo,3.0621524922948544
2021-11-01,Modelos de series de tiempo,3.2104999677575745
2021-12-01,Modelos de series de tiempo,3.40018426177949
