fecha,model,value
2018-01-01,Ensamble general,NA
2018-02-01,Ensamble general,NA
2018-03-01,Ensamble general,NA
2018-04-01,Ensamble general,NA
2018-05-01,Ensamble general,NA
2018-06-01,Ensamble general,NA
2018-07-01,Ensamble general,NA
2018-08-01,Ensamble general,NA
2018-09-01,Ensamble general,NA
2018-10-01,Ensamble general,NA
2018-11-01,Ensamble general,NA
2018-12-01,Ensamble general,NA
2019-01-01,Ensamble general,NA
2019-02-01,Ensamble general,NA
2019-03-01,Ensamble general,NA
2019-04-01,Ensamble general,NA
2019-05-01,Ensamble general,NA
2019-06-01,Ensamble general,NA
2019-07-01,Ensamble general,NA
2019-08-01,Ensamble general,NA
2019-09-01,Ensamble general,NA
2019-10-01,Ensamble general,NA
2019-11-01,Ensamble general,NA
2019-12-01,Ensamble general,NA
2020-01-01,Ensamble general,2.7258494361897854
2020-02-01,Ensamble general,2.49122531244965
2020-03-01,Ensamble general,2.846896230038421
2020-04-01,Ensamble general,3.2309623149273126
2020-05-01,Ensamble general,3.0084701611048623
2020-06-01,Ensamble general,3.2383862962658885
2020-07-01,Ensamble general,3.6355495946655085
2020-08-01,Ensamble general,4.117808809403974
2020-09-01,Ensamble general,4.493520575912519
2020-10-01,Ensamble general,4.68488296438814
2020-11-01,Ensamble general,4.806821088527935
2020-12-01,Ensamble general,4.432063890752735
2021-01-01,Ensamble general,4.678702015006255
2021-02-01,Ensamble general,4.877940611297643
2021-03-01,Ensamble general,4.386839604746751
2021-04-01,Ensamble general,4.466009791330487
2021-05-01,Ensamble general,4.469083626279448
2021-06-01,Ensamble general,4.380903317159591
2021-07-01,Ensamble general,4.222155400088348
2021-08-01,Ensamble general,3.90981663250359
2021-09-01,Ensamble general,3.870658938156139
2021-10-01,Ensamble general,3.6050122394530297
2021-11-01,Ensamble general,3.6252933251531423
2021-12-01,Ensamble general,3.666957906536441
2018-01-01,ipc,4.71
2018-02-01,ipc,4.15
2018-03-01,ipc,4.14
2018-04-01,ipc,3.92
2018-05-01,ipc,4.09
2018-06-01,ipc,3.79
2018-07-01,ipc,2.61
2018-08-01,ipc,3.36
2018-09-01,ipc,4.55
2018-10-01,ipc,4.34
2018-11-01,ipc,3.15
2018-12-01,ipc,2.31
2019-01-01,ipc,4.1
2019-02-01,ipc,4.46
2019-03-01,ipc,4.17
2019-04-01,ipc,4.75
2019-05-01,ipc,4.54
2019-06-01,ipc,4.8
2019-07-01,ipc,4.37
2019-08-01,ipc,3.01
2019-09-01,ipc,1.8
2019-10-01,ipc,2.17
2019-11-01,ipc,2.92
2019-12-01,ipc,3.41
2020-01-01,ipc,1.78
2020-02-01,ipc,1.24
2020-03-01,ipc,1.77
2020-04-01,ipc,1.88
2020-05-01,ipc,1.8
2020-06-01,ipc,2.39
2020-07-01,ipc,2.88
2020-08-01,ipc,4.19
2020-09-01,ipc,4.97
2020-10-01,ipc,5.34
2020-11-01,ipc,5.46
2020-12-01,ipc,4.82
2021-01-01,ipc,5.24
2021-02-01,ipc,6
2021-03-01,ipc,5.84
2021-04-01,ipc,5.2
2021-05-01,ipc,5.17
2021-06-01,ipc,3.91
2021-07-01,ipc,3.82
2021-08-01,ipc,3.62
2021-09-01,ipc,3.67
2021-10-01,ipc,2.96
2021-11-01,ipc,2.89
2021-12-01,ipc,3.07
